Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process
2611,illation,Noun,"The act of inferring or concluding, especially from a set of premises; a conclusion, a deduction",,"1646, Thomas Browne, Pseudodoxia Epidemica, I.2: Now herein there seems to be a very erroneous Illation: from the Indulgence of God unto Cain, concluding an immunity unto himself [] 1690, John Locke, An Essay Concerning Humane Understanding: it so orders the intermediate Ideas, as to discover what Connection there is in each Link of the Chain, whereby the Extreams are held together; and thereby, as it were, to draw into View the Truth sought for, which is what we call Illation or Inference [] 1974, Guy Davenport, Tatlin!: Adriaan moved to Pierces American illation whereby an if begets a therefore, event by event, the javelins flight issuing from the web of contingencies in which we may locate the javelin and the javelineer []",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2665,illegalization,Noun,The act or process of illegalizing,,"2008 May 4, Benedict Carey, A Psychedelic Problem Child Comes Full Circle, in New York Times[1]:Once the drug illegalization crowd gets hold of it, thats that, said Alexander Shulgin, a former Dow chemist who discovered the effects of MDMA, or ecstasy, which has also been made a controlled substance.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2769,illinition,Noun,Act of smearing or rubbing in or on.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2884,illumination,Noun,"The act of illuminating, or supplying with light; the state of being illuminated.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2938,illusionism,Noun,The use of illusionary effects in sculpture and art.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2971,illustration,Noun,"The act of illustrating; the act of making clear and distinct; education; also, the state of being illustrated, or of being made clear and distinct.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3055,image magic,Noun,"The use of visual or plastic representations of people, spirits etc., for magical purposes", now chiefly historical,"1971, Keith Thomas, Religion and the Decline of Magic, Folio Society 2012, page 492: The most common maleficent technique was the use of image-magic, by making a model in wax or clay of the proposed victim and then sticking pins or bristles in the part which was to be afflicted. 2008, Derek Collins, Magic in the Ancient Greek World, page 18: According to Michael Taussig, Frazer (in the vein of Edward Tylor before him) implies in his extensive treatment of image magic that the images are copies that represent their intended victim. 2013, Frank Klaassen, The Transformations of Magic, page 33: In the sense that magical practices employ representations or apparent representations [] all magic is image magic.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3165,imaging,Noun,The use of mental images to alter a person's perceptions or behaviors.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3332,imbibement,Noun,The act or process of imbibing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3341,imbibition,Noun,The act of imbibing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3344,imbition,Noun,The act of imbibing or drinking,,"1955, Willis Frederick Dunbar, Michigan Through the Centuries (volume 1, page 269) The drinker was urged to confine his imbitions to wine and beer. But this policy was condemned as undemocratic []",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3484,imbruement,Noun,The act of imbruing or state of being imbrued.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3491,imbrutement,Noun,"The act of imbruting, or the state of being imbruted",,"1834, Sir Egerton Brydges, The autobiography, times, opinions, and contemporaries of Sir Egerton Brydges Imbrutement from low thoughts",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3497,imbuement,Noun,"The act of imbuing, or state of being imbued.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3710,imitation,Noun,The act of imitating.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3776,immanentization,Noun,The process of immanentizing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3918,immersion,Noun,The act of immersing or the condition of being immersed,,"The total submerging of a person in water as an act of baptism. Deep engagement in something. 2016, David Waugh, Sally Neaum, Rosemary Waugh, Children's Literature in Primary Schools (page 80) Recognising and knowing how to understand visual imagery in relation to a narrative in picture books is primarily a matter of immersion in books within a specific culture.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
3970,immigration,Noun,The act of immigrating; the passing or coming into a country of which one is not native born for the purpose of permanent residence,,"2019 July 15, Greg Afinogenov, The Jewish Case for Open Borders, in Jewish Currents[1], number Summer 2019:[Stephen] Millers uncle, a neuroscientist, has been welcomed onto the public stage for his denunciations of his nephews immigration policies, which the elder Miller has characterized as hypocritical: the Millers not-so-distant Jewish ancestors were, of course, immigrants themselves.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4007,immiseration,Noun,"The process of making miserable, especially of a population as a whole; impoverishment",,"2011, Jacqueline Stevens, States Without Nations: Citizenship for Mortals, p. 23: Even Thomas More, the most populist of the sixteenth-century humanists striving to overcome the immiserations of serfdom, did not question slavery but endorsed it, as did, of course, the U.S. government as late as 1861. 2011, Steven Pinker, The Better Angels of Our Nature, Penguin 2012, p. 627: Unimaginable amounts of suffering have been caused by tyrants who callously presided over the immiseration of their peoples or launched destructive wars of conquest.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4009,immiserization,Noun,The act of immiserating,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4014,immission,Noun,The act of immitting; injection or infusion,,Antonym: emission,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4051,immobilization,Noun,The act or process of preventing a thing from moving,,"The broken bones were able to heal, thanks to the immobilization of her leg in a cast.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4081,immolation,Noun,"The act of immolating, or the state of being immolated, or sacrificed",,"1918, W. B. Maxwell, chapter 16, in The Mirror and the Lamp:The preposterous altruism too! [] Resist not evil. It is an insane immolation of selfas bad intrinsically as fakirs stabbing themselves or anchorites warping their spines in caves scarcely large enough for a fair-sized dog.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4126,immortalization,Noun,"The act of immortalizing, or state of being immortalized.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4316,immunoblotting,Noun,The use of immunoblots to analyse proteins.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4403,immunocontraception,Noun,The use of an immune response to facilitate contraception, medicine,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4422,immunocytofluorescence,Noun,The use of immunofluorescence to label cells," cytology, immunology",,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4481,immunodetection,Noun,The use of antibodies to identify proteins or other chemicals,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4523,immunoelectron microscopy,Noun,The use of electron microscopy to study aspects of the immune system,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4528,immunoelectrotransfer,Noun,"The use of electroporation in immunology 2015 August 18, Kabemba E",,"Mwape et al., Prevalence of Neurocysticercosis in People with Epilepsy in the Eastern Province of Zambia, in PLoS Neglected Tropical Diseases[1], volume 9, DOI:10.1371/journal.pntd.0003972:There were no significant differences comparing results of the laboratory tests with the result of the classification of NCC lesions in CT scanning (Fisher test; EITB: p = 0.452, Ag-ELISA: p = 0.100, copro-Ag ELISA: p = 0.542). *For Copro-Ag ELISA n = 49 ** For Copro-Ag ELISA total n = 54 *** For Copro-Ag ELISA n = 5 **** For Copro-Ag ELISA total n = 48 PWAE People with active epilepsy, PWIE People with inactive epilepsy, NCC Neurocysticercosis, CT Computed tomography, EITB Enzyme linked immunoelectrotransfer blot to detect cysticercus antibodies in serum, Ag-ELISA Detection test for cysticercus antigens in serum, Copro-Ag ELISA Detection test for antigens in stool to diagnose taeniosis CT scanning was performed on 49 (96.1%) of the 51 PWAE.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4531,immunoendoscopy,Noun,The use of endomicroscopy to detect specific proteins via labelled antibodies,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4647,immunohistofluorescence,Noun,The use of histofluorescence in immunology, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4659,immunohistomorphometry,Noun,The use of immunological techniques in histomorphometry, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4666,immunohybridization,Noun,The use of hybridization chain reactions in immunology, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4724,immunolocalization,Noun,The use of immunological techniques to identify the location of molecules or other structures within cells or tissues, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4811,immunonephelometry,Noun,The use of nephelometry in the characterisation of antigens and antibodies, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4879,immunophotodetection,Noun,The use of photodetection in immunology,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4921,immunoprevention,Noun,The use of the immune system to prevent disease,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
4964,immunopurification,Noun,"The use of immunological techniques to purify proteins, antigens etc",,"1988, Odile Mejan, Immunopurification of Human Factor VIII/vWF Complex from Plasma, in Thrombosis and Haemostatis, volume 59, number 3, page 364:In this study we describe a process for immunopurification of FVIII/vWF complex directly from plasma.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5039,immunosensing,Noun,The use of an immunosensor, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5214,immunovaccinology,Noun,"The use of the techniques of immunology (and, particularly, immunoinformatics) in the field of vaccine discovery",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5220,immunovisualization,Noun,The use of Southern blot analysis (or related techniques) in immunology,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5234,immuring,Noun,The act of walling up,,"1857, John Henry Newman, Lectures on the present position of Catholics in England [] what had often been read of in books, but for many generations had happily been unknown to England, for the incarcerations, the torturings, the starvings, the immurings, the murderings proper to a monastic; []",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5379,impalement,Noun,The act of torturing or executing someone by impaling them on a sharp stake.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5388,impaling,Noun,The act of something being impaled,,"1950, Arthur Cleveland Bent, Life Histories of North American Wagtails, Shrikes, Vireos, and their Allies In inspecting numerous shrike impalings I find that where abundant impaling situations, such as barbed-wire fences, are at hand, the unfinished meals of shrikes are distributed along such fences at considerable intervals. David T. Pudlevitcz, Blood of the Dragon I had seen many decapitations and skinnings, impalings and crucifixions []",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5427,impanelment,Noun,"The act or process of impaneling, or the state of being impaneled.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5478,impartation,Noun,"the act of imparting something, or the thing imparted",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5501,impartment,Noun,"The act of imparting something, or the thing imparted; disclosure",,"c. 1600, William Shakespeare, Hamlet, Act I, Scene 4,[1] It [the ghost of Hamlets father] beckons you to go away with it, As if it some impartment did desire To you alone. 1673, Nathaniel Wanley, The Wonders of the Little World, London: T. Basset et al., Book 4, Chapter 22 Of the Ignorance of the Ancients, and others, p. 401,[2] It is not therefore the design of this Chapter to uncover the nakedness of our Fathers, so as to expose it to the petulancy of any, but rather to congratulate those further accessions of light and improvements in knowledge, which these latter Ages have attained unto, and to celebrate the wisdom and goodness of the great Creator, who hath not been so liberal in his impartments to our Progenitours, but that he hath reserved something wherewith to gratifie the modest inquiries, and industrious researches of after-times. 1855, Frederick Douglass, My Bondage and My Freedom, New York: Miller, Orton Mulligan, Chapter 21 My Escape from Slavery, p. 322,[3] [] no slaveholding reader has any right to expect the impartment of such information. 1910, William Winter, Life and Art of Richard Mansfield, New York: Moffat, Yard Co., Volume I, Chapter 1, p. 25,[4] In proportion to an actors knowledge of human nature and human experience,knowledge that he has assimilated through observation, thought, and suffering,is the value of his artistic impartment to the world. 1973, Donald J. Dawidoff, The Malpractice of Psychiatrists, Springfield, Illinois: Charles C. Thomas, Chapter 3, pp. 33-34,[5] A psychiatrist has been held liable for consequent damages following the impartment of his diagnosis or of confidential information gained during treatment to third parties.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5544,impastation,Noun,The act of making into paste.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5552,impasto,Noun,The use of a thick-bodied paint to create sizable peaks and crests in an image., painting,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5606,impeachment,Noun,The act of calling into question or challenging the accuracy or propriety of something, countable,"Synonyms: deprecation, depreciation, discrediting, disparagement 1530 February, Stephen Gardiner; Edward Foxe, XXXII. A Letter from Gardiner and Fox, about Their Proceedings at Cambridg. An Original., in Gilbert Burnet, The History of the Reformation of the Church of England, first part (Of the Progress Made in It during the Reign of K. Henry the VIII.), London: Printed by T. H. for Richard Chiswell,[], published 1679, OCLC 1030811306, book II (Of the Process of Divorce between King Henry and Queen Katharine,[]), page 85: [] Nevertheles there was no o much care, labour, tudy, and diligence employed on our Party, by them, our elf, and other, for attaining your Grace's Purpoe, but there was as much done by others for the lett and empeachment of the ame; [] 1588, G[abriel] H[arvey], The Fourth Letter. To the Same Favourable or Indifferent Reader., in Fovre Letters, and Certaine Sonnets, especially Touching Robert Greene, and Other Parties by Him Abused:[], London: Imprinted by Iohn Wolfe, for Edward White, OCLC 84013514; republished as J[ohn] P[ayne] C[ollier], editor, Fovre Letters, and Certaine Sonnets (Miscellaneous Tracts Temp. Eliz. Jac. I), [London: s.n., 1870], OCLC 907145924, page 58:The leat may thinke upon Fabius Maximus, who with an honourable obtinacy purued the coure of his owne platforme, notwithtanding a thouand empeachments; and although lowly, with much murmuring, yet effectually with more reputation, atchieved his politicke purpoe: [...] 1643, William Prynne, The Treachery and Disloyalty of Papists to Their Soveraignes, in Doctrine and Practise. [] The Second Edition, Enlarged., in The Soveraigne Povver of Parliaments and Kingdomes: Divided into Fovre Parts. Together with an Appendix:[], printed at London: For Michael Sparke Senior, OCLC 22720680, page 105:[T]he Soveraign Power, and Iuridiction both in the Roman and German Empires, and in mot forraign Chritian Kingdoms, was, and yet is, in the Senate, People, Parliaments, States, Dyets; yet this is no empeachment at all to their royall Supremacies, or Titles of Supreme Heads, and Governours, within their own Dominions, [...] 1904, Robert Anderson, chapter III, in Pseudo-criticism: Or The Higher Criticism and Its Counterfeit, New York, N.Y.; Chicago, Ill.: Fleming H. Revell Company, OCLC 1191998, page 33:My words are not to be misread as a veiled attack on their integrity or their honour. They are intended as a frank and open impeachment of their judgment. [...] In certain quarters, I doubt not, this impeachment and this protest will provoke a sneer. 1952 September 15, C[live] S[taples] Lewis, The Dark Island, in The Voyage of the Dawn Treader, London: Geoffrey Bles, OCLC 2805288; republished New York, N.Y.: Collier Books, Macmillan Publishing Company, 1970, ISBN, page 152:And here is as great an adventure as ever I heard of, and here, if we turn back, no little impeachment of all our honours. (countable, law) A demonstration in a court of law, or before another finder of fact, that a witness was ingenuine before, and is therefore less likely to tell the truth now. 1903 November 16, Francis T. Nicholls, Chief Justice, Barras et al. v. Barras, in T. H. Thorpe, editor, Louisiana Reports: Cases Argued and Determined in the Supreme Court of Louisiana at Term Beginning First Monday of November, 1903, volume III, St. Paul, Minn.: West Publishing Co., published 1904, OCLC 16043627, column 299:It is sometimes intimated that testimony which is direct and positive cannot legally be rebutted and overturned by presumptions less high than those which are juris et de jure in the absence of impeachment of the credibility of the witnesses. We are not prepared to accept that proposition unqualifiedly. (countable, law, Britain) An accusation that a person has committed a crime against the state, such as treason. 1680 December 4, The Fifth Day, in The Tryal of William Viscount Stafford for High Treason,[], Dublin: Reprinted by Jos[eph] Ray,[], and are to be sold by S. Helsham, Joh. North, Jos[eph] Howes[], published 1681, OCLC 933071073, page 243:He [William Howard, 1st Viscount Stafford] is charged in the Articles of Impeachment with Contriving the Death of the King, and being at everal Meetings and Conults about the King's Death, and Hiring Perons to kill the King; And are thee no Overt Acts? [...] My Lords, another Exception that is taken, is, That there is no Indictment. I conceive that an Impeachment of the Houe of Commons is more than an Indictment. And there cannot be any doubt of that, the Impeachment of the Houe of Commons having always been received and proceeded on by your Lordships. 1923, Georgette Heyer, The Revenge, in The Great Roxhythe, Boston, Mass.: Small, Maynard and Company, OCLC 7521756, page 325:Backed by the Treasurer's bitterest enemies he brought charges against Danby. Impeachment followed. There was fresh uproar in the House. (countable, law, chiefly US) The act of impeaching or charging a public official with misconduct, especially if serious, often with the aim of having the official dismissed from office. 1774 May, American Affairs, in Sylvanus Urban [pseudonym; Edward Cave], editor, The Gentlemans Magazine, and Historical Chronicle, volume XLIV, London: Printed[], for D[avid] Henry, and sold by F[rancis] Newbery,[], published January 1755, OCLC 192374019, pages 236237:The Boton Gazette of March 7 contains articles of impeachment of high crimes and midemeanors againt Peter Oliver, Eq; Chief Jutice of the Superior Court of Judicature, c., over the Province of Maachuets Bay, by the Houe of Repreentatives in General Court aembled, [...] [T]he Aembly perited in their impeachment, which was carried, upon a diviion, yeas 92, nays 8: [...] 1788, Publius [pseudonym; Alexander Hamilton], Number LXV. A Further View of the Constitution of the Senate, in Relation to Its Capacity as a Court for the Trial of Impeachments., in The Federalist: A Collection of Essays, Written in Favour of the New Constitution, [] In Two Volumes, volume II, New York, N.Y.: Printed and sold by J. and A. M'Lean,[], OCLC 642792893, page 211:The awful dicretion, which a court of impeachments mut necearily have, to doom to honour or to infamy the mot confidential and the mot ditinguihed characters of the community, forbids the commitment of the trut to a mall number of perons. 1803, Alexander Addison; Thomas Lloyd, stenographer, The Trial of Alexander Addison, Esq.[], on an Impeachment by the House of Representatives, before the Senate of the Commonwealth of Pennsylvania.[], 2nd edition, Lancaster, Pa.: Printd by George Helmbold, junior, for Lloyd and Helmbold, jun., OCLC 926734832, pages 103104:The acts for which an officer may be impeached, are preciely thoe for which he may be indicted as an officer; midemeanors in office, offences or unlawful acts done with an evil intention in his official capacity. For uch only can he be convicted on an Impeachment. And no officer can be convicted on an Impeachment, unles, on the ame charge, and on the ame evidence, he ought to be convicted on an Indictment. The ground of both is an unlawful act with an evil intention. Impeachment is Indictment, in other form, adopted in England for great offenders, whoe influence might defeat the justice of the ordinary tribunals, and retained in Pennylvania, either from imilar motives, or from imitation. 1853, John Bruce, editor, Letters and Papers of the Verney Family down to the End of the Year 1639. Printed from the Original MSS. in the Possession of Sir Harry Verney, Bart. (Publications (Camden Society); 56), London: Printed for the Camden Society, by John Bowyer Nichols and Sons,[], OCLC 1009336804, page 271:Another letter [...] is worthy of being remembered, not merely as expressing more clearly Edmund Verney's antipathy of a Scotish war, but also as indicating what were his expectations, and no doubt the general expectations, of the results of calling a parliament. The quashing of ship-money, the abolition of monopolies, and even the impeachments of [William] Laud and [Thomas Wentworth, 1st Earl of] Strafford, are here clearly foreseen. 2010 April 8, Elizabeth B. Bazan; Anna C. Henning, Summary, in Impeachment: An Overview of Constitutional Provisions, Procedure, and Practice (CRS Report for Congress; 98-186), [Washington, D.C.]: Congressional Research Service, Library of Congress, OCLC 638959508:The impeachment process provides a mechanism for removal of the President, Vice President, and other federal civil officers found to have engaged in ""treason, bribery, or other high crimes and misdemeanors."" The Constitution places the responsibility and authority to determine whether to impeach and to draft articles of impeachment in the hands of the House of Representatives. A number of means have been used to trigger the House's investigation, but the ultimate decision in all instances as to whether impeachment is appropriate rests with the House. Should the House vote to impeach and vote articles of impeachment specifying the grounds upon which impeachment is based, the matter is then presented to the Senate for trial. 2013, Leon Zamosc, Popular Impeachments: Ecuador in Comparative Perspective, in Mario Sznajder, Luis Roniger, and Carlos A. Forment, editors, Shifting Frontiers of Citizenship: The Latin American Experience (International Comparative Social Studies; 29), Leiden: Brill, ISBN, ISSN 1568-4474, page 265:In popular impeachments, the street protesters use disruption in order to apply the ultimate accountability sanction for a president: removal from power. [...] Popular impeachments have only happened under extraordinary circumstances. In the case of legal accountability: blatant corruption, abuses of power, or both, that seem to go unpunished. In the case of political accountability: economic meltdowns, major political crises, or both, with no signs of light at the end of the tunnel.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5633,impedance,Noun,The act of impeding; that which impedes; a hindrance,,"2012, R. Crafton Gibbs, Spirit Growth: Logos 2, Vol. 2, of Writing God's Book of Life (page 31) Faithful yielding is therefore a display of love before God by preparing to respond to his Call to Arms, even though He may not send us into the front lines of battle if some disability or impedance of Satan prevents us from action []",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5886,imperialization,Noun,The process of imperializing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5906,imperilment,Noun,"The act of imperiling, or the state of being imperiled.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5934,impermeabilization,Noun,The act of impermeabilizing,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5977,impersonalization,Noun,The process of making something impersonal.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
5992,impersonation,Noun,the act of impersonating,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6099,imping,Noun,The act or process of grafting or mending.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6105,impingement,Noun,The act of impinging.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6154,implantation,Noun,The act of inserting a medical implant., surgery,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6166,implantment,Noun,The act or process of implanting something; implantation.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6194,impleadment,Noun,"The act of impleading, or the state of being impleaded",,"1906, The Central Law Journal, Vol. 62, p. 14: Of course, a state cannot authorize the impleadment of a corporation on substituted service, except possibly, as to property having a situs in such state, but service on the president of a corporation as he is passing through a state or service on an agent duly appointed to accept service of process is not substituted service. 1987, Shriniwas Gupta, The Limitation Act, p. 184: In the absence of any order that the impleadment of newly added or substituted party shall take effect from the date of institution of a suit, the period of limitation so far as the newly added or substituted shall run from the date of their impleadment in the suit.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6210,implementation,Noun,The process of moving an idea from concept to reality,,"In business, engineering and other fields, implementation refers to the building process rather than the design process. Now that the requirements are complete we can move on to implementation.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6227,impletion,Noun,An act of filling; the state of being full,,"1842 W. Jardine, P. J. Selby, George Johnston, Charles C. Babington, J. H. Balfour, Richard Taylor, The Annals and Magazine of Natural History, Volume 10, Irregular metamorphoses of flowers are extremely common, and usually consist either of an actual muliplication of petals, or of the transformation of stamens and pistils into petals; the effect of these chages being the formation of double flowers, the impletion of which appears to take place in different ways in different plants. 1867, The Medical Times and Gazette, Volume 1 The greater the impletion of the artery during systole, the longer is the interval between the primary expansion and the acme of distension, and the bolder the curve which indicates it.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6251,implication,Noun,The act of implicating., uncountable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6275,implicitization,Noun,The act of rendering something implicit, mathematics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6322,imploring,Noun,The act of one who implores; imploration,,"1997, Edward Wasiolek, Tolstoy's Major Fiction (page 198) But on the night that Nekhludov seduces Maslova, he forces his way past doors, implorings, and physical resistance.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6375,impolicy,Noun,The state or act of being impolitic.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6494,imposal,Noun,The act of imposing; imposition,,"1939, James Agee, Let Us Now Praise Famous Men: ... and this light upon it was strengthening still further its imposal and embrace ...",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6517,imposition,Noun,"The act of imposing, laying on, affixing, enjoining, inflicting, obtruding, and the like.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6614,impoundage,Noun,The act of impounding.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6621,impounding,Noun,An act of impoundment.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6624,impoundment,Noun,The act of impounding,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6675,imprecation,Noun,"The act of imprecating, or invoking evil upon someone; a prayer that a curse or calamity may befall someone",,"1893, Stephen Crane, Maggie, Girl of the Streets, ch. 10: Her son turned to look at her as she reeled and swayed in the middle of the room, her fierce face convulsed with passion, her blotched arms raised high in imprecation. ""May Gawd curse her forever,"" she shrieked.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6711,impregnation,Noun,The act of making pregnant; fertilization.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6712,impregnation,Noun,"The fact or process of imbuing or saturating with something; diffusion of some element, idea etc",,through a medium or substance.,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6744,impress,Noun,The act of impressing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
6750,impress,Noun,"The act of impressing, or taking by force for the public service; compulsion to serve; also, that which is impressed",,(Can we date this quote?) William Shakespeare Why such impress of shipwrights?,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
