Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure
13089,information entropy,Noun,"A measure of the uncertainty associated with a random variable; a measure of the average information content one is missing when one does not know the value of the random variable (usually in units such as bits); the amount of information (measured in, say, bits) contained per average instance of a character in a stream of characters", information theory,"A passphrase is similar to a password, except it can be a phrase with a series of words, punctuation, numbers, whitespace, or any string of characters you want. Good passphrases are 10-30 characters long, are not simple sentences or otherwise easily guessable (English prose has only 1-2 bits of entropy per character, and provides very bad passphrases), and contain a mix of upper and lowercase letters, numbers, and non-alphanumeric characters. BSD General Commands Manual: ssh-keygen(1), October 2, 2010. Imagine a full binary tree in which the probability of getting from any parent node to one of its child nodes is 50%. Associate labels of '0' and '1' to the paths to the child nodes of each parent node. Then the probability of getting from the root to a leaf node is a negative power of 2, and the length of the path (from the root to that leaf node) is the negated base-2 logarithm of that probability. Now imagine a random bit stream in which each bit has an equal chance of being either 0 or 1. Think of the full binary tree as describing a Huffman encoding for a script whose characters are located at the leaf nodes of the said full binary tree. Each character decodes a string of bits whose length is the length of the path from the root node to the leaf node corresponding to that character. Now use ""Huffman decoding"" to convert the bit stream to a character stream (of the given script). The average compression ratio between the bit stream and the character stream can be seen to be equal to the information entropy of the character stream.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
17870,interactance,Noun,A measure of the interaction of infra-red radiation with bodily tissue that is used to estimate the fat content of such tissue,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
24833,ionizability,Noun,A measure of the extent to which something is ionizable., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6523,decastere,Noun,A measure of capacity equal to ten steres or cubic metres.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6943,deciare,Noun,"A measure of area, equivalent to one tenth of an are, or ten square metres.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
9607,defense-independent pitching statistics,Noun,A measure of a pitcher's effectiveness based only on plays that do not involve fielders, baseball,"Originally included only hit-by-pitch, walks, strikeouts, and home runs allowed, but more recently incorporates fly ball percentage, ground ball percentage, and line drive percentage.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10241,deformability,Noun,A measure of the extent to which something is deformable (under standard conditions), countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10737,degradability,Noun,A measure of the extent to which something is degradable, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10842,degree day,Noun,"A measure of heating or cooling, computed as the integral of a function of time that generally varies with temperature.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
14650,density,Noun,A measure of the mass of matter contained by a unit volume, physics,"2013 May-June, Kevin Heng, Why Does Nature Form Exoplanets Easily?, in American Scientist, volume 101, number 3, page 184:In the past two years, NASAs Kepler Space Telescope has located nearly 3,000 exoplanet candidates ranging from sub-Earth-sized minions to gas giants that dwarf our own Jupiter. Their densities range from that of styrofoam to iron. 2018 October 3, Youn Young Shim; Rana Mustafa; Jianheng Shen; Kornsulee Ratanapariyanuch; Martin J. T. Reaney, Composition and Properties of Aquafaba: Water Recovered from Commercially Canned Chickpeas, in Journal of Visualized Experiments[1], volume 132, DOI:10.3791/56305, PMID 29553544:Aquafaba was recovered from 10 commercial canned chickpea products and correlations among aquafaba composition, density, viscosity and foaming properties were investigated. Proton NMR was used to characterize aquafaba composition before and after ultrafiltration through membranes with different molecular weight cut offs (MWCOs of 3, 10, or 50 kDa).",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
20050,detonability,Noun,A measure of the readiness with which an explosive will detonate under specified conditions,,"1993, K. W. Boyack et al., ""Internal Pressure Loads Due to Gaseous Detonations,"" Proceedings: Mathematical and Physical Sciences, vol. 443, no. 1918, p. 344, Hydrogen-air-steam was chosen for this analysis since its flammability and detonability limits are well known.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
25317,diffusibility,Noun,A measure of the speed of diffusion.," physics, of a gas or other fluid",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
26850,dimension,Noun,"A measure of spatial extent in a particular direction, such as height, width or breadth, or depth",,"2012 January 1, Robert L. Dorit, Rereading Darwin, in American Scientist[1], volume 100, number 1, page 23:We live our lives in three dimensions for our threescore and ten allotted years. Yet every branch of contemporary science, from statistics to cosmology, alludes to processes that operate on scales outside of human experience: the millisecond and the nanometer, the eon and the light-year.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
29100,directionality,Noun,A measure of the extent to which something is directional, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
29121,directivity,Noun,A measure of the performance of an antenna compared to an isotropic antenna; the ratio of the maximum value of radiation intensity to the average radiation intensity.," physics, electrical engineering",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
33666,dispersibility,Noun,A measure of the relative extent to which something is dispersible, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
41082,dots per inch,Noun,"The measure of a number of pixels per inch used in a graphic or supported by a digital display device, used to specify type or image resolution"," graphic design, typography",My printer prints at 300 dots per inch.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
44566,drawdown,Noun,"A measure of the decline from a historical peak in some variable, typically the cumulative profit or total open equity of a financial trading strategy.", economics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
49891,duration,Noun,"A measure of the sensitivity of the price of a financial asset to changes in interest rates, computed for a simple bond as a weighted average of the maturities of the interest and principal payments associated with it.", finance,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2137,quasienergy,Noun,A measure of the heat energy produced per unit mass of an organism, biology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4185,quintal,Noun,"A measure of weight originally equal to a hundred pounds; later, a hundredweight", historical except India,"Synonym: hundredweight 2011, Thomas Penn, Winter King, Penguin 2012, page 204: In one import license alone, the merchant in question was instructed to bring in 13,000 quintals of alum, which, snapped up by industries in England and the Low Countries, would yield the king a cool 8,666 13s 4d.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1118,zettaton,Noun,A measure of the strength of an explosion or a bomb based on how many sextillion tons of TNT would be needed to produce the same energy.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1161,observability,Noun,A measure of the extent to which something is observable, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2374,octane number,Noun,"A measure of the antiknock properties of an automobile fuel; isooctane having an octane number of 100, a fuel with the same antiknock properties as a mixture of 90% isooctane and 10% heptane having an octane number of 90.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2836,ocularity,Noun,"A measure of the number of eyes needed to see something, i.e",,monocular or binocular.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
8560,opacity,Noun,A measure of relative impenetrability to electromagnetic radiation such as light," optics, countable",The opacity of a clean glass window is near zero.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10178,optical activity,Noun,A measure of the amount of optical rotation produced by a standard amount of a substance, chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10531,oracy,Noun,A measure of this ability, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4441,water footprint,Noun,"A measure of the amount of freshwater used by a person, organization or state in a given time.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
5436,wavenumber,Noun,A measure of the number of waves in unit distance; inversely proportional to its wavelength.," mathematics, physics",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7497,weight/volume percent,Noun,A measure of the concentration of a solution obtained by dividing the mass of the solute by the volume of the solution and multiplying by one hundred,,Often abbreviated to w/v(%).,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
13945,wind chill,Noun,"A measure of how cold the atmosphere feels, taking not just actual temperature into account, but also wind, which can make the air considerably colder", meteorology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
19179,worldvolume,Noun,A measure of the size of a brane," physics, in supersymmetry",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
3930,balance of payments,Noun,A measure of all flows of money into and out of a country including payments for goods and services and capital flows.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
5018,balnicity,Noun,"A measure of how much a quasar resembles a standard ""broad absorption line"" quasar", astronomy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
15625,bel,Noun,"A measure of relative power, defined as log10(P 1/P 2), where P1 and P2 are the measured and reference power respectively.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
19927,betweenness,Noun,A measure of the number of geodesic paths through a node or edge," graph theory, countable","2010, David Easley, Networks, Crowds, and Markets: Reasoning About a Highly Connected World:This is done by computing all the betweennesses of all edges and then looking for the ones with the highest values.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
22142,bigha,Noun,"A measure of land in India, varying from a third of an acre to an acre.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
23942,bioburden,Noun,A measure of an object's contamination with microorganisms,,"2001, Anne Booth, Sterilization Validation and Routine Operation Handbook: Radiation, CRC Press (ISBN), page 50: This is appropriate for devices containing low numbers of naturally occurring bioburden. Caution must be used because artificial inoculation may not represent the natural relationship between the normal flora and the device surfaces and []",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
24303,biodistance,Noun,"A measure of the biological relatedness of historical or prehistoric groups of humans 2015 July 23, Genetic Evidence Supports the Multiethnic Character of Teopancazco, a Neighborhood Center of Teotihuacan, Mexico (AD 200-600), in PLOS ONE[1], DOI:10.1371/journal.pone.0132371:Spence [23 ] reported a biodistance analysis of cranial, dental, and postcranial traits in human remains from Teotihuacan showing a preference for patrilocality.", anthropology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
24414,bioequivalence,Noun,A measure of the equivalence of multiple formulations of a drug in terms of bioavailability,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
25446,biopotency,Noun,A measure of the ability of a material (such as a hormone or vitamin) to have a specified biochemical function, biochemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
36869,bondability,Noun,A measure of this ability, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
45487,bridgeness,Noun,A measure of connectivity in certain networks, mathematics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
50553,bulk viscosity,Noun,the measure of such, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
52845,burnup,Noun,A measure of the consumption of fuel in a nuclear reactor., physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
5599,hapticity,Noun,A measure of the number of atoms of a ligand that are coordinated to a central atom., chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6260,hardness,Noun,"The measure of resistance to damage of a facility, equipment, installation, or telecommunications infrastructure when subjected to attack.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10704,heave,Noun,The measure of extent to which a nautical vessel goes up and down in a short period of time, nautical,Compare pitch.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
11178,hectowatt-hour,Noun,"A measure of energy, one hundred watt-hours, or one-tenth of a UK ""unit"" of electricity.", physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
13321,hemina,Noun,A measure of half a sextary," historical, Roman antiquity",(Can we find and add a quotation of Arbuthnot to this entry?),False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
14888,heqat,Noun,"A dry measure of volume equivalent to 10 hnw, or 4.8 litres.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
15808,hesp,Noun,A measure of two hanks of linen thread, Scotland,(Can we find and add a quotation of Knight to this entry?),False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30621,hundredweight,Noun,A measure of weight containing 100 avoirdupois pounds (45.5 kg)," Canada, US","Synonyms: cental (historical), centner (rare), short hundredweight, quintal (historical)",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30622,hundredweight,Noun,A measure of weight containing 8 stone or 112 avoirdupois pounds (51 kg), Britain,"Synonyms: long hundredweight, imperial hundredweight 1882, James Edwin Thorold Rogers, A History of Agriculture and Prices in England, volume 4, p.209: The hundredweight of 112 avoirdupois lbs. becomes general in the period before me, and is employed for the commoner kinds of materials.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
31392,hutch,Noun,A measure of two Winchester bushels.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
31863,hydraulic retention time,Noun,a measure of the average length of time that a soluble compound remains in a constructed reactor,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
32749,hydromodulus,Noun,A measure of the water consumption of unit area of arable land,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
32860,hydrophilicity,Noun,A measure of the extent to which something is hydrophilic., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
650,Hammett acidity function,Noun,"A measure of acidity used for very concentrated solutions of strong acids, including superacids.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1056,Hawking energy,Noun,A measure of the bending of ingoing and outgoing rays of light that are orthogonal to a 2-sphere surrounding a region of space whose mass is to be defined., physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1343,Helmholtz free energy,Noun,"A measure of the useful work obtainable from a constant temperature, constant volume thermodynamic system; more precisely, the difference between internal energy (of a system) and the product of its absolute temperature and entropy"," physics, thermodynamics","A = U T S {\displaystyle A=U-TS} where A is Helmholtz free energy, U is internal energy, T is temperature, and S is entropy.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1444,Herfindahl index,Noun,"A measure of the size of firms in relation to the industries they operate in, serving to indicate the amount of competition among them.", economics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2697,ecological footprint,Noun,"A measure of how much biologically productive land and water area an individual, population or activity requires to produce all the resources it consumes and to absorb the waste it generates using prevailing technology and resource management practices.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4251,effect size,Noun,A measure of the strength or magnitude of the effect of an independent variable on a dependent variable in an experiment or a quasi-experiment., statistics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4295,effectivity,Noun,A measure of the effectiveness of something., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4649,effusivity,Noun,A measure of a material's ability to exchange thermal energy with its surroundings; the square root of the product of its thermal conductivity and its volumetric heat capacity., thermodynamics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6544,electric flux,Noun,The measure of flow of the electric field through a given area., electromagnetism,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6604,electrical conductance,Noun,"A measure of how easily electricity flows along a certain path through an electrical element, and the real part of the reciprocal of electrical impedance.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6903,electrocontractility,Noun,A measure of the power of such contraction, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7377,electron density,Noun,A measure of the probability of finding an electron at a specific location within an orbital, physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7378,electron density,Noun,A measure of the number of electrons per unit volume of space., physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7690,electropositivity,Noun,a measure of the extent to which something is electropositive, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
8681,ellipticity,Noun,A measure of this flattening that is a function of the ellipse's equatorial and polar radii," countable, mathematics",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
13991,endothermicity,Noun,A measure of the relative endothermic character of a reaction or process, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
14187,endurance,Noun,The measure of a person's stamina or persistence,,He has great endurance: he ran a marathon and then cycled home.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
14339,energy,Noun,A measure of how many actions a player or unit can take; in the fantasy genre often called magic points or mana," role-playing games, video games, board games",Synonym: action points,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
16228,enstrophy,Noun,A measure of the kinetic energy of a fluid as a result of turbulence., physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
17446,entropy,Noun,A measure of the amount of information and noise present in a signal.," statistics, information theory, countable",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
20423,equilibrium constant,Noun,A measure of the relative concentrations of the reactants and products of a reversible reaction at equilibrium, chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
20724,equivalent variation,Noun,"The measure of how much money a consumer would pay before a price increase, to avoid the price increase.", economics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
21421,erosivity,Noun,"A measure of the potential ability of soil, regolith, or other weathered material to be eroded by rain, wind, or surface runoff.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
27235,exaton,Noun,A measure of the strength of an explosion or a bomb based on how many quintillion tons of TNT would be needed to produce the same energy.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
27628,excitability,Noun,A measure of how easy something is to excite, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
28436,exergonicity,Noun,A measure of the extent to which a reaction is exergonic, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30524,explosibility,Noun,A measure of the extent to which a material is explosible, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30561,explosivity,Noun,A measure of the extent to which a material is explosive, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30707,exposome,Noun,"A measure of the effects of life-long environmental exposures on health 2015 December 1, Stein, Richard A., The Naturome Awaits the Nurturome, in Genetic Engineering Biotechnology News, volume 35, number 21, page 34:While the definition of the exposome includes all exposures that occur from conception throughout an individual's lifetime, an emerging concept is the need to also consider exposures prior to conception.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
31788,extractability,Noun,A measure of the extent to which something may be extracted using a particular solvent., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
133,pace,Noun,A measure of the hardness of a pitch and of the tendency of a cricket ball to maintain its speed after bouncing, cricket,[from 19th century],False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
634,packyear,Noun,"A measure of the cigarettes a person has smoked, equal to a pack (of twenty cigarettes) each day for a year.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1388,pain score,Noun,"A measure of the pain felt by, or observed in, a patient",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
3640,palmspan,Noun,A measure of length equivalent to the breadth of the palm of an average human hand,,"For quotations of use of this term, see Citations:palmspan.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
12692,pathwidth,Noun,A measure of a path decomposition of a graph., graph theory,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
21669,permeability,Noun,a measure of the ability of a rock to transmit fluids (such as oil or water), geology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
21688,permeance,Noun,A measure of the degree to which a material allows a fluid to permeate it.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
22399,persistency,Noun,A measure of how much something persists, countable,"1998 March 28, John Chapman, ""Pensions Investigated,"" The Independent (UK) (retrieved 6 July 2014): The table shows that three-year ""persistencies"" range from 89.6 per cent with Standard Life (this means only 10 per cent of plans have lapsed after three years) to 58.9 per cent with Sun Life (almost 40 per cent of plans lapse after three years).",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
23516,petaton,Noun,A measure of the strength of an explosion or a bomb based on how many quadrillion tons of TNT would be needed to produce the same energy.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
29730,phototype,Noun,"A measure of the susceptibility of the skin to tan, depending on the amount of melanin in the skin",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
31281,phytotoxicity,Noun,A measure of the extent to which something is phytotoxic, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
39226,plate count,Noun,A measure of bacterial contamination of a sample, microbiology,"2003, Ahmed E. Yousef, Carolyn Carlstrom, Food Microbiology: A Laboratory Manual, John Wiley Sons (ISBN), page 27: The microbiological quality can be roughly evaluated by analyzing the food for total plate count (TPC). In some foods, high TPC may indicate poor quality. Food which appears normal may have a high TPC, indicating that the food is about to [] 2008 October, Clyde E. Stauffer, Soy flour products in baking[1]:The total plate count for soy flour intended for human consumption should be less than 20,000 per gram; typical analyses of flours made under proper sanitary conditions range from 4,000 to 7,000 per gram.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
39925,playability,Noun,"A measure of either the ease with which a video game may be played, or of the overall quality of its gameplay",,"Mutant Chickens from Mars has great graphics, but the playability is lacking.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
44529,polar moment of inertia,Noun,A measure of a body's resistance to twisting; a measure of torsional strength., engineering,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46409,polydispersity,Noun,A measure of the degree to which a colloid is polydisperse, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46607,polyfunctionality,Noun,A measure of the degree to which a compound is polyfunctional., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
47151,polymerizability,Noun,A measure of the degree to which something is polymerizable., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
47230,polymolecularity,Noun,A measure of the degree to which something is polymolecular, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
50479,porosity,Noun,A measure of how porous a material is; the ratio of the volume of pores to the total volume, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
55311,power distance,Noun,a measure of the willingness of individuals to accept the unequal distribution of power within some organization, sociology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
59313,preferredness,Noun,A measure of by how much one thing is preferred over another,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
62838,pressure altitude,Noun,a measure of altitude inferred by the measurement of ambient pressure in differential with a reference pressure at a known altitude, aviation,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
66671,processivity,Noun,A measure of the average number of nucleotides added by a DNA polymerase enzyme per association/disassociation with the template., genetics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
67257,producibility,Noun,The measure of the relative ease of manufacturing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
69302,proof,Noun,A measure of the alcohol content of liquor, US,"Originally, in Britain, 100 proof was defined as 57.1% by volume (no longer used). In the US, 100 proof means that the alcohol content is 50% of the total volume of the liquid; thus, absolute alcohol would be 200 proof.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
74564,pseudomedian,Noun,"A measure of centrality for data sets and populations, which agrees with the median where the data are symmetric.", statistics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
74964,pseudorapidity,Noun,"A measure of the velocity of a particle relative to that of a beam of particles, approximated by a function of its angle.", physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
81195,puttony,Noun,A measure of such an amount of dried grapes added to the ferment in making tokay wine and hence a measure of its sweetness,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
30,M-ratio,Noun,"A measure of the health of one's stack: the stack divided by the sum of the small blind, the big blind and the antes of each player", poker,"The result (M) is the time (the number of orbits) it would take for one's chips to deplete if the player only passively places their forced bets and otherwise folds. M = stack small blind + big blind + total antes {\displaystyle M={\frac {\mbox{stack}}{{\mbox{small blind}}+{\mbox{big blind}}+{\mbox{total antes}}}}} A player in an eight-player game with blinds of $50/$100, an ante of $10, and a stack of $2,300 has an M-ratio of 10. It would take 10 orbits for their chips to deplete if they only fold each time. M = 2300 50 + 100 + ( 10 8 ) = 2300 230 = 10 {\displaystyle M={\frac {2300}{50+100+(10\times 8)}}={\frac {2300}{230}}=10}",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2027,nanosecond,Noun,A measure of time equal to one billionth of a second,,Abbreviation: ns,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
3056,nasalance,Noun,"A measure of nasality, defined as the percentage of acoustic energy that is nasal.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
8036,nestedness,Noun,A measure of the order in an ecological system,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
26916,normality,Noun,A measure of how well an observed distribution approximates a normal distribution.," countable, mathematics, statistics",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
