Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria
792,ichthin,Noun,"A nitrogenous substance resembling vitellin, present in the egg yolk of cartilaginous fishes.",biochemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
793,ichthine,Noun,An albuminous substance found in fish eggs.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
794,ichthulin,Noun,A substance from the yolk of salmon roe.,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
830,ichthyohemotoxin,Noun,"Any poisonous substance found in the blood of fishes. 1965, Bruce W. Halstead, Poisonous and Venomous Marine Animals of the World: Vertebrates:The 1904 article by Gley on the toxic action of the serum of the torpedo Torpedo marmorata was noteworthy in that the author reported ichthyohemotoxins were not limited to eels, but were widely distributed in fishes. 1995, Ji Davdek, Natural Toxic Compounds of Foods:Poisonings with ichthyohemotoxins are very rare because eel blood is perorally toxic only in large quantities. 2002, Lewis R. Goldfrank, Goldfrank's Toxicologic Emergencies, ISBN, page 1087:These same eels also possess an ichthyohemotoxin that is resistant to drying but can be destroyed by heating to greater than 65C (149F).",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
855,ichthyootoxin,Noun,"Any poisonous substance found in the roe or gonads of fish, but not in other parts of the fish. 1965, Bruce W. Halstead, Poisonous and Venomous Marine Animals of the World: Vertebrates:Asano and Itoh (1962) have investigated the chemical nature of this ichthyootoxin and found it to be a lipoprotein which they designated as dinogunellin. 1970, United States Dept. of Defense, Poisonous and Venomous Marine Animals of the World, page 810:Ichthyosarcotoxin may also be found in the roe of fishes, but it is found in other Parts of the fish as well, whereas ichthyootoxin is limited to the roe. 2001, Louis J. Casarett Curtis D. Klaassen, Casarett and Doull's Toxicology: The Basic Science of Poisons, ISBN:This type of poisoning involves a group of ichthyootoxins found in the roe and ovaries of carp, barbel, pike, sturgeons, gar, catfish, tench, bream, minnows, salmon, whitefish, trout, blenny, cabezon, and other freshwater and saltwater fish.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
889,ichthyosarcotoxin,Noun,"Any poisonous substance found in fish that is not limited to the roe or to the blood. 1970, United States Dept. of Defense, Poisonous and Venomous Marine Animals of the World, page 810:Ichthyosarcotoxin may also be found in the roe of fishes, but it is found in other Parts of the fish as well, whereas ichthyootoxin is limited to the roe. 1991, Farid E. Ahmed, Seafood Safety, page 100:The toxin involved is called tetrodotoxin and was originally believed to be a true ichthyosarcotoxin produced by the fish itself. 2012, David L. Spector, Dinoflagellates, ISBN, page 228:The other ichthyosarcotoxins that have been identified in ciguatoxic fish, scaritoxin and maitotoxin, lag behind ciguatoxin in physicochemical characterization.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
1137,icospiramide,Noun,An antiemetic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1208,idarubicin,Noun,A particular anthracycline drug used in chemotherapy.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1211,idazoxan,Noun,"A drug used in scientific research, acting as a selective 2 adrenergic receptor antagonist and as an antagonist for the imidazoline receptor.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1335,idebenone,Noun,"A drug developed to treat Alzheimer's disease and other cognitive defects, but now being investigated for treatment of neuromuscular diseases.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1338,idelalisib,Noun,A particular drug for the treatment of chronic lymphocytic leukemia.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1601,idioelectric,Noun,Any idioelectric substance.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
1942,idoxuridine,Noun,A particular antiviral drug used to combat herpesvirus.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1949,idrocilamide,Noun,A drug used as a topical cream to treat lumbago and other muscular pain.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
1958,idursulfase,Noun,A drug used to treat Hunter syndrome. It is a purified form of the lysosomal enzyme iduronate-2-sulfatase.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
2025,ifosfamide,Noun,A particular drug used in chemotherapy.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
2456,iliparcil,Noun,A thrombolytic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3018,iloperidone,Noun,An atypical antipsychotic drug used to treat schizophrenia.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3019,iloprost,Noun,"A drug used to treat pulmonary arterial hypertension, scleroderma, Raynaud's phenomenon and ischemia.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3031,imafen,Noun,An antidepressant drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3206,imanixil,Noun,An antilipidemic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3215,imatinib,Noun,A drug used to treat certain types of cancer.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3222,imazodan,Noun,A cardiotonic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3525,imepitoin,Noun,A particular antiepileptic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3543,imidazenil,Noun,An anxiolytic drug derived from the benzodiazepine family.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
3550,imidazole,Noun,"A heterocyclic organic compound containing two nitrogen atoms separated by a carbon atom in a five-membered ring, called 1,3-diazole in IUPAC nomenclature.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
3597,imidic acid,Noun,Any compound derived from an oxoacid by replacing =O with =NR; they are tautomeric with amides.,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
3644,iminodiacetic acid,Noun,The compound HN(CH2CO2H)2 whose ionic form is a tridentate ligand,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
3645,iminodiethanol,Noun,The compound diethanolamine.,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
3664,iminophenol,Noun,"The alicyclic compound 6-imino-2,4-cyclohexadien-1-ol",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
3669,iminoquinone,Noun,Any compound formally derived from a quinone by replacing one carbonyl group (C=O) with an imine (C=NH or C=N-R),organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
4253,immunoadjuvant,Noun,Any substance added to a vaccine in order to improve the immune response,immunology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
4404,immunocontraceptive,Noun,"Any drug that causes immunocontraception. 2009 April 21, Jim Robbins, As Wild Horses Breed, a Voice for Contraception, in New York Times[1]:The real answer, according to Jay F. Kirkpatrick, director of the nonprofit science and conservation center at ZooMontana in Billings, is an immunocontraceptive called P.Z.P.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
4466,immunodepressant,Noun,Any drug that causes immunodepression.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
4595,immunogen,Noun,Any substance that elicits a immune response; an antigen,immunology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
4736,immunological,Noun,Any drug used to treat the immune system.,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
4788,immunomodulator,Noun,A drug used for its effect on the immune system.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
4822,immunonutrient,Noun,Any substance that provides immunonutrition,immunology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
4861,immunopharmaceutical,Noun,Any such drug (typically a modified protein),,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
4985,immunoreactive,Noun,Any substance that causes an immune reaction.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
5001,immunoregulator,Noun,A substance responsible for immunoregulation,immunology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
5020,immunorestorative,Noun,A drug that restores normal immune responses.,immunology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
5100,immunostimulant,Noun,Any substance that stimulates an immune response.,"immunology, pharmacology",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
6034,impervium,Noun,An impervious substance.,science fiction,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
6228,impletion,Noun,"A substance which fills, a filling.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
6395,imponderable,Noun,"An imponderable substance or body; specifically, in the plural, a name formerly applied to heat, light, electricity, and magnetism.",physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
6994,improver,Noun,"A substance added to cause improvement (especially to a foodstuff). 2016, Wendyl Nissen, Who kneads so many ingredients? The New Zealand Herald, 6 August, 2016,[8] Soy flour is often added to bread as an improver. It helps the dough texture and can make the bread quite soft. 2017, Gardening: Get a taste of the Mediterranean, The Northern Star, 7 February, 2017,[9] When planting a new olive tree, mix organic soil improver and fertiliser into the planting hole and keep the soil moist while the olive establishes itself.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
7009,improving agent,Noun,any substance added to flour in order to improve some aspect of its performance,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
7085,impsonite,Noun,"A black carbonaceous substance, believed to be derived from a fluid bitumen which polymerized after filling a vein.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
7225,imuracetam,Noun,A nootropic drug of the racetam family.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
8309,incensole,Noun,A substance obtained from the bark of Boswellia dalzielii.,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
8897,incombustible,Noun,Any substance that is not flammable.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
9010,incompatible,Noun,An incompatible substance; one of a group of things that cannot be placed or used together because of a change of chemical composition or opposing medicinal qualities. the incompatibles of iron,"medicine, chemistry, chiefly in the plural",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
9427,incrassative,Noun,"A substance which has the power to thicken; formerly, a medicine supposed to thicken the humours. (Can we find and add a quotation of Harvey to this entry?)",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
9579,incrustant,Noun,"Any substance that is dissolved in water which forms an incrustation when the water evaporates. 1905, The Journal of Infectious Diseases:The total incrustants in the water, expressed in terms of calcium carbonate, are clearly the sum of their component bases, calcium and magnesium, expressed in terms of calcium carbonate. 1909, Water-supply Paper, page 188:Aluminum also is an incrustant present in most waters in quantities so small that it is not necessary to consider it; but when too much aluminum sulphate, a substance frequently used as a coagulant in filtering water, is added in the process of filtering, the excess passes through the filter and may cause trouble in the boiler, where it hydrolyzes, forming free sulphuric acid. 1986, Fletcher G. Driscoll, Groundwater and Wells, page 644:Solid particles of incrustant can be removed along with any fine sediments that may have entered the zone immediately around the screen after the well was placed in service.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
9847,indanedione,Noun,"1,3-indandione, an organic compound with the molecular formula C9H6O2.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
9855,indanorex,Noun,A stimulant drug with appetite-suppressant and antihypoglycemic effects.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
9862,indapyrophenidone,Noun,A synthetic drug of the cathinone class; the indanyl--phenyl analogue of the stimulant drug -PVP.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
10062,indeloxazine,Noun,A drug used to treat cerebrovascular disease.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
10115,indenolol,Noun,A beta-adrenergic blocking drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,blocking
10119,indenopyrazole,Noun,Any compound containing an indene fused to a pyrazole ring,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
10121,indenotryptoline,Noun,Any compound composed of an indene fused to a tryptoline; any alkaloid based on this structure,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
10406,indican,Noun,"An indigo-forming substance found in urine and other animal fluids, and convertible into red and blue indigo (urrhodin and uroglaucin); an indoxyl sulphate of potash.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
10561,indifulvin,Noun,A reddish resinous substance obtained from indican.,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
10662,indigo brown,Noun,A brown resinous substance found in crude indigo.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
10681,indigoid,Noun,Any compound having a structure related to indigotin,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
10694,indihumin,Noun,"A brown amorphous substance resembling humin, and obtained from indican.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
10700,indinavir,Noun,An anti-retroviral drug of the protease inhibitor class that is used in to treat HIV infected patients.,pharmacology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
10744,indirubin,Noun,"A substance isomeric with, and resembling, indigo blue.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
11020,indoin,Noun,"A substance resembling indigo blue, obtained artificially from certain isatogen compounds.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
11026,indole,Noun,"An organic compound, C8H7N, found in coal tar, and produced in the gut by the bacterial decomposition of tryptophan; it is an aromatic bicyclic heterocycle having a benzene ring fused with a pyrrole ring; indole and its derivatives occur widely in nature and have many industrial applications. Synonym: ketole",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
11068,indoloditerpene,Noun,Any compound derived from a diterpene by fusion with an indole,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
11074,indoloterpene,Noun,Any compound derived from a terpene by fusion with an indole,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
11085,indomethacin,Noun,"A non-steroidal anti-inflammatory drug commonly used to reduce fever, pain, stiffness, and swelling, having chemical formula C19H16ClNO4.",pharmacology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
11108,indoprofen,Noun,"A nonsteroidal anti-inflammatory drug, withdrawn in the 1980s after reports of gastrointestinal bleeding.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
11725,inert,Noun,A substance that does not react chemically.,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
12508,infiltrant,Noun,"A substance that penetrates an object to give it some property, such as waterproofing.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
12514,infiltrate,Noun,"Any undesirable substance or group of cells that has made its way into part of the body. 2008, Jimmy D. Bartlett, Siret D. Jaanus, Clinical Ocular Pharmacology (page 539) One critical distinction to make is whether a focal corneal infiltrate is infected with bacteria or is a sterile immunologic response.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
12519,infiltration,Noun,The substance which has entered the pores or cavities of a body. Kirwan calcareous infiltrations filling the cavities,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
12698,inflammable,Noun,Any inflammable substance.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
12726,inflammogen,Noun,Any inflammogenic substance,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
13724,ingestant,Noun,Any substance that is ingested.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
13773,ingluvin,Noun,"A digestive substance resembling pepsin, obtained from the gizzards of fowls, employed as a digestant and to relieve vomiting in pregnancy.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
13776,ingo,Noun,"A substance or thing that has gone in. 1890, Annual Report of the U.S. Agricultural Experiment Station for Dakota:An accurate record was kept of all of the ingo, and all the outgo from the cows. 1912, The United States, Appellant, Vs. Forty Barrels and Twenty Kegs:It refers to the ingo and outgo and what takes place with the ingo, what becomes of it, how it is changed into the material that goes out, what is built up, what is assimilated, how the changes take place here and there. That is all metabolism. 2010, Stephen W. Reiss, Family, Farming and Freedom: Fifty-Five Years of Writings by Irv Reiss, ISBN:We have to get a better balance between our ingo and our outgo calories consumed and calories expended.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
13993,inhalation,Noun,The substance (medicament) which is inhaled.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
14148,inhibitor,Noun,Any substance capable of stopping or slowing a specific chemical reaction.,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
14149,inhibitor,Noun,Any substance capable of stopping or slowing a specific biological process,biology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
14360,initiator,Noun,A substance that initiates a chain reaction or polymerization.,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
14380,injectable,Noun,"A drug which is designed to be injected 2009, January 3, Amy Zipkin, in Drugstores, Too, Feel Recession Pain[1]:Complex high-cost drug therapy, such as injectables and infusions, are close to a $70 billion sector.",pharmacy,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
14382,injectant,Noun,A substance that is injected. A variety of fatty injectants may be used to create artificial marbling in meat.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
15285,inorganic,Noun,An inorganic compound,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
15291,inorganic compound,Noun,Any compound not containing carbon atoms.,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
15292,inorganic compound,Noun,Any compound containing carbon atoms ionically bound to other atoms.,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
15349,inotrope,Noun,Any inotropic drug,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
15352,inotropic,Noun,Such a drug,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
15387,inproquone,Noun,An antineoplastic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
15714,insecticide,Noun,"A substance used to kill insects. 2009, Handbook of Pesticides: Methods of Pesticide Residues Analysis ISBN The dried seed powder of custard apple (Annona squamosa L; family: Annonaceae) has been used as an insecticide in India and many other tropical countries since ancient times.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
15718,insectifuge,Noun,A substance that protects against insects.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
16232,insoluble,Noun,"Any substance that cannot be dissolved. 2006, Ashok Pandey, Enzyme Technology (page 518) As there is a partial vacuum inside the drum, the liquid is sucked inside the drum and the insolubles are deposited on the outer surface of the membrane filter.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
17084,insulator,Noun,"A substance that does not transmit heat (thermal insulator), sound (acoustic insulator) or electricity (electrical insulator).",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
18845,interester,Noun,A compound formed by interesterification,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
18930,interferant,Noun,"A compound in the sample that produces readings which overlap those of the analyte, making analysis more difficult. 2006, Namik K. Aras O. Yavuz Ataman, Trace Element Analysis of Food and Diet, ISBN, page 49:In many cases, the absolute amount of the interferant is more effective to induce an observed interference than the interferant/analyte ratio. 2010, Jiri Janata, Principles of Chemical Sensors, ISBN, page 6:Equation (1.15) may be used to evaluate the selectivity coefficient for that interferant. 2013, AcetanilidesAdvances in Research and Application, ISBN, page 86:In an aspect of the first embodiment, the auxiliary electrode is configured to electrochemically modify an electrochemical interferent to render the electrochemical interferent substantially electrochemically non-reactive at the working electrode.",analytical chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
18949,interferent,Noun,Any substance whose presence interferes with an analytical procedure and generates incorrect results,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
19178,interhalogen,Noun,Any binary compound of two different halogens; an interhalogen compound,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
19179,interhalogen compound,Noun,Any binary compound of two different halogens,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
19671,intermedeol,Noun,A compound isolated from Callicarpa americana (beautyberry).,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
19691,intermediate,Noun,Any substance formed as part of a series of chemical reactions that is not the end-product.,chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
19762,intermetal,Noun,intermetallic compound,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
19764,intermetallic,Noun,An intermetallic compound,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
23421,intumescent,Noun,"Any substance that swells on exposure to heat, thus increasing in volume and decreasing in density. Intumescents are used in some fire protection systems.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
23487,inuloid,Noun,"A substance resembling inulin, found in the unripe bulbs of the dahlia.",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
23488,inulol,Noun,"A yellow-coloured organic compound with the formula of C10H16O, obtained by distillation from the root of elecampane (Inula helenium). Synonym: alantol",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
24176,invirase,Noun,"An antiviral drug that prevents the multiplication of HIV cells 2015 July 18, The Need for Cervical Cancer Control in HIV-Positive and HIV-Negative Women from Romania by Primary Prevention and by Early Detection Using Clinically Validated HPV/DNA Tests, in PLOS ONE[1], DOI:10.1371/journal.pone.0132271:The HAART therapy used the classic regim with 24 drugs: an association between two inhibitors of protease, nucleosidic inhibitors of reverse transcriptase, protease inhibitor and non-nucleosidic inhibitor of reverse transcriptase (kaletra, abacavir + lamivudine, invirase, zidovudine + lamivudine, ritonavir, didanosine, darunavir, andetravirine).",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
24515,iodabenzene,Noun,A haloorganic compound of formula C5H5I.,organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
24516,iodal,Noun,"The compound triiodoacetaldehyde, CI3-CHO",organic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
24537,iodide,Noun,A binary compound of iodine and another element or radical.,inorganic chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
24625,iodochlorhydroxyquin,Noun,The drug clioquinol.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
24630,iodocyanopindolol,Noun,"A drug, related to cyanopindolol, whose radiolabelled derivative has been widely used in mapping the distribution of beta adrenoreceptors in the body.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
