term,definition
inadvertence,The state or quality of being inadvertent; inadvertency; heedlessness; carelessness; negligence
inalienability,The condition of being inalienable
inalterableness,The state or quality of being inalterable.
inapplicability,The state of being inapplicable.
inapplicableness,The state or quality of being inapplicable; inapplicability.
inapproximability,The condition of being inapproximable
inarticulation,The state of being inarticulate; inarticulateness
inauspiciousness,"The state, quality, or condition of being inauspicious or unpropitious; unfavorableness."
inauthenticity,The state of being inauthentic
incalescence,"The state of being incalescent, or growing warm"
incapability,The condition of being incapable.
incapacitance,The state of being incapacitated
incarnation,The state of being incarnated.
inceldom,the state of being involuntarily celibate 2013 Anrenee Reasor Reasor: Involuntary celibacy negatively affects college students University Daily Kansan inceldom usually afflicts men more than women 2017 Sherronda J
incendivity,The state of being incendive; the ability to cause ignition
incestuousness,The state or property of being incestuous.
inchoatedness,"The state or property of being newly begun, of being inchoated."
incivility,The state of being uncivil; lack of courtesy; rudeness in manner Synonym: impoliteness c
incivilization,The state of being uncivilized; barbarism.
inclinableness,The state or quality of being inclinable; inclination.
inclusionism,condition of being inclusionist
incoagulability,The condition of being incoagulable
incognita,The state of being in disguise
incommensurateness,The state of being incommensurate
incommodiousness,The state or quality of being incommodious.
incommunicativeness,The state or condition of being incommunicative.
incomparability,The condition of being incomparable
incompetency,The condition of being incompetent.
incompleteness,The state or condition of being not complete
incompliance,The condition of being incompliant; a refusal to comply.
incomprehensibility,The condition of being incomprehensible.
incomprehensibleness,The state of being incomprehensible.
incomprehensiveness,The condition of being incomprehensive.
incompressibleness,The state or quality of being incompressible.
incomputability,The condition of being incomputable
inconclusiveness,The state or condition of being inconclusive.
incongruity,"The state of being incongruous, or lacking congruence."
inconsequence,The state or quality of being inconsequent
inconsiderateness,The condition of being inconsiderate
inconsistency,The state of being inconsistent.
inconspicuousness,The condition of being inconspicuous
inconvertibility,The condition of being inconvertible
incorrigibility,The condition of being incorrigible.
incorruptibility,The condition of being incorruptible; honesty
incorruptness,"the state of being incorrupt 1884, L"
incumbency,The state of being incumbent.
incurableness,the state or condition of being incurable
incuriousness,The state of being incurious; indifference or apathy.
incurvation,The state of being curved or bent; any curved shape or formation; curvature; a curve; a bend
indecisiveness,The condition of being indecisive
indecomposability,The condition of being indecomposable
indefatigableness,The state of being indefatigable
indefeasibility,"The state or quality of being indefeasible, of being incapable of being defeated 1861, John Stuart Mill, Utilitarianism[1]:By this useful accommodation of language, the character of indefeasibility attributed to justice is kept up, and we are saved from the necessity of maintaining that there can be laudable injustice"
indefinableness,The state of being indefinable.
indehiscence,The state of being indehiscent
indelicacy,The condition of being indelicate.
indemnification,The state of being indemnified.
indentedness,the state or property of being indented
indentureship,The condition of being indentured.
independence,"The state or quality of being independent; freedom from dependence; exemption from reliance on, or control by others; self-subsistence or maintenance; direction of one's own affairs without interference."
indestructibility,The condition of being indestructible
indeterminacy,The condition of being indeterminate.
indicability,"The condition of being indicable 2015, Adam Clay, Dale Rolfsen, Ordered groups and topology, in arXiv[1]:A short chapter outlines a proof that the group of PL homeomorphisms of the n {\displaystyle n} -dimensional cube (fixed on the boundary) is left-orderable; a property conjectured to be true for the group of homeomorphisms in dimension two"
indicativeness,The state or condition of being indicative.
indifference,The state of being indifferent.
indifferentiability,The condition of being indifferentiable
indigestedness,The state or quality of being indigested; crudeness
indigestibility,The state of being indigestible.
indirectness,The condition of being indirect
indiscerpibility,The state or quality of being indiscerpible.
indiscerptibility,The state or quality of being indiscerpible.
indiscriminateness,"The state of being indiscriminate 1878, Phillips Brooks, Sermons, Dutton, page 321[1] The indiscriminateness of most men's lives impresses us, I think, more and more."
indistinguishability,The state of being indistinguishable 1991 Earl H
indistinguishableness,The state or quality of being indistinguishable.
individuatability,The ability to be individuated; the property of being individuatable.
indivisibility,The state of being indivisible.The state incapable of being divided.
indivisibleness,The state of being indivisible; indivisibility
indocibility,The state of being indocible.
inducibility,The state of being inducible
inductiveness,The condition of being inductive
inebriety,"The state of being inebriated; inebriation, drunkenness"
inedia,The ability to live without food.
ineffectiveness,The condition of being ineffective
ineffectuality,The state or condition of being ineffectual.
inefficacy,The condition of being ineffective
inelegance,"The state or quality of being inelegant; lack of grace, refinement, beauty, or polish in language, composition, or manners"
ineligibility,The state or quality of being ineligible
ineloquence,The state or condition of being ineloquent
ineluctability,The state or condition of being ineluctable.
inequivalence,The condition of being inequivalent
inescapability,The state or property of being inescapable.
inessentiality,The condition of being inessential
inevitability,The condition of being inevitable.
inexhaustibility,The state or condition of being inexhaustible.
inexpediency,The condition of being inexpedient.
inexpensiveness,The state or quality of being inexpensive
inexplicability,The state of being difficult to account for; the state of being inexplicable
inexplicableness,the state of being difficult to account for; the state of being inexplicable
inexplicitness,The state or condition of being inexplicit.
inexpressibility,The condition of being inexpressible
inextensibility,The condition of being inextensible
inextricability,The condition of being inextricable
inextricableness,The state of being inextricable.
infamousness,The state or quality of being infamous; infamy.
infamy,The state of being infamous.
infancy,The state of being an infant.
infancy,The state of being a minor.
infeasibility,The state of being infeasible or impractical
infectability,The ability to infect or be infected
infectiousness,The state or condition of being infectious.
infectiveness,The state or quality of being infective.
infelicity,The condition of being infelicitous
inferability,"The condition of being inferable 2007 October 2, AndrewD.Cling, The epistemic regress problem, in Philosophical Studies, volume 140, number 3, DOI:10.1007/s11098-007-9152-6:31 In particular, coherence requires [t]he inferability of [a] particular belief from other particular beliefs, and further inference relations among particular beliefs."
infertility,The condition of being infertile; of having poor fertility
infixation,The state or quality of being infixed.
inflamedness,The state or quality of being inflamed.
inflammability,The condition of being inflammable
inflammation,The state of being inflamed
informality,The condition of being informal
informativeness,The condition of being informative; clarity
informativity,"The condition of being informative 2015 July 9, Genomics and Machine Learning for Taxonomy Consensus: The Mycobacterium tuberculosis Complex Paradigm, in PLOS ONE[1], DOI:10.1371/journal.pone.0130912:Indeed, SNPs diversity may cover various level of informativity, which remains for the time-being poorly explored at the statistical level, in particular concerning epistatic mutations significance."
informedness,the state or quality of being informed
infragility,the state or quality of being not fragile
infrangibleness,The state or quality of being infrangible.
infrequency,The state of being unfrequented; isolation; seclusion
infundibuliformity,The state or quality of being infundibuliform; conicity
infuscation,The state of being dark; obscurity
ingeniousness,The condition of being ingenious.
ingenuity,"The ability to solve difficult problems, often in original, clever, and inventive ways"
ingenuousness,The condition of being ingenuous.
ingloriousness,The state of being inglorious.
ingratiation,The state of being ingratiating.
inhalability,The condition of being inhalable
inherence,The state of being inherent or permanently present in something; indwelling
inherency,The condition of being inherent
inheritedness,The state or quality of being inherited.
inhomogeneity,The state of being inhomogeneous
inimicality,The state or quality of being inimical or hostile; unfriendliness
inirritability,The state of being inirritable
initiative,The ability to act first or on one's own.
injectiveness,The state or quality of being injective.
injudiciousness,The state or condition of being injudicious.
inkiness,The condition of being inky.
innateness,The condition of being innate.
innocuousness,The condition of being innocuous
innumerability,The state of being innumerable
innumerableness,The state or condition of being innumerable; countlessness.
inoculativity,The condition of being inoculative
inoffensiveness,the state or condition of being inoffensive
inoperativeness,The state or condition of being inoperative; nonfunction.
inordinacy,The state or quality of being inordinate; excessiveness
inotropicity,The condition of being inotropic
inquietude,"A condition of being restless, uneasy or nervous"
insalubrity,"The condition of being insalubrious; unhealthiness, unwholesomeness"
insanity,The state of being insane; madness.
insatiability,The condition of being insatiable
insatiateness,The state of being insatiate.
inscrutability,"The condition of being inscrutable 1974, Robert Pirsig, Zen and the Art of Motorcycle Maintenance, ISBN, page 307:The inscrutability of all this was the kind of inscrutability you have when you suddenly enter a room where a furious argument has just ended"
insectdom,The condition of being an insect; insects in general
insectivory,The condition of being an insectivore
insecurity,The state of being subject to danger; vulnerability.
insensitivity,The condition of being insensitive
insentience,The condition of being insentient
inseparability,The condition of being inseparable
insideness,The state or condition of being inside
insightfulness,The state or condition of being insightful.
insignificance,the state of being insignificant
insipidity,The condition of being insipid; insipidness
insistence,The state of being insistent.
insobriety,The state of being drunk; a lack of sobriety.
insolvency,"The condition of being insolvent; the state or condition of a person who is insolvent; the condition of one who is unable to pay his debts as they fall due, or in the usual course of trade and business"
inspectorship,The condition of being an inspector; the office of an inspector
instantaneity,The condition of being instantaneous
instantaneousness,condition of being instantaneous
insubstantiality,The state or quality of being insubstantial.
insufferableness,The state of being insufferable.
insupportableness,The state of being insupportable; insufferableness.
insurmountability,The state or quality of being insurmountable.
intactness,The condition of being intact.
integrality,The condition of being integral
integrity,The state of being wholesome; unimpaired
intendedness,The state or quality of being intended.
intensiveness,The condition of being intensive.
intensivity,The condition of being intensive
intentness,The condition of being intent.
intercommunicability,The ability to intercommunicate.
intercomparability,The condition of being intercomparable
intercompatibility,The state of being intercompatible
interconnectedness,The state of being interconnected.
interconnectivity,The state or quality of being interconnected This network has great interconnectivity.
interconvertibility,The condition of being interconvertible
interdependence,the condition of being interdependent
interestedness,"The state or quality of being interested, or having an interest; selfishness"
interestingness,The state or quality of being interesting
interiority,"The state or quality of being private or interior to the person 2007 March 30, Andrea K"
interlamination,The state of being interlaminated.
interlockability,The condition of being interlockable
intermediacy,The condition of being intermediate
intermediateness,The condition of being intermediate
interminableness,The state or condition of being interminable.
intermingledness,The state or condition of being intermingled.
intermittence,The state of being sporadic or intermittent.
intermittency,The state of being intermittent; periodicity.
intermolecularity,The state or condition of being intermolecular.
internality,The condition of being internal or internalized.
internationalness,The state or condition of being international.
internity,State of being within; interiority
interpretability,"The ability to be interpreted 2008 August 1, MichaelBaumgartner, The Causal Chain Problem, in Erkenntnis, volume 69, number 2, DOI:10.1007/s10670-008-9113-2:Data collection, of course, has to comply with specific constraints that guarantee the causal interpretability of that data."
interpretership,"The state of being an interpreter 1909, Leonora Blanche Lang, The Red Book of Heroes[2]:Havelock had passed in London the examination necessary for the degree of a qualified Moonshee, or native tutor, and his Persian was so good that regularly throughout his life, when his superior officers wished to mark their appreciation of his services, they recommended him for an interpretership!"
interreducibility,The condition of being interreducible
interrelatedness,The state or condition of being interrelated.
interrogatability,The state or condition of being interrogable.
interspersion,The state of being interspersed.
intersubjectivity,The state or condition of being intersubjective.
intervariability,"The condition of being intervariable 2015 July 21, Diego Alvarez-Estevez, Vicente Moret-Bonillo, Computer-Assisted Diagnosis of the Sleep Apnea-Hypopnea Syndrome: A Review, in Sleep Disorders[1], volume 2015, DOI:10.1155/2015/237878:The presence of noise in the signals, data dependency, redundancy, limited sensitivity of the transducer, loss of information due to the analog-to-digital conversion, interferences, or expert's intra- and intervariability are some examples."
intestacy,"the state of being intestate, or of dying without having made a valid will"
intolerability,The state of being intolerable; intolerableness.
intolerableness,The state of being intolerable or insufferable
intolerance,The state of being intolerant
intoxicatedness,The state of being intoxicated; drunkenness.
intoxication,The state of being intoxicated or drunk
intracellularity,The condition of being intracellular
intractability,The state of being intractable; intractableness.
intractableness,The state of being intractable; intractability.
intramodality,The condition of being intramodal
intramolecularity,The state or condition of being intramolecular.
intransitivity,The state or quality of being intransitive
intravitality,The condition of being intravital
intricacy,The state or quality of being intricate or entangled
intricateness,The state or quality of being intricate; intricacy.
intrinsicality,the state of being intrinsic; inherence
intromission,the state of being allowed to enter; admittance
introspectiveness,The state of being introspective.
introvertedness,The state or quality of being introverted
intuitiveness,The state of being intuitive.
inundation,The state of being inundated; flooding
inutterability,The state or condition of being inutterable.
invalidhood,The state of being an invalid; invalidism
invalidity,The state of being invalid; lack of validity.
invariableness,"The state of being invariable; constancy of state, condition, or quality Synonyms: immutability, unchangeableness"
invasibility,The condition of being invasible
invasivity,The condition of being invasive
invertibility,The condition of being invertible.
investigability,The state or condition of being capable of being investigated
investorship,The state or condition of being an investor
inveteracy,The state of being inveterate; long continuance; firmness or deep-rooted persistence.
inviolacy,The state or quality of being inviolate
inviolateness,The state of being inviolate.
invisibility,The state of being invisible.
invisibleness,The state of being invisible; invisibility.
invitingness,The state of being inviting; attractiveness.
involuntariness,The state of being involuntary; unwillingness; automatism.
involutivity,"The condition of being involutive 2015, V"
involvedness,The state of being involved.
invulnerability,The state of being invulnerable.
iodophilicity,The state of being iodophilic
ionicity,The condition of being ionic.
ionizability,The condition of being ionizable.
ionocovalence,The state of being ionocovalent.
ionophilicity,The condition of being ionophilic
ipsilaterality,"The state of being ipsilateral, i.e"
irascibleness,The state of being irascible; irascibility.
irateness,The state of being irate.
irefulness,The state of being ireful; anger; fury.
irksomeness,"The state of being irksome Synonyms: vexatiousness, tediousness, wearisomeness"
irreconcilement,the state or quality of being unreconciled; disagreement
irredeemability,The state or quality of being irredeemable.
irredundance,"The condition of being irredundant 2016, Clayton Suguio Hida, Two Cardinal Inequalities about Bidiscrete Systems, in arXiv[1]:Todorcevic concerning the irredundance in Boolean algebras and we prove that for every maximal irredundant family F C ( K ) {\displaystyle {\mathcal {F}}\subset C(K)} , there is a {\displaystyle \pi } -base B {\displaystyle {\mathcal {B}}} for K {\displaystyle K} with , a result analogous to the McKenzie Theorem for Boolean algebras in the context of compact spaces."
irregularity,"The state or condition of being irregular, or the extent to which something is irregular."
irreligion,The state of being irreligious; irreligious sentiment or thought
irreligiousness,The state or quality of being irreligious; ungodliness.
irremediableness,The state or quality of being irremediable.
irreparability,The condition of being irreparable
irreproachability,the state or condition of being irreproachable
irresolubleness,The state or quality of being irresoluble.
irresoluteness,The state of being irresolute.
irresolvableness,The state or quality of being irresolvable.
irresponsiveness,"The state of being irresponsive 2015 December 3, Early-Onset Convulsive Seizures Induced by Brain Hypoxia-Ischemia in Aging Mice: Effects of Anticonvulsive Treatments, in PLOS ONE[1], DOI:10.1371/journal.pone.0144113:As per the guidelines, all animals with severe CS were treated with clinically appropriate anticonvulsants, and mandatory euthanization (with pentobarbital anesthesia) was performed if animals exhibited severe, refractory CS and/or presented in poor physical condition, defined as persistent immobility, lack of eating or drinking, irresponsiveness to touch, loss of the righting reflex, and/or a substantial reduction in body weight (20% of baseline level)."
irretrievability,The state or quality of being irretrievable.
irretrievableness,The state or quality of being irretrievable.
irreverence,The state or quality of being irreverent; want of proper reverence; disregard of the authority and character of a superior.
irreversibleness,The state or quality of being irreversible.
irrevocability,The state or condition of being irrevocable.
irritability,The state or quality of being irritable; quick excitability irritability of temper
irritancy,the state or quality of being null and void; invalidity (Can we find and add a quotation of Burrill to this entry?)
irritation,"The state of being irritated 2012 March-April, Anna Lena Phillips, Sneaky Silk Moths, in American Scientist[1], volume 100, number 2, page 172:Last spring, the periodical cicadas emerged across eastern North America"
irrotationality,The condition of being irrotational
isobaricity,The condition of being isobaric.
isocausality,The condition of being isocausal.
isochronicity,"The condition of being isochronic 2016, Jacky Cresson, Jordy Palafox, Isochronous centers of polynomial Hamiltonian systems and a conjecture of Jarque and Villadelprat, in arXiv[1]:Using the correction of a vector field to characterize isochronicity and explicit computations of this quantity for polynomial vector fields, wa are able to describe a very large class of nonisochronous Hamiltonian system of even degree of degree arbitrary large."
isochronism,The state or quality of being isochronous.
isochrony,The state of being isochronous.
isoclinism,"The condition of being isoclinic 2015, Avinoam Mann, Some group theoretical mass formulae, in arXiv[1]:Others generalize a formula of P.Hall, repalcing the class of abelian p {\displaystyle p} -groups by subclasses, or by isoclinism classes of non-abelian groups, also by replacing automorphism groups by holomorphs, etc."
isodirectionality,The condition of being isodirectional
isodonty,The condition of being isodont
isoechoicity,The condition of being isoechoic
isofunctionality,The condition of being isofunctional
isogeneity,The condition of being isogenic
isogenicity,The condition of being isogenic.
isogeny,The condition of being isogenous.
isohelicity,The condition of being isohelical
isointensity,The condition of being isointense
isolatedness,The state or condition of being isolated.
isolation,"The state of being isolated, detached, or separated."
isolation,The state of being away from other people.
isolinearity,The condition of being isolinear
isomonodromy,The condition of being isomonodromic
isomorphicity,The condition of being isomorphic
isoosmolarity,The condition of being isoosmolar
isorhythmicity,The condition of being isorhythmic
isoselectivity,The condition of being isoselective
isospecificity,The condition of being isospecific
isospectrality,The state or condition of being isospectral.
isostaticity,The condition of being isostatic.
isostericity,The condition of being isosteric
isostructurality,The condition of being isostructural
isotacticity,The state of being isotactic
isothermality,The condition of being isothermal.
isotonicity,"The state of being isotonic, or extent to which something is isotonic."
isovascularity,The condition of being isovascular
issueness,"The state, condition, or quality of being an issue or problem"
itchiness,The state of being itchy.
iteroparity,The condition of being iteroparous
itinerancy,The state or quality of being itinerant
dadness,"The state, quality, or condition of a dad 2015, Judd Apatow, Sick in the Head, page 189:I'm doing a thing now about dadnessyou know, when you reach dadness fully, no one in your family can hurt your feelings anymore, because you don't have feelings anymore."
dailiness,The state or quality of being daily.
damnableness,The state or quality of being damnable
damnation,The state of being damned; condemnation; openly expressed disapprobation.
dampiness,The state or quality of being dampy.
dangerousness,The state or quality of being dangerous.
dankness,The state or quality of being dank.
dapperness,The state or quality of being dapper.
daringness,The state or quality of being daring.
darkishness,The state or condition of being darkish; moderate darkness.
darkness,The state of being dark; lack of light
darlinghood,"The state, quality, or condition of a darling."
dashingness,The state or quality of being dashing.
dastardliness,The state or quality of being dastardly.
dastardness,The state or quality of being a dastard.
datelessness,The state or condition of being dateless: timeless or undated.
datelessness,The state or condition of being dateless: without a date (romantic partner).
daughterhood,The condition of being a daughter
daughterness,The state or quality of being a daughter.
day-blindness,The state or quality of being day-blind.
daze,The state of being dazed He was in a daze.
dazedness,The state or quality of being dazed.
daziness,The state or quality of being dazy.
dazzlement,The condition of being dazzled
dazzlingness,The state or quality of being dazzling.
dead-handedness,The state or quality of being dead-handed
deafmutism,The condition of being a deaf-mute.
deafness,The condition of being deaf; the lack or loss of the ability to hear.
death warmed over,A state of being extremely ill or injured
deathlessness,The state of being deathless; eternity; immortality.
deathliness,The state or quality of being deathly.
debauchedness,The state or quality of being debauched.
debonairness,The state or quality of being debonair.
debtorship,The state of being in debt.
decayedness,The state or quality of being decayed.
deceit,The state of being deceitful or deceptive
deceitfulness,The state or quality of being deceitful
deceivability,The state or quality of being deceivable.
deceivableness,The state or quality of being deceivable.
decentness,The state or quality of being decent.
deceptiveness,the state or quality of being deceptive
decidability,the state or condition of being decidable.
decidedness,The state or quality of being decided.
deciduosity,The state or condition of being deciduous; the quality of trees which lose their leaves in winter or the dry season
deciduousness,The state or condition of being deciduous; the quality of trees which lose their leaves in winter or the dry season
decipherability,The condition of being decipherable.
decisiveness,The state or quality of being decisive.
declarativity,The condition of being declarative
declaredness,The state or quality of being declared.
decodability,The condition of being decodable.
decoherency,"The condition of being decoherent 2016, S"
decomposability,The condition of being decomposable
decorativeness,The condition of being decorative
decorousness,The state or quality of being decorous.
decrepitude,"the state of being decrepit or worn out from age or long use 1781, Samuel Johnson, Lives of the Poets There prevailed in his time an opinion, that the world was in its decay, and that we have had the misfortune to be produced in the decrepitude of nature"
deducibility,The condition of being deducible
deductibility,"The ability to be deducted, such as from one's taxes There is no doubt about the deductibility of these expenses."
deepness,The state or quality of being deep (either physically or metaphorically)
deerhood,The state or condition of being a deer.
deerness,The state or quality of being a deer
defectiveness,The state or quality of being defective.
defectivity,State or quality of being defective.
defencelessness,The state or condition of being defenceless.
defendability,The condition of being defendable
defensibility,"The state or quality of being defensible 2008 April 1, CarolinaSartorio, Moral inertia, in Philosophical Studies, volume 140, number 1, DOI:10.1007/s11098-008-9229-x:However, there is a particular objection to the rational defensibility of moral inertia that has to do with the intelligibility of the concept of deflection in general."
defensiveness,The state or quality of being defensive.
defiantness,The state or quality of being defiant.
defilement,The state of being defiled.
definedness,The condition of being defined
definiteness,The state or quality of being definite.
definitiveness,The state or quality of being definitive.
deformability,The state of being deformable
deformedness,The state or quality of being deformed.
deformity,The state of being deformed.
defunctness,The state or quality of being defunct.
degeneracy,the state of being degenerate (in all senses)
degenerateness,The state or quality of being degenerate.
degradability,The condition of being degradable
degradation,"The state of being reduced in rank, character, or reputation; baseness; moral, physical, or intellectual degeneracy; disgrace; abasement; debasement."
degradingness,The state or quality of being degrading.
deisticness,The state or quality of being deistic.
deityhood,The state of being a deity; divinity
deityship,"The condition of being a deity; divinity, especially as a jocular epithet"
dejectedness,The state or quality of being dejected.
delectableness,The state or quality of being delectable.
deletionism,The condition of being deletionist.
deliberateness,the state or property of being deliberate
deliberativeness,The state or quality of being deliberative.
deliciousness,The state or quality of being delicious.
delightfulness,The state or quality of being delightful.
delightsomeness,The state of being delightsome.
deliquescence,The condition of being deliquescent.
delusion,"The state of being deluded or misled, or process of deluding somebody"
delusiveness,The state or quality of being delusive.
demandingness,The state or quality of being demanding.
demersion,"The state of being overwhelmed in water, or as if in water"
demigodhood,The state or condition of being a demigod.
demipositivity,"The condition of being demipositive 2015, Pascal Bianchi, Walid Hachem, Dynamical behavior of a stochastic forward-backward algorithm using random monotone operators, in arXiv[1]:The convergence of the empirical means of the x n {\displaystyle x_{n}} 's towards a zero of A + B {\displaystyle {\mathcal {A}}+{\mathcal {B}}} follows, as well as the convergence of the sequence ( x n ) {\displaystyle (x_{n})} itself to such a zero under a demipositivity assumption."
demiromanticism,The state of being demiromantic.
demisability,The state of being demisable.
demisexuality,The state of being sexually or romantically attracted only to people with whom one has a strong emotional bond
demoniacism,The state of being demoniac; the practices of demoniacs.
demonstrativeness,The state or quality of being demonstrative.
demureness,The state or quality of being demure.
dendricity,The condition of being dendric
deniability,The condition of being deniable.
denticulation,The state of being set with small notches or teeth
dependence,"The state of being dependent, of relying upon another"
deplorableness,The state or quality of being deplorable.
deploredness,The state of being deplored or deplorable
depolarizability,The condition of being depolarizable
depravation,The state of being depraved or degenerated; degeneracy; depravity.
depravedness,The state of being depraved; depravity
depravity,The state or condition of being depraved; moral debasement
depreciation,The state of being depreciated; disparagement.
depressedness,The state or quality of being depressed.
depressingness,The state or quality of being depressing.
depressiveness,The state of being depressive.
depressivity,The condition of being depressive
deprival,The condition of being deprived
deprivation,"The state of being deprived Synonyms: privation, loss, want, bereavement"
derangedness,The state or quality of being deranged.
derisiveness,The condition of being derisive
derivability,The condition of being derivable
derivativeness,The state or quality of being derivative.
derivativity,The state or quality of being derivative; derivative nature.
derivedness,The state or quality of being derived; derivativity.
dermatotoxicity,The condition of being dermatotoxic
dermatoxicity,The condition of being dermatoxic
derogatoriness,The state or quality of being derogatory.
desertedness,The state or quality of being deserted.
deservedness,The state or quality of being deserved.
deservingness,The state or quality of being deserving.
deshabille,the state of being partially clothed
desidiousness,The state or quality of being desidious.
designedness,The state or quality of being designed.
designfulness,The state or quality of being designful.
desirability,The state of being desirable.
desirefulness,The state of being desireful; eagerness to obtain and possess.
desirousness,The state of being desirous.
desolateness,The state of being desolate or barren.
