term,definition
immunizability,The quality of being immunizable
immunoactivity,The quality or degree of being immunoactive
immunocompatibility,The quality of being immunocompatible
immunopositivity,The quality of being immunopositive
impactfulness,The quality of being impactful.
impactlessness,Absence of impact.
impalpability,The quality of being impalpable; intangibility
impartiality,The quality of being impartial; fairness.
impartialness,The quality of being impartial
impartibility,The quality of being incapable of division into parts; indivisibility
impassableness,The quality of being impassable.
impassionedness,The quality of being impassioned.
impatience,"The quality of being impatient; lacking patience; restlessness and intolerance of delays; anxiety and eagerness, especially to begin something."
impatientness,Quality of being impatient.
impeccability,The property of being impeccable.
impeccableness,Quality of being impeccable.
impeccancy,The quality of being sinless
impecuniousness,The property of being impecunious.
impellingness,Quality of being impelling.
impenetrability,The characteristic of being impenetrable; invulnerability
impenetrableness,The quality of being impenetrable
impenitence,"the property of being impenitent, of lacking penitence, of not being regretful of wrongs done Antonym: penitence"
imperceivableness,The quality of being imperceivable.
imperceptibleness,The quality of being imperceptible.
imperception,Lack of perception; failure to perceive.
imperceptiveness,The quality of being imperceptive.
impercipience,The quality of being impercipient
imperfectability,the quality of not being perfectable; of being forever imperfect We must accept the imperfectability of the world.
imperforation,Absence of perforation in a normally patent structure.
imperialness,Quality of being imperial.
imperiousness,"The quality of being imperious Synonyms: arrogance, haughtiness"
imperishability,The quality of being imperishable
impermanence,Lack of permanence or continued duration.
impermeability,the quality of being impermeable
impermissiveness,The quality of being impermissive.
impersonalness,Quality of being impersonal.
impertinence,Lack of pertinence; irrelevance.
imperviability,The quality of being imperviable.
imperviableness,The quality of being imperviable.
impetuosity,"The quality of making rash or arbitrary decisions, especially in an impulsive or forceful manner"
impiety,The lack of respect for a god or something sacred.
impiousness,Quality of being impious.
implacableness,The quality of being implacable.
implantability,The quality of being implantable.
implausibility,Lack of plausibility; the quality of being implausible.
implausibleness,The quality of being implausible.
implementability,The quality of being implementable
implicativeness,The quality of being implicative.
impliedness,Quality of being implied.
imploringness,The quality of being imploring.
implosiveness,The quality of being implosive.
impoliticalness,Quality of being impolitical.
impoliticness,The quality of being impolitic.
importability,The property of being importable.
importantness,The quality of being important; importance
importunacy,The quality of being importunate.
importunateness,Quality of being importunate.
imposingness,The quality of being imposing.
impossibility,The quality of being impossible
impossibleness,Quality of being impossible.
impreciseness,"The quality of being imprecise, or lacking precision."
imprecision,lack of precision or exactness; poor accuracy
imprescriptibility,The quality of being imprescriptible.
impressibility,The quality of being impressible.
impressionability,The quality of being impressionable.
impressionableness,The quality of being impressionable.
impressiveness,The quality of being impressive.
improbableness,The quality of being improbable.
improbity,"a lack of probity, honesty or integrity Synonym: dishonesty"
improficiency,Lack of proficiency
improperness,Quality of being improper.
improvableness,Quality of being improvable; capability of improvement.
improvidence,The quality of being improvident; want of foresight or thrift.
impudence,"The quality of being impudent, not showing due respect."
impudentness,Quality of being impudent.
impulsiveness,The quality of being impulsive.
impulsivity,"The quality of being impulsive, impulsiveness; inclination to act on impulse rather than thought."
imputableness,The quality of being imputable; imputability.
in-depthness,The quality of being in-depth.
inability,Lack of the ability to do something; incapability
inability,Lack of the option to do something; powerlessness.
inacceptability,The property of being inacceptable.
inaccuracy,The property of being inaccurate; lack of accuracy.
inaccurateness,The quality of being inaccurate.
inacquaintance,Lack of acquaintance; ignorance
inaction,"Lack of action or activity or labor Synonyms: idleness, rest, inertness, inertia"
inactiveness,The quality of being inactive.
inactivism,Lack of activism.
inactivity,The quality of being inactive; idleness; passiveness
inadaptation,Lack of adaptation; unsuitableness.
inadequacy,A lack of competence or ability.
inadhesion,Lack of adhesion.
inadvisableness,The quality of being inadvisable.
inaffability,Lack of affability or sociability; reticence.
inanimateness,The property of being inanimate.
inanimation,Lack of animation; lifeless; dullness.
inanity,"The property of being inane, of lacking material of interest or satisfaction, emptiness."
inapparency,absence of visible symptoms
inappellability,The quality of being inappellable; finality
inappetence,A lack of appetite
inapplication,"Lack of application, attention, or diligence; negligence; indolence."
inappreciability,The quality of being inappreciable.
inappreciation,Lack of appreciation.
inapprehensibility,The quality of being inapprehensible.
inappropriateness,The quality of being inappropriate; unsuitability.
inapproximability,The extent to which something is inapproximable
inaptitude,The quality of being inapt.
inaptness,Quality of being inapt.
inartfulness,Quality of being inartful.
inarticulability,The quality of being inarticulable
inarticulacy,The quality of being inarticulate.
inarticulateness,"The property of being inarticulate, of lacking articulateness."
inartificiality,The property of being inartificial.
inartificialness,The property of being inartificial.
inartisticness,The property of being inartistic.
inattention,"Lack of attention, or failure to pay attention Synonyms: disregard, heedlessness, neglect"
inattentiveness,The property of being inattentive.
inaudacity,The property of lacking audacity
inaudibility,The property of being inaudible.
inaudibleness,The quality of being inaudible.
incalculableness,The quality of being incalculable.
incapaciousness,The quality of being incapacious.
incapacity,The lack of a capacity; an inability
incaution,A lack of caution
incautiousness,The quality of being incautious.
incessance,The quality of being incessant.
incessancy,The quality of being incessant; unceasingness
incessantness,Quality of being incessant.
inchoateness,The quality of being inchoate.
incidentalness,Quality of being incidental.
incircumscription,"The quality of being incircumscriptible, or limitless"
incircumspection,Lack of circumspection
incisivity,The quality of being incisive; penetrating trenchancy; incisiveness
incivism,Lack of civism or patriotism; unfriendliness to one's state or government
inclemency,The quality of being inclement; lack of clemency.
includability,The quality of being includable.
inclusiveness,The property of being inclusive.
incoercibility,The quality of being incoercible
incogitability,The quality of being incogitable.
incogitancy,A lack of thought or thinking
incogitativity,The quality of being incogitative; lack of thought or of the power of thinking
incognoscibility,The quality of being incognoscible.
incoherence,The quality of being incoherent
incoherency,The quality of being incoherent; lack of coherence
incoincidence,The quality of being incoincident; lack of coincidence.
incombustibleness,The quality of being incombustible.
incomitance,The quality of being incomitant.
incomity,Lack of comity; incivility; rudeness.
incommunicableness,Quality of being incommunicable.
incomparability,The extent to which something is incomparable
incomparableness,Quality of being incomparable.
incomplexity,Lack of complexity; simplicity.
incompossibility,The quality of being incompossible.
incomprehension,Lack of comprehension or understanding; inability to understand
incompressibility,"The quality of being incompressible, of not compressing under pressure Water has a high degree of incompressibility."
inconceivability,The quality of being inconceivable.
inconceivableness,The quality of being inconceivable
inconcinnity,Lack of harmony or suitability.
inconclusion,Lack of conclusion
inconsequentiality,the property of being inconsequential
inconsiderableness,Quality of being inconsiderable.
inconsideration,"Lack of due consideration; inattention to consequences, thoughtlessness"
inconsistentness,The quality of being inconsistent
inconsolableness,The quality of being inconsolable.
inconsonance,Lack of consonance or harmony; disagreement.
inconstancy,"Lack of constancy; lack of consistency in thought, emotion or action"
inconstantness,Quality of being inconstant.
inconstructibility,Quality of not being constructible.
incontestability,The characteristic of being incontestable.
incontestableness,The quality of being incontestable.
incontestibility,The quality of being incontestible.
incontrovertibleness,The quality of being incontrovertible.
inconvenience,The quality of being inconvenient
inconvertibleness,The quality of being inconvertible.
incoordination,"Lack of coordination, especially in terms of muscle control"
incorrection,Lack of correction or discipline.
incorrectness,The characteristic of being incorrect.
incorrespondence,Lack of correspondence; failure to correspond or match up; disagreement; disproportion.
incorrigibleness,The quality of being incorrigible; incorrigibility
increasableness,The quality of being increasable.
incredibility,The quality of being incredible; incredibleness.
inculpability,Lack of culpability; freedom from blame.
inculpableness,The quality of being inculpable; blamelessness.
indecency,lack of decency; the property or degree of being indecent
indecipherability,Quality of being indecipherable.
indecipherableness,The quality of being indecipherable.
indeclinability,The quality of being indeclinable.
indecorousness,The quality of being indecorous
indefectibility,The quality of being indefectible
indefinability,The quality of being indefinable.
indefiniteness,The characteristic of being indefinite.
indefinity,The quality of being vague and poorly defined.
indeliberateness,Quality of being indeliberate.
indelibility,The property of being indelible
indelibleness,Quality of being indelible.
indelicateness,The quality of being indelicate; indelicacy.
indemonstrability,The quality of being indemonstrable; impossibility of demonstration.
indescribableness,The quality of being indescribable.
indestructibleness,The quality of being indestructible.
indeterminableness,The quality of being indeterminable.
indeterminateness,The quality of being indeterminate
indetermination,"Lack of determination; an unsettled or wavering state, as of the mind."
indetermination,Lack of fixed or stated direction.
indexability,The property of being indexable.
indexterity,"Lack of dexterity, skill, or readiness in any respect; awkwardness; sluggishness; clumsiness."
indictability,The quality of being indictable.
indieness,Quality of being indie.
indifference,A lack of enthusiasm.
indifferentiation,A lack of differentiation in the senses
indifferentness,The quality of being indifferent.
indigeneity,Quality of being indigenous; membership of an indigenous group.
indigestibleness,The quality of being indigestible.
indirection,A lack of direction; deviousness or aimlessness.
indirectivity,Quality of being indirective.
indiscipline,Lack of discipline
indiscrimination,Lack of discrimination or distinction; impartiality.
indispensability,The characteristic of being indispensable
indispensableness,The characteristic of being indispensable; indispensability.
indisputability,The property of being indisputable.
indisputableness,The property of being indisputable.
indissolubleness,The quality of being indissoluble
indissolvableness,The quality of not being dissolvable.
indistinction,Absence of distinction or eminence; obscurity.
indistinctiveness,The quality of being indistinctive.
indistinctness,The property of being indistinct.
individualness,Quality of being individual
indivision,The absence of division; an undivided state.
indocibleness,Quality of being indocible.
indomitability,The quality of being indomitable
indomitability,"The quality of being undefeated, resolute, and tenacious."
indomitableness,Quality of being indomitable
indubitableness,The quality of being indubitable.
inductance,The property of an electric circuit by which a voltage is induced in it by a changing magnetic field
induplication,The quality of being induplicate.
indurateness,Quality of being indurate.
induration,The quality of non-friability; the extent to which a rock does not crumble; rock strength
industriousness,The quality of being industrious; diligence.
ineconomy,"Lack of economy, waste (of resources)"
inedibility,The quality of being inedible
ineffaceability,Quality of being ineffaceable.
ineffervescence,Lack of effervescence
inefficaciousness,Lack of efficacy.
inefficiency,Lack of efficiency or effectiveness.
inelasticity,The quality of being inflexible.
ineptitude,The quality of being inept
ineptness,The quality or degree of being inept
inequity,A lack of justice; injustice.
ineradicability,Quality of being ineradicable.
inertia,The property of a body that resists any change to its uniform motion; equivalent to its mass.
inertia,"Lack of activity; sluggishness; said especially of the uterus, when, in labour, its contractions have nearly or wholly ceased."
inertialessness,Absence of inertia.
inertion,Lack of activity or exertion; inertness; quietude
inertness,"Lack of activity or exertion; habitual indisposition to action or motion Synonyms: sluggishness, apathy, insensibility"
inertness,Absence of the power of self-motion; inertia.
inertness,Quality of being unreactive with other chemical compounds or elements.
inescapableness,The quality of being inescapable.
inestimability,The property of being inestimable.
inestimableness,The property of being inestimable.
inevitableness,The characteristic of being inevitable; inevitability.
inexactitude,A lack of exactness; something inexact or imprecise
inexcitability,The quality of being inexcitable.
inexcusability,The quality of being inexcusable.
inexcusableness,The quality of being inexcusable
inexertion,Lack of exertion or effort; indolence; laziness.
inexhaustibleness,The quality of being inexhaustible.
inexorableness,The quality of being inexorable.
inexpectation,Absence of expectation
inexperience,A lack of experience
inexpertise,A lack of expertise.
inexpertness,Lack of expertise or skill.
inexpiableness,The quality of being inexpiable.
inexpression,Lack of expression; failure to express.
inexpressiveness,The quality of being inexpressive
inextension,Lack of extension; unextended state.
inextinguishableness,The property of being inextinguishable.
infallibility,The property of being infallible; the ability to never make a mistake.
infallibleness,The quality of being infallible
infantileness,quality of being infantile
infantility,quality of being infantile
infeasibleness,The quality of being infeasible
infectedness,Quality of being infected.
infecundity,"Lack of fecundity or fruitfulness Synonyms: barrenness, fruitlessness, sterility, unproductiveness"
inferentiality,The quality of being inferential.
inferiority,The quality of being a competitive disadvantage.
inferiorness,Quality of being inferior.
infernality,The quality of being infernal
infestivity,"Lack of festivity, cheerfulness, or mirth"
infidelity,Lack of religious belief
infiniteness,The quality of being infinite.
infiniteness,"The quality of being immeasurably large or boundless, limitlessness."
infirmness,The quality of being infirm; feebleness
inflammability,The extent to which something is inflammable
inflammableness,The quality of being inflammable
inflatability,The quality of being inflatable.
inflatedness,The property of being inflated.
inflectedness,The quality of being inflected
inflectionlessness,Absence of inflection.
influentialness,The quality of being influential; influence
informationlessness,Absence of information
infrangibility,The quality of being infrangible.
infrequency,The characteristic of being infrequent
ingeniosity,The quality of being ingenious
ingestibility,The quality or degree of being ingestible
ingrainedness,The quality of being ingrained.
ingratefulness,Quality of being ingrateful.
ingressiveness,The quality of being ingressive.
ingrownness,The quality of being ingrown.
inhabitability,The quality of being inhabitable.
inharmoniousness,The quality of being inharmonious
inharmony,Lack of harmony
inhibitability,The quality or degree of being inhibitable.
inhibitedness,The property of being inhibited.
inhospitableness,The quality of being inhospitable.
inhospitality,Lack of hospitality.
inhumanity,The lack of compassion.
inhumanness,"Quality of being inhuman, cruel."
inimicalness,The property of being inimical.
inimitableness,The quality of being inimitable.
iniquitousness,Quality of being iniquitous.
initialness,"The quality of being initial, or coming first."
injectability,The quality of being injectable.
injectivity,The property of being injective.
injuriousness,The quality of being injurious
injustice,Absence of justice; unjustice.
inklessness,Absence of ink.
innermostness,The quality of being innermost.
innerness,The quality of being inner.
innocence,Absence of responsibility for a crime
innocence,Lack of understanding about sensitive subjects such as sexuality and crime
innocence,Lack of ability or intention to harm or damage
innocentness,Quality of being innocent.
innovativeness,The characteristic of being innovative.
innutrition,Lack of nutrition
inobsequiousness,Quality of being inobsequious.
inobservance,Lack of observance.
inobtrusiveness,The quality of being inobtrusive.
inoccupation,Absence of occupation; lack of anything to do.
inoculability,The quality of being inoculable
inoperancy,"The quality of being inoperant or inoperative, of lacking the power to be effective or effectual"
inopportuneness,The quality of being inopportune.
inordinateness,The quality of being inordinate; unreasonable excess.
inorganization,Lack of organization
inquisitiveness,The quality of being inquisitive; curiosity.
insanitariness,The property of being insanitary.
insanitation,Lack of sanitation; careless or dangerous hygienic conditions.
insatiableness,The quality of being insatiable.
inscriptibility,Quality of being inscriptible.
insecurity,A lack of security; uncertainty
insensateness,Quality of being insensate.
insensibility,The property of being insensible.
insensitiveness,Quality of being insensitive.
inside-outness,The quality of being inside out.
insiderness,The quality of being an insider
insightlessness,Absence of insight.
insincereness,The quality of being insincere; lack of sincerity.
insincerity,"Property of being insincere, lacking sincerity or truthfulness"
insipidness,"A lack of distinctive, appealing, or energetic character; tastelessness; extreme blandness"
insistency,The quality of being insistent
insociability,The quality of being insociable; lack of sociability
insolency,The quality of being insolent.
insolentness,Quality of being insolent.
insolidity,Lack of solidity; weakness
insolubility,The quality of being insoluble
inspectability,The quality of being inspectable.
inspiredness,Quality of being inspired.
instability,The quality of being unstable.
instantness,Quality of being instant.
instinctivity,"The quality of being instinctive, or prompted by instinct"
institutionality,The quality of being institutional.
instructability,The quality or degree of being instructable.
instructiveness,The quality of being instructive.
insubjection,Lack of subjection or obedience.
insubmission,Lack of submission; disobedience.
insufficiency,The lack of sufficiency; a shortage or inadequacy
insularity,The quality or property of being insular.
insultingness,The quality of being insulting; offensiveness.
insuperableness,The quality of being insuperable or insurmountable; insuperability.
insurability,The quality of being insurable
insurmountableness,The quality of being insurmountable.
insusceptibility,"Lack of susceptibility, or of capacity to feel or perceive."
intangibleness,The characteristic of being intangible.
integrability,The quality of being integrable (having an antidifference or antiderivative).
integrativeness,Quality of being integrative.
intellect,the capacity of that faculty (in a particular person) (uncountable) They were chosen because of their outstanding intellect.
intellectuality,The characteristic of being intellectual.
intellectualness,Quality of being intellectual.
intelligibility,The quality of recorded speech of every word being understandable.
intelligibleness,The quality of being intelligible
intemperance,Lack of moderation or temperance; excess.
intemperateness,The quality of being intemperate
intenseness,The characteristic of being intense; intensity.
intensity,The quality of being intense.
intensive property,"A property of a material that does not depend on the amount or shape of the material, a property of the material at a specific point in space Mass is an extensive property, but density is an intensive property."
intentionlessness,Absence of intention.
interactability,the quality or the state of being interactable
interactivity,The quality of being interactive.
interavailability,The property of being interavailable.
interchangeability,The quality of being interchangeable.
interchangeableness,Quality of being interchangeable.
intercomprehensibility,The quality of being intercomprehensible.
interconvertibility,The extent to which something is interconvertibille
interculturality,The quality of being intercultural.
interdefinability,The property of being interdefinable.
interdependentness,The quality of being interdependent.
interdiscursivity,The quality of being interdiscursive.
interestlessness,Absence of interest.
interfertility,The quality of being interfertile.
interiorness,Quality of being interior.
interjacence,The quality of being interjacent.
interjacency,The quality of being interjacent.
interlegibility,The quality of being interlegible
interlinearity,The quality of being interlinear.
interlinkability,The quality of being interlinkable.
intermarriageability,The quality of being intermarriageable.
intermediality,"The quality of being intermedial, combining several art media."
intermittentness,The quality of being intermittent.
intermobility,The capacity of things to move among each other
internalness,The quality of being internal.
interpersonality,The quality of being interpersonal.
interpretableness,The quality of being interpretable.
interpretativeness,Quality of being interpretative.
interraciality,The quality of being interracial.
interrelationality,The quality of being interrelational.
interruptibility,The quality of being interruptible
intersectivity,The property of being intersective.
interspecificity,The property of being interspecific.
intersterility,The quality of being intersterile.
intersubstitutability,The quality of being intersubstitutable.
intertranslatability,The quality of being intertranslatable
intervenability,The quality of being intervenable
intervisibility,The quality of being intervisible.
interwovenness,The quality of being interwoven.
intimateness,Quality of being intimate.
intransitiveness,The quality of being intransitive.
intranslatability,The quality or property of being untranslatable; inability to be translated.
intransmutability,The quality of being intransmutable.
intraspecificity,The property of being intraspecific.
intratextuality,The quality of being intratextual.
intrepidity,The quality of being intrepid; bravery
intrepidness,The quality of being intrepid; bravery.
intriguingness,The quality of being intriguing.
intrinsicalness,The quality of being intrinsical; intrinsicality.
introductoriness,Quality of being introductory.
introspectability,The quality of being subject to introspection
introspectivity,The quality of being introspective.
introversiveness,The quality of being introversive.
intrusiveness,The quality of being intrusive.
inurbaneness,The quality of being inurbane; inurbanity.
inurbanity,Lack of urbanity or courtesy; bad manners
inuredness,"The quality of being inured, or accustomed to something by repeated exposure."
invaluableness,The quality of being invaluable.
invariability,"The quality of being invariable Synonyms: invariableness, constancy, uniformity"
invariance,The property of being invariant.
invasiveness,The quality of being invasive
invectiveness,The quality of being invective.
inventiveness,The quality of being inventive; the faculty of inventing.
inveracity,A lack of veracity
inverisimilitude,Lack of verisimilitude or likelihood; improbability.
invertebracy,Quality of being invertebrate
invertedness,Quality of being inverted.
invigilance,Lack of vigilance; neglect of watching.
invigilancy,Lack of vigilance; neglect of watching.
invigoratingness,The quality of being invigorating.
invincibleness,The quality of being invincible; unconquerableness; insuperableness.
invirility,Absence of virility or manhood; effeminacy
invulnerableness,The quality of being invulnerable.
inwardness,The characteristic of being inward; directed towards the inside.
iodophilia,"The property of being iodophilic: an affinity for iodine, such as is demonstrated by the white blood cells of people with certain medical conditions."
ionicity,The extent to which something is ionic.
irascibility,The quality of being irascible; irritability of temper.
ironicalness,The quality of being ironical.
ironness,Quality of being iron.
irrationality,The property of being irrational.
irrationalness,The quality of being irrational.
irreclaimableness,The quality of being irreclaimable.
irreconcilability,The quality of being irreconcilable; irreconcilableness
irreconcilableness,"The quality of being irreconcilable Synonyms: irreconcilability, incompatibility, incongruity"
irreconciliation,lack of reconciliation; disagreement
irrecoverability,Quality of being irrecoverable.
irrecoverableness,The quality of being irrecoverable.
irredeemableness,The quality of being irredeemable.
irreducibility,The quality or degree of being irreducible
irreducibleness,The quality of being irreducible.
irreflection,Lack of reflection or consideration.
irreformability,The quality of being irreformable; absence of potential for reform.
irrefragability,The quality or degree of being irrefragable.
irrefragableness,The quality or degree of being irrefragable.
irrefrangibility,The quality or degree of being irrefrangible.
irrefutability,Quality of being irrefutable.
irrefutableness,The quality of being irrefutable.
irregularness,Quality of being irregular.
irrelativeness,Quality of being irrelative.
irrelativity,Quality of being irrelative.
irrelevance,Lack of relationship with the topic at hand; lack of importance
irrelevancy,The quality of being irrelevant or inapplicable; lack of pertinence or connection.
irreligiosity,Quality of being irreligious
irremissibleness,The quality of being irremissible.
irremovableness,The quality of being irremovable.
irreparableness,The quality of being irreparable.
irrepentance,Lack of repentance; impenitence
irreplaceability,"The quality of being irreplaceable; inability to be replaced, often because of being unique."
irreprehensibleness,The quality of being irreprehensible.
irrepresentability,The quality of being irrepresentable.
irrepressibility,The quality of being irrepressible.
irrepressibleness,The quality of being irrepressible.
irreproducibility,The quality of not being reproducible
irreprovableness,The quality of being irreprovable.
irresistibility,The quality of being irresistible.
irresistibleness,The quality of being irresistible
irresolution,Lack of resolution; lack of decision or purpose; vacillation
irresolvability,the quality of being irresolvable
irresponsibleness,The quality of being irresponsible.
irretention,Absence of retention; the state or quality of being irretentive; lack of power to retain information Synonym: forgetfulness
irretentiveness,The quality of being irretentive.
irreversibility,The quality of being irreversible; the lack of an ability to be reversed
irrevisability,"The property of being irrevisable, impossible to revise or change"
irrevocableness,Quality of being irrevocable.
irritableness,The quality of being irritable.
irritancy,the quality of being irritant or irritating
isapostolicity,The quality of being isapostolic.
isegoria,equality of all in freedom of speech
islandness,"The property of being or belonging to an island, especially insofar as it affects society and culture."
isness,The quality of being; existence as something
isodicentricism,"The quality of being isodicentric, equally dicentric"
isogonism,The quality of having similar sexual zooids or gonophores and dissimilar hydrants; said of certain hydroids.
isogonism,The property of certain substances of crystallizing in similar forms while differing in chemical composition
isogoria,Equality of freedom of speech and expression; the right of each citizen of a city (or other unit) to speak in public and address that city.
isonymy,"The property of having the same name, especially the same family name"
isospory,The quality of being isosporous.
isosynchrony,The quality of being isosynchronous.
isotacticity,The extent to which a polymer is isotactic
isotropy,"The property of being identical, or having the same physical properties, in all directions"
issuability,The property of being issuable.
issuelessness,Absence of issue (children); childlessness.
ivoriness,Quality of being ivory in colour
daftness,Property of being daft
daintiness,The characteristic of being dainty.
damageability,The quality or degree of being susceptible to damage.
dampishness,The quality of being moderately damp or moist.
danceability,The characteristic of being danceable.
danceability,"The extent to which a tune, record etc"
dancelessness,Absence of dances or dancing.
dancerliness,The quality of being dancerly
danciness,"The quality of being dancy, suitable to or filled with dance"
dandiness,The quality of being dandy.
dandyishness,The quality of being dandyish.
dangerlessness,Absence of danger.
dankishness,The quality of being dankish.
dare,The quality of daring; venturesomeness; boldness
darksomeness,The quality of being darksome.
darlingness,"The quality of being darling, or adorable."
datalessness,Absence of data.
dateability,The quality of being desirable as a potential lover
datedness,The quality of being dated; being out-of-date.
daughterlessness,Lack of daughters.
daughterliness,The quality of being daughterly.
dauntlessness,The characteristic of being dauntless; fearlessness
deadheartedness,The quality of being deadhearted.
deadliness,The quality of being deadly.
deadness,A lack of elasticity
deadness,A lack of sparkle in a fizzy drink
deadness,A lack of animation in a person
deafness,"Lack of knowledge or refusal to admit a particular problem, issue, etc"
dearness,The quality of having great value or price
debatableness,The quality of being debatable.
debtlessness,Absence of debt.
debuggability,The quality of being debuggable; capability of being (easily) debugged.
debuggability,The extent to which something can be debugged.
decasyllabicity,The property of having ten syllables.
decaylessness,Absence of decay.
deceitlessness,Absence of deceit.
decency,The quality of being decent; propriety
deceptibility,The property of being deceptible; ability to be deceived.
deciduity,The quality of being deciduous.
decipherability,The extent to which something can be deciphered.
deckplate leadership,The quality of a deckplate leader
declarativeness,The quality of being declarative.
declinability,The quality of being declinable.
decomposability,The extent to which something is decomposable
decompositionality,"The property of being decompositional, or proceeding by decomposition."
deconstructiveness,The quality of being deconstructive.
deconstructivity,The quality of being deconstructive.
deducibleness,The quality of being deducible.
deductiveness,The quality of being deductive.
deedlessness,Absence of deeds.
defamatoriness,The quality of being defamatory.
defeasibleness,The quality of being defeasible.
defeatedness,The quality of being defeated.
defectlessness,Absence of defects.
defendability,The extent to which something is defendable
defenselessness,The characteristic of being defenseless; vulnerability.
deficientness,The quality of being deficient.
definability,The quality of being definable.
definitionlessness,Lack of definition
deftness,The characteristic of being deft.
degradedness,The quality of being degraded.
degreelessness,The property of lacking extent or measure.
delayability,The property of being delayable.
delayed puberty,"Absence of any signs of puberty by a specified age, such as 14 years or 2.5 standard deviations above the mean age at onset of puberty in a population."
delectability,The quality of being delectable
deletability,The quality of being deletable.
deleteriousness,The quality of being deleterious.
delicacy,The quality of being delicate.
delicateness,the characteristic of being delicate; fragility
deliciosity,quality of being delicious
delightedness,The quality of being delighted; great pleasure.
deliriousness,The characteristic of being delirious.
deliverability,The quality of being deliverable; allowing the possibility of being delivered.
demeaningness,The quality of being demeaning.
dementedness,The quality of being demented.
demerit,A quality of being inadequate; a fault; a disadvantage (Can we date this quote?) Edmund Burke They see no merit or demerit in any man or any action
demonism,The quality of being demonic (often figuratively)
demonstrability,The quality of being demonstrable.
demonstrableness,The quality of being demonstrable.
denasality,The quality of being denasal.
denaturability,The quality of being denaturable.
deniability,The extent to which something is deniable
denseness,"The quality of being dense, especially in the sense of limited mental capacity."
dentality,The quality of being dental.
denumerability,The property of being denumerable.
denunciability,The quality of being denunciable.
deonticity,The property of being deontic.
dependability,The characteristic of being dependable; the ability to be depended upon.
deplorability,The quality of being deplorable.
deployability,The extent to which something is deployable
depth,the property of appearing three-dimensional The depth of field in this picture is amazing.
depthlessness,Absence of depth.
derangement,The property of being deranged.
derisoriness,The quality of being derisory.
descendency,The property of descendence
descendibility,The characteristic of being descendible; inheritability by an heir.
describability,The quality of being describable.
describableness,The quality of being describable.
descriptiveness,The characteristic of being descriptive.
designability,The quality of being designable
designlessness,Absence of design.
desiness,"The quality of being desi, or belonging of the South Asian diaspora."
desirableness,The quality of being desirable
desirelessness,Absence of desire.
despicableness,"The quality of being despicable Synonyms: meanness, vileness, worthlessness"
destructibleness,The quality of being destructible.
detachability,The quality or degree of being detachable
detachment,Absence of bias; impartiality; objectivity.
detailedness,The quality of being detailed
detectability,The extent to which something is detectable
determinability,The quality of being determinable
determination,The quality of mind which reaches definite conclusions; decision of character; resoluteness.
determinerhood,The property of being a determiner.
determinism,The property of having behavior determined only by initial state and input.
deterrability,The quality of being deterrable.
detersiveness,The quality of cleansing.
detractiveness,The quality of being detractive.
developability,The quality of being developable.
devility,The quality of being a devil or like a devil; devilishness
deviousness,The characteristic of being devious; sneakiness; underhandedness.
diabolism,The property of having attributes that are demonic or Satanic
diagnosticity,"The quality of being diagnostic, or serving to give somebody information about themselves."
diagrammability,The quality or degree of being able to be represented as a diagram.
dialecticism,The quality of being dialectic
dialogicality,The quality of being dialogical.
diaphanousness,The quality of being diaphanous.
diastasis,"The property of being diastatic, i.e"
diatomicity,The quality of being diatomic.
diatonicity,The quality of being diatonic.
