term,definition
insizwaite,"An isometric-diploidal tin white mineral containing antimony, bismuth, and platinum."
intersilite,"A monoclinic-prismatic mineral containing hydrogen, manganese, oxygen, silicon, sodium, and titanium."
inyoite,A colourless monoclinic mineral with the chemical formula Ca(H4B3O7)(OH)4H2O.
iodargyrite,A natural mineral form of silver iodide.
iodyrite,silver iodide
iowaite,"A trigonal-hexagonal scalenohedral mineral containing chlorine, hydrogen, iron, magnesium, and oxygen."
iquiqueite,"A trigonal-ditrigonal pyramidal yellow mineral containing boron, chromium, hydrogen, magnesium, oxygen, potassium, and sodium"
iranite,"A triclinic-pedial mineral containing chromium, copper, fluorine, hydrogen, lead, oxygen, and silicon."
iraqite,A greenish-yellow radioactive mineral.
irarsite,"An isometric-diploidal iron black mineral containing arsenic, iridium, platinum, rhodium, ruthenium, and sulfur."
irhtemite,"A monoclinic mineral containing arsenic, calcium, hydrogen, magnesium, and oxygen."
iridarsenite,"A monoclinic-prismatic gray mineral containing arsenic, iridium, and ruthenium."
iriginite,"An orthorhombic-dipyramidal canary yellow mineral containing hydrogen, molybdenum, oxygen, and uranium."
irtyshite,"A hexagonal mineral containing sodium, tantalum, niobium, and oxygen."
isocubanite,"An isometric-hexoctahedral bronze mineral containing copper, iron, and sulfur."
isokite,"A monoclinic-prismatic mineral containing calcium, fluorine, magnesium, oxygen, and phosphorus."
isolueshite,A brownish-black mineral comprising mostly niobium and lanthanum.
isomertieite,"An isometric-hexoctahedral silver white mineral containing antimony, arsenic, and palladium."
isovite,"An isometric-hexoctahedral iron gray mineral containing carbon, chromium, and iron."
itabirite,A laminated form of quarzite with muscovite or other iron minerals
itacolumite,A porous yellow sandstone that is flexible when cut into thin strips.
itoigawaite,"An orthorhombic-dipyramidal blue mineral containing aluminum, hydrogen, oxygen, silicon, and strontium."
itoite,"An orthorhombic-dipyramidal silky white mineral containing germanium, hydrogen, lead, oxygen, and sulfur."
ittnerite,"A dark blue or grey mineral, consisting chiefly of silica, alumina, potash, and soda."
iwakiite,"A tetragonal-ditetragonal dipyramidal greenish black mineral containing iron, manganese, and oxygen."
ixiolite,"A monoclinic-prismatic mineral containing iron, manganese, niobium, oxygen, tantalum, and tin."
izoklakeite,"An orthorhombic-dipyramidal lead gray mineral containing antimony, bismuth, copper, iron, lead, and sulfur."
dachiardite,A particular zeolite mineral.
dadsonite,"A monoclinic mineral containing antimony, chlorine, lead, and sulfur."
dahllite,A form of calcium phosphate that has a structure similar to that of the mineral part of bones and teeth
dalyite,"A triclinic-pinacoidal colorless mineral containing aluminum, iron, magnesium, oxygen, potassium, silicon, sodium, titanium, and zirconium."
damaraite,"An orthorhombic-pyramidal colorless mineral containing chlorine, hydrogen, lead, and oxygen."
damiaoite,An isometric-hexoctahedral bright white mineral containing indium and platinum.
damourite,"A kind of muscovite, or potash mica, containing water."
danaite,A cobaltiferous variety of arsenopyrite.
danalite,"An isometric-hextetrahedral mineral containing beryllium, iron, oxygen, silicon, and sulfur."
danbaite,An isometric mineral containing copper and zinc.
danburite,A crystalline mineral similar to topaz.
danielsite,"An orthorhombic gray mineral containing copper, mercury, silver, and sulfur."
daomanite,"An orthorhombic-pyramidal light greenish yellow mineral containing arsenic, copper, platinum, and sulfur."
daqingshanite,"A trigonal mineral comprising mostly strontium, cerium, and oxygen."
darapiosite,"A hexagonal-dihexagonal dipyramidal mineral containing lithium, manganese, oxygen, potassium, silicon, sodium, and zirconium."
darapskite,"A monoclinic-prismatic colorless mineral containing hydrogen, nitrogen, oxygen, sodium, and sulfur."
dashkovaite,"A monoclinic-prismatic white mineral containing carbon, hydrogen, magnesium, and oxygen."
datolite,"A borosilicate of lime commonly occurring in glassy, greenish crystals, with the chemical formula CaBSiO4(OH)."
daubreeite,A rare bismuth oxidehalide mineral of the matlockite group.
daubreelite,A sulphide of chromium observed in some meteoric irons.
davanite,"A triclinic-pinacoidal colorless mineral containing oxygen, potassium, silicon, and titanium."
davidite,A particular mineral.
davreuxite,"A monoclinic-prismatic mineral containing aluminum, hydrogen, manganese, oxygen, and silicon."
davyne,"A hexagonal-dipyramidal mineral containing aluminum, calcium, chlorine, oxygen, potassium, silicon, sodium, and sulfur."
dawsonite,An orthorhombic mineral composed of sodium aluminium carbonate hydroxide.
deanesmithite,"A triclinic-pinacoidal orange red mineral containing chromium, mercury, oxygen, and sulfur."
decrepitation,"The shattering of minerals by the action of heat, especially when accompanied by a crackling sound"
deerite,"A monoclinic-prismatic black mineral containing aluminum, hydrogen, iron, manganese, oxygen, and silicon."
defernite,"An orthorhombic-dipyramidal mineral containing calcium, carbon, chlorine, hydrogen, oxygen, and silicon."
delafossite,A mixed oxide mineral of copper and iron.
delessite,A magnesium-rich form of chamosite that is a member of the chlorite group
delhayelite,"An orthorhombic-dipyramidal mineral containing aluminum, calcium, chlorine, fluorine, hydrogen, oxygen, potassium, silicon, sodium, and sulfur."
deliensite,"An orthorhombic mineral containing hydrogen, iron, oxygen, sulfur, and uranium."
delindeite,"A monoclinic-prismatic gray pink mineral containing aluminum, barium, hydrogen, iron, oxygen, potassium, silicon, sodium, and titanium."
dellaite,"A triclinic-pinacoidal colorless mineral containing calcium, hydrogen, oxygen, and silicon."
dellaventuraite,"A monoclinic-prismatic pinkish red mineral containing aluminum, calcium, hydrogen, iron, lithium, magnesium, manganese, nickel, oxygen, potassium, silicon, sodium, titanium, and zinc."
deloryite,"A monoclinic-prismatic mineral containing copper, hydrogen, molybdenum, oxygen, and uranium."
delrioite,"A monoclinic-prismatic mineral containing calcium, hydrogen, oxygen, strontium, and vanadium."
delvauxite,"A yellow or brown amorphous mineral, sometimes forming a botryoidal mass or stalactites."
demesmaekerite,"A triclinic-pinacoidal mineral containing copper, hydrogen, lead, oxygen, selenium, and uranium."
dendrachate,An arborescent or dendritic agate.
denisovite,"A monoclinic mineral containing calcium, fluorine, hydrogen, oxygen, potassium, silicon, and sodium."
denningite,"A tetragonal-ditetragonal dipyramidal mineral containing manganese, oxygen, tellurium, and zinc."
derbylite,"A monoclinic-prismatic mineral containing antimony, hydrogen, iron, oxygen, and titanium."
derriksite,"An orthorhombic-pyramidal mineral containing copper, hydrogen, oxygen, selenium, and uranium."
dervillite,"A monoclinic-prismatic brownish black mineral containing arsenic, silver, and sulfur."
desautelsite,"A trigonal bright orange mineral containing carbon, hydrogen, magnesium, manganese, and oxygen."
descloizite,"A rare orthorhombic mineral consisting of basic lead and zinc vanadate, isomorphous with olivenite."
desmine,The mineral stilbite.
despujolsite,"A hexagonal-ditrigonal dipyramidal lemon mineral containing calcium, hydrogen, manganese, oxygen, and sulfur."
dessauite,"A trigonal-rhombohedral black mineral containing iron, lead, oxygen, strontium, titanium, uranium, and yttrium."
devilline,"A monoclinic-prismatic mineral containing calcium, copper, hydrogen, oxygen, and sulfur."
devitoite,"A triclinic mineral containing barium, iron, phosphate, carbonate and silicate."
dewindtite,"An orthorhombic-dipyramidal mineral containing hydrogen, lead, oxygen, phosphorus, and uranium."
diadochite,A phosphosulfate mineral with a greenish-yellow to brown colour.
diallage,A green form of pyroxene.
dialogite,Rhodochrosite.
diaoyudaoite,"A hexagonal-dihexagonal dipyramidal mineral containing aluminum, oxygen, and sodium."
diaphaneity,transparency
diaphorite,"A monoclinic-prismatic mineral containing antimony, lead, silver, and sulfur."
dichroite,Iolite.
dickinsonite,"A monoclinic-domatic mineral containing aluminum, calcium, hydrogen, iron, lithium, manganese, oxygen, phosphorus, potassium, and sodium."
dickite,"A phyllosilicate clay mineral chemically composed of aluminium, silicon, hydrogen and oxygen."
dickthomssenite,"A monoclinic-prismatic light golden brown mineral containing hydrogen, magnesium, oxygen, and vanadium."
dienerite,An isometric-hextetrahedral gray white mineral containing arsenic and nickel.
dietrichite,"A monoclinic-prismatic mineral containing aluminum, hydrogen, iron, manganese, oxygen, sulfur, and zinc."
dietzeite,"A monoclinic-prismatic golden yellow mineral containing calcium, chromium, iodine, and oxygen."
digenite,A black to dark blue opaque copper sulfide mineral with chemical formula Cu9S5.
dimorphite,An orthorhombic-dipyramidal orange mineral containing arsenic and sulfur.
dinite,An orthorhombic-disphenoidal mineral containing carbon and hydrogen.
diomignite,"A tetragonal-ditetragonal pyramidal colorless mineral containing boron, lithium, and oxygen."
diopside,"A monoclinic pyroxene mineral, a magnesium calcium silicate with the chemical formula CaMgSi2O6, found in igneous and metamorphic rocks."
diosmectite,A mixed silicate or aluminium and magnesium that is used as an intestinal adsorbent
disthene,Kyanite.
ditroite,"An igneous rock composed of orthoclase, elaeolite, and sodalite."
dittmarite,"An orthorhombic-pyramidal colorless mineral containing hydrogen, magnesium, nitrogen, oxygen, and phosphorus."
dixenite,"A trigonal-pyramidal mineral containing arsenic, copper, hydrogen, iron, manganese, oxygen, and silicon."
djerfisherite,"An isometric-hexoctahedral mineral containing chlorine, copper, iron, nickel, potassium, sodium, and sulfur."
djurleite,A copper sulfide mineral with the chemical formula Cu31S16.
dmisteinbergite,"A colourless mineral, a hexagonal polymorph of anorthite, with the chemical formula CaAl2Si2O8"
dolerophanite,"A monoclinic-prismatic mineral containing copper, oxygen, and sulfur."
dolomite,"A saline evaporite consisting of a mixed calcium and magnesium carbonate, with the chemical formula CaMg(CO3)2; it also exists as the rock dolostone"
doloresite,"A monoclinic-prismatic mineral containing hydrogen, oxygen, and vanadium."
domeykite,"An isometric copper arsenide mineral, Cu3As."
domite,A greyish variety of trachyte.
donharrisite,"A monoclinic-prismatic brown mineral containing mercury, nickel, and sulfur."
donpeacorite,"An orthorhombic-dipyramidal yellow orange mineral containing magnesium, manganese, oxygen, and silicon."
dopplerite,"A brownish-black native hydrocarbon occurring in elastic or jelly-like masses, derived from the maceration of peat."
dorallcharite,"A trigonal-hexagonal scalenohedral golden yellow mineral containing hydrogen, iron, oxygen, potassium, sulfur, and thallium."
dorfmanite,"An orthorhombic white mineral containing hydrogen, oxygen, phosphorus, and sodium."
dorrite,"A triclinic mineral containing aluminum, calcium, iron, magnesium, oxygen, and silicon."
downeyite,A tetragonal-ditetragonal dipyramidal colorless mineral containing oxygen and selenium.
doyleite,"A triclinic-pinacoidal mineral containing aluminum, hydrogen, and oxygen."
dozyite,"A monoclinic-domatic mineral containing aluminum, hydrogen, magnesium, oxygen, and silicon."
dradge,"Inferior ore, separated from the better ore by cobbing"
dravite,"A trigonal-ditrigonal pyramidal mineral containing aluminum, boron, hydrogen, magnesium, oxygen, silicon, and sodium."
dresserite,"An orthorhombic-dipyramidal white mineral containing aluminum, barium, carbon, hydrogen, and oxygen."
drugmanite,"A monoclinic-prismatic mineral containing aluminum, hydrogen, iron, lead, oxygen, and phosphorus."
druse,An inner surface with a crust of tiny crystals
drysdallite,"A rare, opaque molybdenum selenium sulfide mineral."
dufrenite,A blackish-green mineral that is a hydrous phosphate of iron.
duftite,"A particular kind of vitreous or dull, olive-green to grey-green orthorhombic mineral."
dugganite,"A hexagonal-dihexagonal dipyramidal mineral containing arsenic, hydrogen, lead, oxygen, silicon, tellurium, vanadium, and zinc."
dukeite,"A trigonal-ditrigonal pyramidal mineral containing bismuth, chromium, hydrogen, and oxygen."
dumontite,"A monoclinic-prismatic mineral containing hydrogen, lead, oxygen, phosphorus, and uranium."
dumortierite,A fibrous aluminium boro-silicate mineral that occurs in various colours.
dundasite,"An orthorhombic-dipyramidal mineral containing aluminum, carbon, hydrogen, lead, and oxygen."
duporthite,"A rare asbestiform mineral, a mixture of talc and chlorite."
duranusite,An orthorhombic red mineral containing arsenic and sulfur.
durapatite,A form of hydroxyapatite found in bone
dusmatovite,"A hexagonal-dihexagonal dipyramidal mineral containing lithium, manganese, oxygen, potassium, silicon, sodium, yttrium, zinc, and zirconium."
dussertite,"A trigonal-ditrigonal pyramidal mineral containing arsenic, barium, hydrogen, iron, and oxygen."
duttonite,"A monoclinic-prismatic light brown mineral containing hydrogen, oxygen, and vanadium."
dwornikite,"A monoclinic-prismatic white mineral containing hydrogen, iron, nickel, oxygen, and sulfur."
dypingite,"A monoclinic white mineral containing carbon, hydrogen, magnesium, and oxygen."
dyscrasite,An orthorhombic-pyramidal mineral containing antimony and silver.
dysluite,A variety of the zinc spinel or gahnite.
dysodile,"An impure earthy or coaly bitumen, which emits a highly foetid odour when burning."
dzhalindite,"An isometric-diploidal yellow brown mineral containing hydrogen, indium, and oxygen."
dzharkenite,An isometric-diploidal black mineral containing iron and selenium.
dzierżanowskite,"A dark orange trigonal mineral containing sulphur, calcium, and copper."
qandilite,"An opaque black metallic mineral with the chemical formula (Mg,Fe)2(Ti,Fe,Al)O4."
qilianshanite,A soft colourless monoclinic mineral with the chemical formula NaHCO3H3BO32H2O.
qingheiite,A complex yellow or green mineral with vitreous lustre.
qitianlingite,"A black orthorhombic mineral with the chemical formula (Fe,Mn)2(Nb,Ta)2WO10."
quadratite,"A tetragonal-ditetragonal dipyramidal mineral containing arsenic, cadmium, lead, silver, and sulfur."
quadridavyne,A mineral found in volcanic ash.
quadruphite,A triclinic sorosilicate mineral.
quartz,"The most abundant mineral on the earth's surface, of chemical composition silicon dioxide, SiO2"
quartz-diorite,Any form of diorite containing appreciable amounts of quartz.
quartzine,A fibrous form of silica similar to chalcedony.
quartzite,A metamorphic rock consisting of interlocking grains of quartz
quartzoid,"A form of crystal resembling quartz, having two six-sided pyramids, base to base."
quatrandorite,"A grey monoclinic mineral containing silver, lead, sulfur, and antimony."
queitite,"A monoclinic-sphenoidal mineral containing lead, oxygen, silicon, sulfur, and zinc."
quenselite,"A monoclinic-sphenoidal pitch black mineral containing hydrogen, lead, manganese, and oxygen."
quenstedtite,A rare iron sulfate mineral that forms violet or white triclinic crystals.
quetenite,botryogen
quetzalcoatlite,"A blue mineral containing zinc, tellurium, and copper."
quintinite,"A hexagonal carbonate mineral, Mg4Al2(OH)12CO3H2O."
zabuyelite,"The natural mineral form of lithium carbonate, forming colourless vitreous monoclinic crystals."
zaccagnaite,A basic zinc and aluminium carbonate
zaccariniite,"A grey tetragonal mineral containing rhodium, nickel, and astatine."
zadovite,"A colourless trigonal mineral containing barium, calcium, flourine, oxygen, phosphorus and silicon."
zagamiite,"A mineral of previously unknown structure containing aluminium, silicon, calcium, and oxygen."
zaherite,"A mineral, a complex sulphate of aluminium, coloured white to blue-green."
zairite,"A trigonal-hexagonal scalenohedral mineral containing aluminum, bismuth, hydrogen, iron, oxygen, and phosphorus."
zajacite,A rare radioactive fluoride mineral.
zakharovite,"A silicate mineral of sodium and manganese, yellow in colour with a pearly lustre."
zanazziite,"A complex phosphate with the chemical formula Ca2(Mg,Fe)(Mg,Fe,Mn,Al)4Be4(OH)4(PO4)66H2O, having a pale to dark olive-green colour."
zangboite,"A grey orthorhombic mineral containing silicon, titanium, and iron."
zanthochroite,"An amorphous cadmium sulfide, of which greenockite is the crystalline form."
zapatalite,"A tetragonal light blue mineral containing aluminum, copper, hydrogen, oxygen, and phosphorus."
zaratite,a hydrous basic nickel carbonate occurring in emerald-green incrustations or compact masses
zavalíaite,"A colourless monoclinic mineral containing oxygen, phosphorus, magnesium, manganese, and iron."
zavaritskite,A soft bismuth-oxygen-fluorine mineral.
zdenekite,A blue crystalline mineral.
zeagonite,"Obsolete name for a supposed mineral, later reclassified as a mixture of phillipsite with gismondine or levynite."
zektzerite,A mineral of agpaitic granites.
zellerite,A soft mineral containing calcium and uranium.
zemannite,"A hexagonal-dipyramidal mineral containing hydrogen, iron, magnesium, oxygen, tellurium, and zinc."
zemkorite,"A soft hexagonal mineral containing potassium, sodium, calcium, carbon, and oxygen."
zenzenite,A mineral containing lead and manganese.
zeolite,"Any of several minerals, aluminosilicates of sodium, potassium, calcium or magnesium, that have a porous structure; they are used in water softeners and in ion exchange chromatography."
zeophyllite,A white pearly mineral from hydrothermal alteration of basalt.
zeunerite,"A mineral with tetragonal crystals, of the autunite group, Cu2+(UO2)2(AsO4)24H2O."
zhanghengite,"A golden-yellow mineral containing predominantly copper and zinc but also iron, chromium, and aluminium."
zharchikhite,"A hydroxy fluoride mineral of aluminium that forms colourless, transparent crystals."
zhonghuacerite,"A caesium-bearing mineral found in China, now generally believed to be a form of kukharenkoite or huanghoite."
ziesite,A copper vanadate mineral.
zietrisikite,A mineral wax resembling ozocerite.
zimbabweite,"A yellow-brown mineral with chemical formula (Na,K)2PbAs4(Nb,Ta,Ti)4O18, generally classed as an arsenite."
zinalsite,"A supposed zinc aluminium silicate mineral, not officially recognised."
zincaluminite,"A hexagonal mineral containing aluminum, hydrogen, oxygen, sulfur, and zinc."
zincblende,sphalerite
zincgartrellite,"A triclinic-pinacoidal greenish yellow mineral containing arsenic, copper, hydrogen, iron, lead, oxygen, and zinc."
zincite,"A yellow, orange or dark-red mineral form of zinc oxide, often also containing small amounts of manganese, with a chemical formula (Zn,Mn2+)O, an important ore of zinc."
zinckenite,A sulfosalt mineral containing lead and antimony.
zincobotryogen,A soft hydrous sulfate mineral that forms bright orange-red monoclinic prismatic crystals with a vitreous to greasy lustre.
zincocalcite,"A mineral with chemical formula (Ca,Zn)CO3."
zincochromite,"A mineral, the zinc analogue of chromite."
zincolibethenite,"A green mineral containing zinc, copper, phosphorus, hydrogen, and oxygen."
zincolivenite,"A mineral species of the olivenite group, CuZn(AsO4)(OH)"
zincospiroffite,"A monoclinic-prismatic gray mineral containing oxygen, tellurium, and zinc."
zincostaurolite,"A monoclinic-prismatic colorless mineral containing aluminum, hydrogen, iron, lithium, magnesium, oxygen, silicon, titanium, and zinc."
zincovoltaite,"An isometric-hexoctahedral mineral containing aluminum, hydrogen, iron, oxygen, potassium, sulfur, and zinc."
zincowoodwardite,A soft bluish mineral comprising mostly zinc and oxygen.
zincrosasite,"A monoclinic-prismatic mineral containing carbon, copper, hydrogen, oxygen, and zinc."
zincroselite,"A monoclinic-prismatic mineral containing arsenic, calcium, hydrogen, oxygen, and zinc."
zincsilite,A mineral containing zinc and silicon.
zinkenite,"A grey mineral with hexagonal crystals, Pb9Sb22S42."
zinnwaldite,"A mineral with monoclinic crystals, KLiFe2+Al(AlSi3)O10(F,OH)2, of the mica group."
zippeite,"A hydrous potassium uranium sulfate mineral with chemical formula K4(UO2)6(SO4)3(OH)104(H2O), forming yellow to reddish-brown monoclinic-prismatic crystals with perfect cleavage and formerly used in the manufacture of paint."
zirconite,A light brown variety of zircon.
zirconolite,The mineral calcium zirconium titanate.
zircophyllite,"A complex mineral with the chemical formula (K,Na)3(Mn,Fe)7(Zr,Ti,Nb)2Si8O24(OH,F)7."
zircosulfate,"A soft mineral containing zirconium, hydrogen, oxygen, and sulfur."
zirkelite,"An isometric oxide mineral with the chemical formula (Ca,Th,Ce)Zr(Ti,Nb)2O7."
zirklerite,"A trigonal mineral containing aluminum, chlorine, hydrogen, iron, magnesium, and oxygen."
zirsilite,A brittle cream-coloured complex mineral.
zirsinalite,"A trigonal-hexagonal scalenohedral mineral containing calcium, iron, manganese, oxygen, silicon, sodium, and zirconium."
zlatogorite,"A silvery-white mineral containing copper, nickel, and antimony."
znucalite,A fluorescent radioactive mineral with the chemical formula CaZn11(UO2)(CO3)3(OH)204(H2O).
zodacite,"A yellow or colourless mineral comprising mostly oxygen, calcium, iron, and phosphorus."
zoisite,"A mineral with orthorhombic crystals, Ca2Al3(SiO4)(Si2O7)O(OH)."
zonochlorite,chlorastrolite found in rounded masses within or weathered out of amygdaloidal cavities
zorite,A pink silicate mineral.
zoubekite,"A grey orthorhombic mineral containing silver, antimony, lead, and sulfur."
zugshunstite,A mineral comprising mostly cerium and oxygen.
zunyite,"A fluorosilicate mineral of alumina occurring in tetrahedral crystals, chemical formula Al13Si5O20(OH,F)18Cl."
zurlite,A white or green Vesuvian mineral.
zussmanite,"A hydrated iron-rich silicate, found as a pale green crystal with perfect cleavage."
zvyagintsevite,"A white opaque metallic mineral with the chemical formula (Pd,Pt,Au)3(Pb,Sn)."
zwieselite,"A brown to black mineral containing manganese, iron, phosphorus, oxygen, and fluorine."
zygadite,A variety of albite.
zykaite,"A dull, soft, translucent greyish-white mineral consisting of arsenic, hydrogen, iron, sulfur and oxygen."
zálesíite,A mineral of the mixite group.
o'danielite,"A mineral comprising mainly zinc, arsenic, and oxygen."
oboyerite,"A triclinic mineral containing hydrogen, lead, oxygen, and tellurium."
obradovicite,"An orthorhombic-dipyramidal pea green mineral containing arsenic, copper, hydrogen, iron, molybdenum, oxygen, potassium, and sodium."
obsidian,A type of black glass produced by volcanoes.
octahedrite,The mineral anatase.
odinite,"A monoclinic-domatic mineral containing aluminum, hydrogen, iron, magnesium, manganese, oxygen, silicon, and titanium."
odintsovite,"An orthorhombic-dipyramidal mineral containing beryllium, calcium, oxygen, potassium, silicon, sodium, and titanium."
odontolite,"A fossil tooth coloured a bright blue by iron phosphate, used as an imitation turquoise."
oenite,"An orthorhombic silver white mineral containing antimony, arsenic, and cobalt."
ogdensburgite,"An orthorhombic-dipyramidal mineral containing arsenic, calcium, hydrogen, iron, manganese, oxygen, and zinc."
ohmilite,"A monoclinic-prismatic light pink mineral containing hydrogen, iron, oxygen, silicon, strontium, and titanium."
ojuelaite,"A monoclinic-prismatic greenish yellow mineral containing arsenic, hydrogen, iron, oxygen, and zinc."
okayamalite,"A tetragonal-scalenohedral creamy white mineral containing boron, calcium, oxygen, and silicon."
okenite,"A silicate mineral associated with zeolites, having the chemical formula (CaSi2O52H2O)."
oldhamite,The mineral form of calcium sulphide.
olekminskite,"A trigonal-trapezohedral mineral containing barium, calcium, carbon, oxygen, and strontium."
olenite,"A trigonal-ditrigonal pyramidal light pink mineral containing aluminum, boron, hydrogen, oxygen, silicon, and sodium."
olgite,"A trigonal-hexagonal scalenohedral mineral containing barium, oxygen, phosphorus, sodium, and strontium."
oligist,Hematite or specular iron ore.
oligoclase,"A plagioclase feldspar, the second member of the Albite-Anorthite solid solution series"
oligosiderite,A meteorite characterised by a small amount of metallic iron.
olivenite,An orthorhombic copper arsenate mineral with the chemical formula Cu2AsO4OH.
olivine,Any of a group of olive green magnesium-iron silicate minerals that crystallize in the orthorhombic system
olivinite,dunite
olkhonskite,"A monoclinic black mineral containing chromium, oxygen, titanium, and vanadium."
olmsteadite,"An orthorhombic-pyramidal mineral containing hydrogen, iron, niobium, oxygen, phosphorus, potassium, and tantalum."
olsacherite,"An orthorhombic-disphenoidal colorless mineral containing lead, oxygen, selenium, and sulfur."
olshanskyite,"A triclinic-pinacoidal mineral containing boron, calcium, hydrogen, and oxygen."
olympite,"An orthorhombic-disphenoidal colorless mineral containing lithium, oxygen, phosphorus, and sodium."
omeiite,"An orthorhombic-dipyramidal steel gray mineral containing arsenic, osmium, and ruthenium."
ominelite,"An orthorhombic-dipyramidal blue mineral containing aluminum, boron, iron, magnesium, oxygen, and silicon."
omphacite,"Any of a range of green, monoclinic pyroxene minerals found in eclogites and similar rocks; they are solid solutions of jadeite and diopside."
onegite,A form of amethyst having hair-like inclusions of goethite
oneillite,"A trigonal-pyramidal yellowish brown mineral containing calcium, chlorine, hydrogen, iron, manganese, niobium, oxygen, silicon, sodium, and zirconium."
onoratoite,"A monoclinic-prismatic white mineral containing antimony, chlorine, and oxygen."
onyx,"A banded variety of chalcedony, a cryptocrystalline form of quartz."
oosterboschite,"An orthorhombic black mineral containing copper, palladium, and selenium."
opal,"A mineral consisting, like quartz, of silica, but inferior to quartz in hardness and specific gravity, of the chemical formula SiO2nH2O"
opaline,"any of several minerals resembling opal, including a variety of yellow chalcedony"
ophicalcite,ophite; verd antique
ophthalmite,A migmatite that is characterized by the presence of concentric or lenticular aggregates of newly formed minerals that reflect post-anatectic processes.
oppenheimerite,A triclinic mineral that is a mixed hydrated sodium sulfate and uranate
optic axis,The direction in which a ray of light passing through a crystal does not suffer double refraction
orangeite,A kind of kimberlite with phlogopite macrocrysts and microphenocrysts.
orangite,"An orange-yellow variety of thorite, found in Norway."
orcelite,A hexagonal-dihexagonal pyramidal orange white mineral containing arsenic and nickel.
ordonezite,A tetragonal pyramidal mineral found in rhyolite fractures.
oregonite,A hexagonal nickel iron arsenide mineral.
orickite,"A hexagonal brass yellow mineral containing copper, hydrogen, iron, oxygen, and sulfur."
orientite,"An orthorhombic-dipyramidal mineral containing calcium, hydrogen, manganese, oxygen, and silicon."
orlandiite,"A triclinic-pinacoidal mineral containing chlorine, hydrogen, lead, oxygen, and selenium."
orlymanite,"A trigonal dark brown mineral containing calcium, hydrogen, manganese, oxygen, and silicon."
orpheite,"A trigonal-hexagonal scalenohedral mineral containing aluminum, hydrogen, lead, oxygen, phosphorus, and sulfur."
