term,definition
imperfection,"Something that makes something else less than perfect; a blemish, impurity, error, etc"
imperishable,"something that does not perish, or keeps for a long time"
impersonator,One who fraudulently impersonates another person.
impetus,Something that impels; a stimulating factor
implantologist,One who studies implantology.
implier,One who implies.
implorer,One who implores.
imponent,One who imposes a rule.
importable,Something that can be imported
importer,"One who, or that which, imports: especially a person or company importing goods into a country"
importuner,One who importunes
imposer,One who imposes.
impossibility,Something that is impossible
impostor,Someone who attempts to deceive by using an assumed name or identity
impounder,One who impounds.
impoverisher,Someone who impoverishes.
imprecator,One who imprecates or curses.
impregnator,One who impregnates.
impresser,One who impresses.
impressionist,One who adheres to the theory or method of impressionism.
impressor,"One who, or that which, impresses"
imprisoner,One who imprisons.
improver,"Something that, or someone who, improves something"
improver,"One who improves his or her performance, one who shows improvement (of individuals or groups)"
improvisator,One who improvises.
improviser,One who improvises.
impugner,One who impugns; one who opposes or contradicts.
impulsive,One whose behaviour or personality is characterized by being impulsive.
impulsor,"One who or that which impels; an inciter, an instigator"
imputer,One who imputes.
inactivist,"One who does not take action, or engage in activism."
inanimate,Something that is not alive.
inanity,Something that is inane
inaugurator,Agent noun of inaugurate; one who inaugurates.
inbreeder,One who engages in inbreeding
inbreeder,One who engages in incest
incantator,One who works magic by means of incantation
incendiary,One who maliciously sets fires
incendiary,One who excites or inflames factions into quarrels
incenser,One who instigates or incites.
incensor,One who kindles anger or enmity; an inciter.
incentive,"Something that motivates, rouses, or encourages"
inceptor,One who is on the point of taking a Master of Arts degree at an English university
incester,One who engages in incest.
incidental,Something that is incidental.
inciter,One who incites.
inclemency,Something that is inclement
incliner,"One who, or that which, inclines, especially an inclined dial."
includable,One who or that which is eligible to be included.
inclusionist,One who advocates for inclusion
incomer,One who comes in.
incomprehensibility,Something that cannot be understood.
inconvenience,"Something that is not convenient, something that bothers"
incorporator,"One who, or that which, incorporates"
incorporealist,One who believes in incorporealism
increaser,"One who, or that which, increases."
incrementalist,One who follows a policy of incrementalism
inculcator,One who inculcates
incumbrance,One who is dependent on another
incumbrancer,"One who holds incumbrance, or some legal claim, lien, or charge on an estate"
incurable,One who cannot be cured.
indemnifier,One who indemnifies.
indemnitor,One who indemnifies.
independentist,One who favours independence (of a non-independent state)
indeterminist,One who believes the doctrine of indeterminism.
indicter,One who indicts.
indictor,One who indicts
inditer,One who indites
individualist,Someone who believes in individualism as a sociopolitical system.
individualist,Someone who believes in the philosophy of individualism; a solipsist.
individualist,"Someone who does as they wish, unconstrained by external influences"
individualizer,One who individualizes.
individuator,"One who, or that which, individuates"
indoctrinator,One who indoctrinates.
indubitability,Something that cannot be doubted; a certainty.
inducer,One who induces
inductivist,One who subscribes to inductivism.
indulger,One who indulges
industrialist,One who performs or enjoys industrial music
industrializer,One who industrializes
indweller,One who dwells in a place; an inhabitant
inegalitarian,One who does not support equality; a subscriber to inegalitarianism.
ineligible,One who is not eligible
inerrantist,Someone who believes in the inerrancy of religious scripture
inessential,Something that is not essential
inevitable,"Something that is predictable, necessary, or cannot be avoided"
infallibilist,One who accepts or maintains the dogma of papal infallibility.
infantilist,One who is subject to infantilism.
infecter,"One who, or that which, infects."
infectiologist,One who studies infection.
infectionist,One who believed that diseases were spread by infection.
infector,Something that infects; that which causes infection
infelicity,"Something that is infelicitous or inappropriate 2007 October 24, Jeffrey Alan Barrett, Approximate Truth and Descriptive Nesting, in Erkenntnis, volume 68, number 2, DOI:10.1007/s10670-007-9086-6:Returning to our own epistemic situation, we do not know the sense in which quantum mechanics and relativity will be taken to be approximately true after their descriptive infelicities are addressed."
inferrer,One who infers
infester,something that infests.
infidel,One who does not believe in a certain religion
infidel,One who does not believe in a certain principle.
infiller,"One who, or that which, fills in a gap"
infiltrator,One who infiltrates an organization or territory; an undercover or covert agent.
infinite,Something that is infinite in nature
infinitist,One who subscribes to the philosophy of infinitism.
infirmarian,"One who works in a nunnery or monastery, caring for the nuns who became ill, as well as caring for other old and sick people living in the nunnery."
inflamer,Something that inflames
inflater,Someone who inflates.
inflector,Something that inflects or modulates
inflicter,One who inflicts
infonaut,One who navigates the information superhighway; an Internet user
informant,"One who relays confidential information to someone, especially to the police; an informer."
informatician,Someone who practices informatics.
informationist,"One who gathers, analyzes, interprets and uses information, possibly as a career."
informationist,One who practices informationism.
informee,"One who is informed, who receives information"
informer,One who informs someone else about something.
informer,"One who informs, animates, or inspires"
infotainer,One who produces or presents infotainment
infractor,One who infracts or infringes; a violator; a breaker.
infrastructuralist,"Someone who emphasizes the importance of infrastructure, or who seeks to construct infrastructure As an infrastructuralist, I believe that investment in roads and bridges is critical"
infringer,One who infringes.
infuriation,Something that causes extreme anger; an expression or instance of extreme anger
infusionist,One who believes in infusionism.
ingester,One who ingests
ingoer,"One who or that which goes in, an incomer (as observed from an external or objective viewpoint)"
ingrafter,One who ingrafts.
ingrainer,One who ingrains.
ingratiator,One who ingratiates.
inhabiter,One who inhabits; an inhabitant
inhabitor,One who inhabits.
inhaler,One who inhales
inheritor,Someone who inherits something; an heir.
inhibitor,One who or that which inhibits
inhomogeneity,Something that lacks homogeneity
inhumer,One who inhumes.
initialer,One who initials a document
initializer,"One who, or that which, initializes."
initiate,One who has been through a ceremony of initiation.
initiator,One who initiates.
injecter,One who or that which injects in any sense.
injecter,One who injects (himself or herself with) psychoactive drugs
injurer,One who injures something
inkhornist,One who uses or favours inkhorn terms.
inlander,Someone who lives inland
inlayer,One who inlays.
inner,One who supports remaining in the European Union.
innocent,"One who is innocent, especially a young child"
innovator,Someone who innovates; a creator of new ideas.
innumerate,One who lacks numeracy skills
inoculator,One who inoculates.
inputter,"One who, or that which, inputs"
inquirer,One who enquires.
inquisitee,One who is being questioned or interrogated
insatiable,One who or that which cannot be satiated.
inscriptionist,One who inscribes; a writer of inscriptions
inscrutable,"One who or that which is inscrutable; a person, etc"
inseminatee,One who has been inseminated.
insensate,One who is insensate
inseparable,Something that cannot be separated from something else
insertable,Something that can be inserted
insertee,One who is penetrated by another during sexual intercourse.
insertor,One who or that which inserts.
insertor,One who penetrates another during sexual intercourse.
insinuator,One who insinuates.
insipidity,"Something that is insipid; an insipid utterance, sight, object, etc"
insister,One who insists
insnarer,One who insnares.
insolvent,One who is insolvent; an insolvent debtor
insomniac,One who suffers an inability or difficulty sleeping; a sufferer from insomnia.
inspectee,One who undergoes an inspection.
inspirationist,"One who holds to inspiration, especially divine inspiration."
inspirer,Someone who inspires.
installer,One who installs.
instantiator,"One who, or that which, instantiates."
instaurator,One who renews or restores to a former condition
instiller,One who instills
institutionalizer,"One who, or that which, institutionalizes (a practice, etc)."
institutor,One who institutes something
instructor,One who instructs; a teacher.
instrumentalist,"One who plays a musical instrument, as distinguished from a vocalist"
instrumentality,Something that is instrumental; an instrument
instrumentalizer,One who instrumentalizes.
insufflator,Agent noun of insufflate: a person or device which insufflates.
insultee,One who is insulted.
insulter,agent noun of insult; someone who insults
insurance policy,Something that protects or safeguards
insurer,One who insures
intaker,One who or that which takes or draws in.
integrant,Something that is part of a whole; an element or component
integrativist,One who supports a policy of integration.
intender,One who intends.
interactant,One who interacts.
interactionist,One who studies interactionism.
interactor,One who interacts
interbreeder,One who interbreeds.
interceder,One who intercedes; an intercessor; a mediator
intercipient,"One who, or that which, intercepts or stops anything"
intercity,"Something that runs between cities, such as a railroad."
intercostal,Something that is between the ribs of an animal.
interculturalist,One who supports interculturalism.
interfacer,"one who, or that which, interfaces 2011, Kren M"
interiorscaper,One who works in interiorscaping.
interjacency,Something that lies between
interjector,One who interjects.
interloper,"One who interferes, intrudes or gets involved where not welcome, particularly a self-interested intruder"
intermarrier,One who intermarries.
intermeddler,One who intermeddles.
intermixer,One who mixes or mingles with others
internalizer,"One who, or that which, internalizes."
internally displaced person,Someone who is forced to flee his or her home but who remains within his or her country's borders
international,Someone who has represented their country in a particularly sport
internee,One who is imprisoned or otherwise confined.
interpellant,"One who, or that which, interpels."
interpellator,One who interpellates.
interpleader,One who makes an interplea.
interpolator,"One who, or that which, interpolates."
interponent,"One who, or that which, interposes; an interloper; an opponent"
interposer,One who interposes.
interpreter,One who listens to a speaker in one language and relates that utterance to the audience in a different language
interpreter,"One who explains something, such as an art exhibit"
interracialist,One who supports interracialism.
interrailer,One who travels using the InterRail rail pass.
interrer,One who inters or buries
interrogatee,Someone who undergoes an interrogation.
interrogator,One who interrogates; a person who asks questions; a questioner.
interrogee,One who undergoes interrogation.
interruptant,"Something that interrupts, or causes an interruption"
interrupter,One who or that which interrupts.
intervenee,One who is intervened upon
intervener,One who intervenes.
intervenient,One who intervenes
intervenor,"One who intervenes, especially in a legal sense."
interventionist,One who practices or defends interventionism
interventor,"One who intervenes; a mediator, especially one designated by a church to reconcile parties and unite them in the choice of officers"
interviewer,One who interviews.
intimator,One who or that which intimates.
intimidator,One who intimidates.
intolerant,One who is intolerant; a bigot
intoner,One who intones.
intoxicator,One who or that which intoxicates.
intriguer,"One who intrigues; one who forms plots, or pursues an object by secret means."
introducee,One who is introduced to another person.
intromitter,One who intromits.
intruder,Someone who intrudes.
intrusionist,"One who favours the appointment of a clergyman to a parish, by a patron, against the wishes of the parishioners."
intuitionalist,One who holds the doctrine of intuitionalism.
intuitive,One who has (especially parapsychological) intuition.
invadee,One who is invaded.
invader,"One who invades a region Synonyms: assailant, encroacher"
invalidator,"One who, or that which, makes invalid."
invariable,Something that does not vary; a constant.
invariant section,Something that must not be removed or modified during redistribution
inveigher,One who inveighs.
inveigler,One who inveigles.
inventer,One who invents; an inventor.
inventor,"One who invents, either as a hobby or as an occupation."
inverter,"something that inverts, or causes inversion"
investigator,One who investigates.
inveteratist,One who resists reform and holds to tradition.
invigorant,Something that invigorates
invigorator,"One who, or that which, invigorates"
inviter,Someone who invites
invocator,One who invocates the spirits of the dead
invoicer,One who issues an invoice.
invoker,"One who calls upon (a person, especially a god) for help, assistance or guidance"
invoker,One who appeals for validation to a (notably cited) authority.
invoker,One who conjures up spirits with incantations.
invoker,Someone who induces as an inevitable consequence.
invoker,"One who solicits, petitions for, appeals to a favorable attitude."
inwanderer,"One who wanders in; an immigrant 1890, Hubert Howe Bancroft, Henry Lebbeus Oak, William Nemos, History of California: 1848-1859, page 519:Here the first settlements were made by the Mexican inwanderers of a century ago, who huddled round the coast-line missions, which strove for the submission"
iodizer,"One who, or that which, iodizes."
ionospherist,Someone who studies the ionosphere.
ironer,"Someone who irons, someone who does ironing."
ironfounder,One who founds or makes castings in iron.
ironiser,Someone who speaks ironically
ironist,Someone who uses irony in humor
ironside,One who is very strong and courageous.
irrationalist,One who is irrational in their beliefs or ideas.
irreconcilable,Something that cannot be reconciled.
irredentist,Someone who calls for the seizure or recovery of territories or states currently subject to other countries; an adherent of irredentism
irreducibility,Something that is irreducible
irregular,"one who does not regularly attend a venue 2015, Brian Cook, Hands Across The Sea (page 190) There's one neighborhood tavern where the regulars and irregulars go after a hard day to unlax and rewind, throw back a few, and just hang out - you know the one."
irregularist,One who is irregular
irreligionist,one who is irreligious
irresponsible,Someone who is not responsible.
irrigator,"One who, or that which, irrigates."
irritator,One who or that which irritates.
isolate,Something that has been isolated.
isolationist,One who advocates or supports isolationism.
isopodologist,One who studies isopods.
issuer,"One who issues, emits, or publishes."
it,One who is neither a he nor a she; a creature; a dehumanized being
itacist,One who is in favor of itacism.
itcher,Someone who itches
itcher,Something that causes itching
itemizer,One who makes itemized deductions on a tax return.
itinerant,One who travels from place to place.
itinerant worker,"One who maintains no permanent residence, one who is homeless"
dabbler,One who dabbles
dad dancer,"Someone who practises, or is regarded as engaging in, dad dancing"
daftness,Something that is daft.
daggerman,someone who uses a dagger
daguerreotyper,One who takes daguerreotypes.
daily,"Something that is produced, consumed, used, or done every day"
dallier,One who dallies; a procrastinator.
dammer,One who builds a dam.
damner,One who damns.
damper,"Something that damps or checks: A valve or movable plate in the flue or other part of a stove, furnace, etc., used to check or regulate the draught of air"
dan,Someone who has achieved a level of black belt Hyponym: shodan
danceaholic,one who is addicted to dancing.
danderer,One who danders.
dandler,Someone who dandles.
dangler,"one who dangles about others, especially after women."
darbari,One who attends a darbar.
darer,one who dares
dark horse,Someone who possesses talents or favorable characteristics that are not known or expected by others
darkener,One who or that which darkens.
darkhorse candidate,"One who is nominated unexpectedly, without previously having been discussed or considered as a likely choice"
darner,One who darns.
darter,"One who darts, or who throws darts; that which darts."
data-phobe,One who is data phobic
data miner,One who carries out data mining.
dataist,One who works with data
dater,One who dates
dauber,"One who, or that which, daubs; especially, a coarse, unskillful painter"
daunter,one who daunts
day-tripper,Someone who takes a day trip
day lark,One who gets up early in the morning or goes to bed early.
daydreamer,One who daydreams.
daysailor,One who daysails.
daysleeper,One who sleeps during the daytime
daywalker,"One who can go out in the sunlight, distinguished from vampires etc"
dazzler,One who or that which dazzles; something spectacular
dead-ender,One who has no prospects for the future; a loser; a dropout.
dead duck,One who is in serious danger or trouble
dead giveaway,"Something that discloses, usually unintentionally, a fact or an intention"
dead man walking,Someone who is soon to die.
dead man walking,Someone who is about to face an unavoidable loss (though the person may not realize it)
deadener,Something that deadens.
deadheader,One who removes the dead remains of blossoms from plants
deadheader,One who does not work very hard at his or her job
deadpanner,One who makes deadpan remarks.
deafener,One who deafens.
dealer,"One who deals in goods, especially automobiles; a middleman"
dealer,"One who peddles illicit drugs, especially to teenagers."
deallocator,"One who, or that which, deallocates."
dealmaker,"One who makes or brokers business or political transactions 2008, December 2, Former Philly councilwoman memorialized, in Philadelphia Inquirer[1]:The longtime Democratic Party loyalist and dealmaker died Nov"
deathblow,"Something that prevents the completion, or ends the existence, of a project etc.; a fatal setback"
deather,One who favours the rationing of healthcare in the United States.
deather,One who believes Obama's healthcare reform includes death panels.
deather,One who subscribes to a conspiracy theory suggesting that Osama bin Laden was not killed.
deathmonger,One who peddles death; a murderer of many
deathwatch,One who guards a condemned person before execution.
debaser,"One who, or that which, debases"
debater,One who debates or participates in a debate; one who argues
debauchee,Somebody who is debauched; somebody who is dissolute and acts without moral restraint.
debaucher,Somebody who debauches or corrupts others; a seducer.
debriefer,One who gives a debriefing
debtee,One who is owed a debt; a creditor
debtor,"One who owes another anything, or is under obligation, arising from express agreement, implication of law, or principles of natural justice, to pay money or to fulfill some other obligation; in bankruptcy or similar proceedings, the person who is the subject of the proceeding."
debunker,Someone who debunks.
decalogist,One who explains the Decalogue
decamper,One who decamps.
decapitator,One who decapitates.
decarbonizer,"One who, or that which, decarbonizes a substance."
deceased,One who has died
deceaser,One who deceases; a person who dies.
decimator,"One who decimates, particularly: A devastator or destroyer"
decisionmaker,One who makes decisions.
decker,"One who, or that which, decks or adorns; a coverer"
declaimer,One who declaims.
declarer,One who declares.
decliner,One who declines.
declutterer,One who declutters
decommissioner,One who decommissions.
deconstructor,"One who, or that which, deconstructs."
deconvolver,Something that deconvolves.
decorator,Someone who decorates.
decoyer,One who decoys another.
decreaser,"One who, or that which, decreases."
decreer,One who issues a decree.
decretist,"One who studies, or professes the knowledge of, the decretals."
decrier,One who decries.
decriminalizer,"One who decriminalizes, or who is in favour of decriminalizing, something."
dedicant,One who dedicates something.
dedicator,One who dedicates.
deducement,Something that is deduced
deducer,"One who, or that which, deduces."
deductivist,One who subscribes to the form of reasoning called deductivism
deductor,One who deducts tax.
deedholder,One who holds a deed
deep-throater,Someone who deep-throats.
deepener,"One who, or that which, deepens."
deer stalker,One who takes part in deer stalking.
deerstalker,One who takes part in deer stalking.
defacer,One who defaces; a vandal.
defamer,One who defames.
defamiliarizer,One who or that which defamiliarizes.
defaulter,"one who fails to fulfill an obligation or perform a task, especially a legal or financial one."
defeater,One who defeats
defeatist,"someone who advocates defeatism, or has such an attitude"
defecator,One who defecates
defectionist,One who advocates or encourages defection.
defector,One who defects.
defender,someone who defends people or property
defenestrator,One who defenestrates.
defensor,one who defends; a defender (Can we find and add a quotation of Fabyan to this entry?)
deferrer,One who defers or puts off.
defier,agent noun of defy; one who dares and defies c
defiler,one who defiles.
definer,Agent noun of define; one who defines; a person who writes a definition or definitions
deflowerer,One who deflowers.
deforester,One who clears an area of forest.
deformer,"One who, or that which, deforms"
defrauder,One who defrauds.
defrayer,One who pays off expenses.
defuser,"One who, or that which, defuses."
degenerate,"One who is degenerate, who has fallen from previous stature; an immoral person"
degrader,"One who, or that which, degrades"
dehumanizer,"One who, or that which, dehumanizes."
deifier,One who deifies.
dejecter,"One who casts down, or dejects."
delayer,One who delays.
delaying tactic,Something that is done in order to put off a decision or action until later.
delectable,Something that is delectable
delegator,One who delegates.
delegitimizer,One who delegitimizes.
deleter,"One who, or that which, deletes."
delight,Something that gives great joy or pleasure
delighter,One who gives or takes delight.
delimitator,"One who, or that which, delimitates."
delineator,"One who, or that which, delineates."
delinquent,One who disobeys or breaks rules or laws.
deliverer,One who delivers.
deluder,"Someone who deludes 1887, Mabel Collins, Light On The Path and Through the Gates of Gold[1]:But I am one who wish that Time, the great deluder, were not so over-masterful"
deluger,One who or that which deluges.
delurker,One who delurks
delver,"One who digs or delves, as with a spade."
demandant,One who demands; the plaintiff in a real action; any plaintiff.
demander,One who demands
demanufacturer,"One who, or that which, demanufactures."
demarcator,One who or that which demarcates
demeaner,One who demeans
demilance,One who carries a demilance; a demilancer.
deminer,One who removes explosive mines.
demipyramid,Something that has the form of half a pyramid
demobilizer,One who or that which demobilizes.
democrat,Someone who rules a representative democracy
democratizer,One who democratizes
demolisher,One who demolishes.
demolitionist,One who carries out demolition
demoniac,Someone who is possessed by a demon
demonizer,Agent noun of demonize; one who demonizes.
demonolater,One who worships demons.
demonomaniac,One who suffers from or is characterized by demonomania; one who has an unnatural fear of demons or has the delusion that they are possessed by them.
demonslayer,One who slays a demon
demonstrable,Something that can be demonstrated
demonstrator,"One who demonstrates anything, or proves beyond doubt."
demonstrator,One who takes part in a demonstration; a protester.
demonstrator,One who demonstrates products in a retail environment; a merchandiser.
demonstrator,One who teaches anatomy from the dissected parts.
demoralizer,Agent noun of demoralize; one who demoralizes.
demotee,One who is demoted.
demoter,One who demotes.
demotivator,"One who, or that which, demotivates"
demurrer,someone who demurs or objects
demystifier,"One who, or that which, demystifies."
demythologizer,One who or that which demythologizes.
denationalizer,One who denationalizes.
denaturer,One who denatures something.
dendroarchaeologist,One who studies dendroarchaeology.
dendrochronologist,One who carries out dendrochronology.
dendroclimatologist,One who studies dendroclimatology.
dendroecologist,One who studies dendroecology.
dendrogeomorphologist,One who studies dendrogeomorphology.
dendrohydrologist,One who studies dendrohydrology.
dendrophile,One who loves trees.
denialist,One who denies an assertion in a controversial debate
denigrator,One who denigrates
denizen,One who frequents a place
denominator,One who gives a name to something.
denotatum,Something that is denoted; a referent.
denoter,One who or that which denotes something.
denouncer,"One who, or that which, denounces."
densitometrist,One who practices densitometry
denunciator,"One who denounces, publishes, or proclaims, especially intended or coming evil; one who threatens or accuses."
departee,One who has departed from a place or group
departer,One who departs.
dependent,"One who relies on another for support With two children and an ailing mother, she had three dependents in all."
depersonalizer,"One who, or that which, depersonalizes"
depilator,One who or that which depilates; a remover of hair.
deplorer,One who deplores.
deployee,One who is deployed
deployer,"One who, or that which, deploys"
deponer,One who depones.
depopulant,Something that depopulates.
deporter,one who deports
deposer,One who deposes.
depositary,One who receives a deposit in trust
depraver,One who depraves or corrupts.
deprecator,One who deprecates.
depreciator,One who depreciates.
depredator,"One who depredates, or commits depredation"
depriver,One who deprives.
deprogrammer,One who deprograms.
depurator,"One who, or that which, cleanses."
deputator,"One who deputes, or makes a deputation"
derailer,"One who, or that which, derails."
deranger,One who deranges.
deregulator,One who deregulates.
deriver,Something that derives.
dermatopathologist,One who practises dermatopathology
descanter,One who descants.
descendant,"One who is the progeny of a specified person, at any distance of time or through any number of generations"
descrambler,Something that descrambles; a device for decoding a scrambled signal.
describee,One who is described; the subject of a description.
descriptivist,"Someone who records and describes actual rules regarding language usage, or who believes that linguistic norms should be defined by usage rather than theory."
desecrater,One who desecrates
deserver,One who deserves.
desexualizer,"One who desexualizes For quotations of use of this term, see Citations:desexualizer."
desideratum,"Something that is wished for, or considered desirable"
designee,"One who has been designated 2008, December 11, Automakers to remain under pressure for months yet[1]:The bill authorizes the President's designee, to access funds that the Congress has already appropriated for the auto industries."
desirer,"One who desires, asks, or wishes."
desistor,"one who desists, who stopped doing something 2013, Chris Fox, Kevin Albertson, Kevin Wong, Justice Reinvestment: Can the Criminal Justice System Deliver More for Less? ""Where an offender has indicated that they wish to take the decision to become a desistor, they will require support to prevent their falling back due to, for example, work or social circumstances, peers, and visceral factors."""
desk jockey,"One who spends his or her time seated at a desk; especially one who is more concerned with procedure, paperwork, or administration than with its ultimate goal or practical consequence"
deskman,"Anyone who works at a desk, as in a police station."
deskmate,One who shares a desk
desolater,"One who, or that which, desolates or lays waste."
desorber,"Something that promotes desorption, especially one that separates oil and water"
despairer,One who despairs
despiser,One who despises.
despoiler,One who despoils; one who strips by force; a plunderer
desponder,One who desponds.
destabilizer,"One who, or that which, destabilizes."
destructionist,"One who delights in destroying that which is valuable, or whose principles and influence tend to destroy existing institutions."
destructionist,One who believes in the final destruction or complete annihilation of the wicked; an annihilationist
destructor,One who destructs.
detacher,One who or that which detaches.
detailer,One who gives details of something
detailer,One who details (cleans cars)
detainee,"Someone who is detained, especially in custody or confinement."
detainer,One who detains
deteriorator,"One who, or that which, deteriorates."
determiner,"Something that determines, or helps someone to determine, something else"
deterrent,Something that deters.
deterrer,One who deters.
detester,"Someone who detests, a hater"
dethroner,One who dethrones.
detransitioner,One who detransitions.
deuteranope,One who has deuteranopia.
devaluator,One who or that which devaluates.
devaluer,"One who, or that which, devalues."
devastator,one who devastates.
developmental biologist,One who studies developmental biology.
deviationist,"One who deviates from accepted beliefs or policies, especially from a prescribed form of Communism"
devil's advocate,"One who debates from a viewpoint which he or she may not actually hold, usually to determine its validity or simply for the sake of argument"
devirginizer,Someone who devirginizes
devoter,"One who devotes or commits something to a cause, etc"
devourer,One who devours
dextrocardiac,One who has the heart on the right-hand side of the body
diachronist,One who takes a diachronic approach.
diagnosee,One who is diagnosed.
diamond,Something that resembles a diamond.
diarist,One who keeps a diary.
diaskeuast,One who reviews or revises a text.
diatribist,One who makes a diatribe or diatribes.
dibber,One who dibs.
dicer,"One who, or that which, dices (cuts into cubes); a tool for this purpose."
dichotomist,One who dichotomizes
dichromat,One whose vision exhibits dichromacy; one who can distinguish only two primary colors.
diddley bower,Someone who plays the diddley bow.
didgeridooer,Someone who plays the didgeridoo
didgeridooist,Someone who plays the didgeridoo.
diemaker,Someone who makes dies (devices for cutting shapes).
dier,One who dies
difference maker,"Someone who, or something that, makes a difference."
differentiate,Something that has been differentiated or stratified
digamist,One who marries a second time; a deuterogamist
digester,"One who, or that which, digests."
digger,One who digs
digital nomad,"Someone who earns a living from telecommunication technology while living in a nomadic manner, typically working remotely from various locations such as coffee shops and public libraries."
dijudicant,One who dijudicates
diker,"One who builds stone walls, usually without lime."
dilapidator,One who dilapidates; a person causing dilapidation.
dilater,"One who, or that which, dilates, expands, or enlarges."
diluvialist,One who explains geological phenomena by the Noachian deluge
diminisher,"One who, or that which, diminishes something"
diner,One who dines
dinglehopper,Something that one does not readily recall the name of
dinner-goer,One who has dinner at a restaurant or as a guest in someone's house
dip netter,One who fishes with a dip net
diplegic,One who suffers from diplegia.
diplomat,Someone who uses skill and tact in dealing with other people
dipnetter,One who fishes with a dip net.
dipper,"One who, or that which, dips (immerses something, or itself, into a liquid)"
dipterologist,"One who studies flies, the Diptera."
directional,"Something that indicates direction, such as a vehicle's turn signal."
director,"One who directs; the person in charge of managing a department or directorate (e.g., director of engineering), project, or production (as in a show or film, e.g., film director)"
dirigent,Something that or someone who directs; a director or guide
dirtsider,"Someone who lives on the surface of a planet or moon, as opposed to in space"
disabled,One who is disabled
disabler,"One who, or that which, disables."
disablist,One who exhibits disablism
disabuser,One who disabuses.
disagreer,One who disagrees
disannuller,One who disannuls.
disappearer,One who disappears.
disappointer,One who disappoints.
disapprover,One who disapproves.
disarticulator,One who disarticulates and prepares skeletons.
disassociator,One who or that which disassociates.
disavower,One who disavows.
disbander,One who disbands something.
disbeliever,One who disbelieves; one who does not believe.
disburser,One who disburses money.
discarder,"One who, or that which, discards."
discerner,"One who, or that which, discerns, distinguishes, or judges"
dischargee,One who is discharged
discipler,One who disciples
disciplinant,One who subjects themselves to a certain discipline.
disciplinarian,One who exercises discipline
disciplinarian,One who believes in discipline as a tool for regulation or control.
discipliner,Agent noun of discipline: one who disciplines
disciplinist,One whose job is to enforce discipline
disclaimer,"One who disclaims, disowns, or renounces."
discographer,One who compiles a discography.
discolorer,One who discolours.
discombobulator,One who or that which discombobulates.
