Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive
1255,zigaboo,Noun,"Alternative form of jigaboo 1928, Claude McKay, Home to Harlem, Northeastern University Press (1987), ISBN, page 322: That zigaboo is a singing fool, remarked Jake"," offensive, ethnic slur","1942, Zora Neale Hurston, Story in Harlem Slang, in The American Mercury, Volume 45 (July 1942), reprinted in Alan Dundes (editor), Mother Wit from the Laughing Barrel, University Press of Mississippi (1973), ISBN, page 222: Wait till I light up my coal-pot and Ill tell you about this Zigaboo called Jelly. a. 1996, C. Eric Lincoln, in Coming through the Fire: Surviving Race and Place in America, Duke University Press (1996), ISBN, page 3: Mommie, the little girl announced in a confidential stage whisper: Mommie, there is a zigaboo behind you! The mother turned and looked squarely into my eyes. Did she see a zigaboo? I wondered. She gave no hint.",False,False,False,False,False,True
1263,zigeuner,Noun,A Gypsy., offensive,,False,False,False,False,False,True
244,oaxaquita,Noun,"An indigenous girl or woman from the state of Oaxaca, Mexico"," offensive, ethnic slur","2004, Jonathan Fox Gaspar Rivera-Salgado, Indigenous Mexican Migrants in the United States, page 94:I remember one of the first meetings we had, when I told them, ""I'm tired of our own countrymen seeing us on the street and saying, 'hey, look, there goes a oaxaquita. 2013, Fatima Juarez, Thomas LeGrand, Cynthia Lloyd, Youth Migration and Transitions to Adulthood in Developing Countries, ISBN:She learned, through the AVID program, that she could set high expectations of herself; she was determined to do so to surpass those who discriminated against her calling her names such as oaxaquita.",False,False,False,False,False,True
5988,weaker sex,Noun,Women; the female gender, now offensive,"2013, Peter McAra, A World Apart (page 14) For a man raised since birth to be strong, resolute, spare with words, and never to bow to the weepings and handwringings of the weaker sex, he had poured out his heart in that letter. 2017 April 22, ""Attorney in Tennessee Rape Trial Says Women are Good Liars Because Theyre the Weaker Sex"", KTLA5. ""There's always a reason behind a lie. People can be very good at lying. Women can be especially good at it because they're the weaker sex and we, that's what the books say, and we want to protect them and not have anyone take advantage of them. At least I do,"" Farese said during closing statements Wednesday.",False,False,False,False,False,True
6454,weathergirl,Noun,A young female weather forecaster, now sometimes offensive,,False,False,False,False,False,True
8161,welsh,Verb,"To swindle someone by not paying a debt, especially a gambling debt.", offensive,,False,False,False,False,False,True
11538,whiteass,Noun,A white person," Canada, US, offensive, derogatory, ethnic slur","2000, Michael Piedmonte, Split Land of Liberty, page 137 And how many times have our people spoke[sic] of dreams since the Whiteasses came?",False,False,False,False,False,True
12340,whore around,Verb,To regularly copulate with people that one is not in a relationship with," intransitive, offensive","Richard likes to whore around. His boyfriend has no idea about the men on his ""business trips"".",False,False,False,False,False,True
17049,women's work,Noun,"Work of inferior status, especially the collective housework tasks traditionally performed by females in a home."," derogatory, offensive",,False,False,False,False,False,True
867,back-asswards,Adjective,Alternative form of ass-backwards," humorous, colloquial, mildly offensive",,False,False,False,False,False,True
5335,banana nose,Noun,A person having such a nose," idiomatic, sometimes capitalized, mildly offensive","1985 June 30, Robert N. Strauss, ""Letters: Ugly Fans at Track,"" New York Times (retrieved 10 Feb 2018): But 30 years ago, it was a pleasure to relax at the trackwin or lose. The only remark I ever heard made to a jockey by a fan in those days was a friendly ""Hey, banana nose"" addressed to the great Eddie Arcaro. 1995, Natalie Goldberg, Banana Rose: A Novel (2011 Open Road Media edition), ISBN, ch. 2 (Google preview): Sometimes the kids at school call me Banana Split, and when my father heard the name, he said, ""You mean Banana Nose. You always had a big nose."" 2003, Sam Millar, On the Brinks, ISBN, ch. 3 (Google preview): How many, young Millar? asked Flanders, a giant with tight clothes, lambchop sideburns, a ruddy complexion and an enormous nose that defied gravity. The kids called him Banana Nose.",False,False,False,False,False,True
11824,bean-eater,Noun,a Mexican.," US, derogatory, offensive, ethnic slur",,False,False,False,False,False,True
11895,beanbreath,Noun,A Mexican or Hispanic person.," US, highly derogatory, offensive, ethnic slur",,False,False,False,False,False,True
11905,beaner,Noun,A Mexican," US, ethnic slur, offensive","1999, Gregory Alan Norton, There Ain't no Justice, Just Us, Xlibris Corporation, ISBN, pages 32:You're gonna work out good, Dave. I was afraid they were gonna hire another nigger or a beaner. 2003, Roy Yelverton, chapter 2, in Shovelhead Red The Drifter's Way[1]:Hey bro I'm a beaner, we ain't good at math. Jeez, dawn 'ju watch TV? 2005, Carlos Mencia, Mind of Mencia:I'm a beaner, and I'm telling you white people, that's a bullshit number right off the bat!",False,False,False,False,False,True
15340,behenchod,Noun,Sisterfucker," India, offensive","2012, Vikrant Khanna, The India I Dream of, ISBN, page 170:Oye behenchod, I'm warning you don't tell me what I can do, now I am only keeping you here... 2013, Karthik S, Techie @ Heart, ISBN:FYI, this is not a prison, behenchod, but a training centre,' I shouted, tembling with rage. 2017, Azar, The Journalist 2 Shades of Grey, ISBN:""Stop smiling you behenchod..."" I shout.",False,False,False,False,False,True
18138,berdachism,Noun,The state or practice of being (or of there being individuals who are) transgender or third-gender in a Native American society," anthropology, now offensive","2000, John W. M. Hallock, The American Byron, page 19:English settlers, in turn, solidly repressed berdachism in North America, although a score of nineteenth-century texts reveal a lack of sexual assimilation.",False,False,False,False,False,True
28800,black babies,Noun,"Third-world charities, the missions"," Ireland, Britain, idiomatic, potentially offensive",Jim met his wife when she was collecting for the black babies.,False,False,False,False,False,True
29466,blackfellow,Noun,A (male) Australian Aborigine," Australia, now usually considered offensive","[from 19th c.] 1985, Peter Carey, Illywhacker, Faber Faber 2003, p. 40: He was squatting on the ground like a blackfellow, quiet and still and cunning. 2000, Daryl Tonkin, Carolyn Landon, Jackson's Track: Memoir of a Dreamtime Place, page 256, It was as if the blackfellas were their property, and the Board could do with them as they saw fit. 2002, James Roberts, At the Bar, in Rebekah Clarkson (editor), Forked Tongues: A Delicious Anthology of Poetry and Prose, page 29, A blackfella and a whitefella are sitting at the bar. The whitefella says to the blackfella eh boss, whadya reckon? The blackfella says since you ask, I consider it a metaphor of the historic case of the Coorong massacre of 1840. 2007, Noel Olive, Enough is Enough: A History of the Pilbara Mob[1], page 212:Most police officers had no blackfella cultural background, no knowledge of Aboriginal priorities in life, yet they were the power in the town.",False,False,False,False,False,True
29779,blacky,Noun,A black person.," informal, derogatory, offensive, ethnic slur",,False,False,False,False,False,True
32253,blonde,Adjective,"Stupid, ignorant, naive"," especially of a woman, offensive","2005, Nancy Bartholomew, Lethally Blonde, Silhouette ISBN, page 8: Emma's already huge green eyes widen and she gives me this look like, Oh my God, sometimes you are just so blonde! 2014, Aviva Drescher, Leggy Blonde: A Memoir (Simon and Schuster, ISBN): I was so blonde I honestly had no idea why he got so angry. He cooled on me for a week or so. 2003, Bennett Fairorth, The Land Where My American Mother Died--Palermo, Sicily (iUniverse, ISBN), page 201: She was so blonde, she studied for a blood test, when she went to the airport and saw a sign that said, 'Airport Left,' she turned around and went home, when she heard that 90% of all crimes occur around the home, she moved.",False,False,False,False,False,True
41614,boy,Noun,"Any non-white male, regardless of age", now offensive,"[from 19th c.] 1812, Anne Plumptre translating Hinrich Lichtenstein, Travels in Southern Africa, in the Years 1803, 1804, 1805, and 1806, Vol. I, i, viii, 119: A Hottentot... expects to be called by his name if addressed by any one who knows it; and by those to whom it is not known he expects to be called Hottentot... or boy. 1888, Louis Diston Powles, Land of Pink Pearl, or Recollections of Life in the Bahamas, 66: Every darky, however old, is a boy. 1973 September 8, Black Panther, 7/2: [In Alabama,] Guards still use the term boy to refer to Black prisoners. 1979, Bert Newton and Mohammed Ali, The Logie Awards: BN: [repeating a catchphrase] I like the boy.MA: [to hostile audience] Hold it, hold it, hold it. Easy. Did you say Roy or boy?BN: I like the boy. There's nothing wrong with saying that... Hang on, hang on, hang on... I'll change religion, I'll do anything for ya, I don't bloody care... What's wrong with saying that? I like the boy?MA: Boy...BN: I mean, I like the man. I'm sorry, Muhammad.",False,False,False,False,False,True
48138,brownie,Noun,"A person of Arab, Indian or Hispanic descent"," ethnic slur, offensive",Also rarely used for a Native American or Pacific Islander.,False,False,False,False,False,True
52928,burrhead,Noun,A black person," derogatory, offensive, ethnic slur","1993, Donald Lee Grant, Jonathan Grant, The Way it was in the South (page 424) Top FBI officials were bitter that their scandalous tidbits about ""burrhead"" (Hoover's favorite nickname for [Martin Luther] King) were were not published and King's stature was undiminished. 2002, Charles Combs, Deadly Heritage, page 27:If you burrheads are looking for some white stuff tonight, you'd better look elsewhere. Now, get the hell out of here before I feed you your balls for an appetizer! The younger black whirls to face Harlan, his biceps tugging at his shirtsleeves []",False,False,False,False,False,True
4292,handicap,Noun,"The disadvantage itself, in particular physical or mental disadvantages of people.", sometimes considered offensive,,False,False,False,False,False,True
6538,harlot,Noun,A female who is considered promiscuous," derogatory, offensive","Synonyms: skeezer, slut, whore",False,False,False,False,False,True
8879,he-she,Noun,A transsexual or transgender female; a female person who was assigned male at birth," informal, derogatory, offensive","1998, Judith Halberstam, Female Masculinity, page 129:The year is 1973, and work is hard to come by for he-shes. 2007, Katherine D. Bennett, Forever One, page 138:Mother was stopped in the supermarket under the guise of asking about my leg, but more often than not they asked if it was true that I was a he-she. 2009, Tom Walker, Fort Apache: New York's Most Violent Precinct, page 98:They are the ugliest assortment of hes, shes, he-shes, and she-hes in the world.",False,False,False,False,False,True
9910,heap,Adverb,Very, representing broken English stereotypically or comically attributed to Native Americans; may be offensive,"1980, Joey Lee Dillard, Perspectives on American English (page 417) We are all familiar with the stereotyped broken English which writers of Western stories, comic strips, and similar literature put into the mouths of Indians: 'me heap big chief', 'you like um fire water', and so forth. 2004, John Robert Colombo, The Penguin Book of Canadian Jokes (page 175) Once upon a time, a Scotsman, an Englishman, and an Irishman are captured by the Red Indians [] He approaches the Englishman, pinches the skin of his upper arm, and says, ""Hmmm, heap good skin, nice and thick.",False,False,False,False,False,True
24881,honest injun,Noun,An honest person.," US, humorous, now sometimes offensive",,False,False,False,False,False,True
30463,humpback,Noun,A person with a humpback; a person who suffers from kyphosis," derogatory, now offensive","Synonyms: crookback, hunchback 1860, George Eliot, The Mill on the Floss, Book2, Chapter6,[11] [] Toms more specific and kindly impressions gradually melted into the old background of suspicion and dislike toward him as a queer fellow, a humpback, and the son of a rogue. 1951, Graham Greene, The End of the Affair, Penguin, 1975, Book2, Chapter7, p.81,[12] [] I stared up at the raw spots on his cheek and thought, there is no safety anywhere: a humpback, a cripplethey all have the trigger that sets love off.",False,False,False,False,False,True
272,Jacky,Noun,An aborigine.," Australia, ethnic slur, offensive",,False,False,False,False,False,True
945,Jew,Verb,Alternative letter-case form of jew, offensive,,False,False,False,False,False,True
975,Jew down,Verb,"Alternative spelling of jew down 1877, John Habberton, Some folks, K"," US, offensive","Grdener, page 104: "" [] who should come along this mornin' but one of those same holy people, and Jewed me down on pay that the Lord knows is hard enough to live on."" 1906, Thomas Beyer, The American Battleship in Commission as Seen by an Enlisted Man: Also Many Man-o'-war Yarns, Army and Navy Register, page 202: Incidentally they ask a price much higher than it is worth; they expect to be Jewed down. 2005, Michael Boloker, A Journey West, iUniverse, ISBN, page 204: "" [] I don't want to get Jewed down, you know. I'm sure you'll take care of me?""",False,False,False,False,False,True
976,Jew nose,Noun,A larger than average nose., offensive,,False,False,False,False,False,True
978,Jewboy,Noun,A male Jew," colloquial, derogatory, offensive","1937, The Tanager (volumes 13-15, page 11) ""I said all Jewboys are afraid all the time. That's what I said."" 2000, Sidney Weissman, East Side Stories The dark-haired boy was grinning at them, he said to Heshy who was the tallest of the three friends, We'll play a little game, Jewboy. You don't know the game so I'll teach you, right?You Jewboys can always learn something new, can't you? the blonde said with a laugh.",False,False,False,False,False,True
1014,Jewish lightning,Noun,Supposed cause of a fire which is in fact deliberately lit by the property owner in order to benefit from insurance or similar such as destruction of documents, offensive,"1996, John le Carr, interviewed at salon.com The insurance companies, many of which were Jewish, referred to ""Jewish lightning"" when unfortunate fires burned down warehouses in the East End.",False,False,False,False,False,True
1022,Jewishish,Adjective,Having the indefinite appearance of being Jewish; moderately or superficially Jewish, possibly offensive,"1991, Cynthia Heimel, If You Can't Live Without Me, Why Aren't You Dead Yet?!, Grove Press (1991), ISBN, page 3: I rent this movie the other day. It's about this dark, brooding, Jewishish guy []",False,False,False,False,False,True
1052,Jewy,Adjective,"Characteristic of a Jew or (the) Jews; Jewish 2015, Southpark, Season 18, Episode 1: Oh my God, that weird, little, Jewy guy! I just met the new neighbors and, baruch Hashem, they're delightfully Jewy."," informal, often stereotypical, sometimes humorous, possibly derogatory or offensive",,False,False,False,False,False,True
1247,Johnny Crapaud,Noun,A Frenchman," offensive, derogatory, ethnic slur","1887 July 1, Frith, Henry, Our Cricket-Match at Sandilands, in The Boy's Own Paper[1], number 101, Canadian reprint of volume 9, number 438 (June 4, 1887), Toronto: Warwick Sons, page 579:""I say, you fellows, Johnny Crapaud says he can play cricket! exclaimed Crow one morning. What fun! 1901, Vizetelly, Edward, Cairo After the Occupation, in From Cyprus to Zanzibar, by the Egyptian Delta[2], page 231:The French were very sore about the unceremonious manner in which the Dual Control was dispensed with. Their simple statesmen seemed to think that we, who had complacently picked the chestnuts out of the fire, were going to share them. Earl Granville, in kindness of heart, offered Johnny Crapaud a consolation sop in the form of the Presidency of the Public Debt Department, which was sulkily refused, and Johnny Crapaud retired to his tent, thence to cause us petty annoyances whenever he could.",False,False,False,False,False,True
556,Halfrican,Noun,"A person who is biracial, with one black parent and one of another race", perhaps offensive,"1994, Myra Goldberg, Whistling and Other Stories, page 177:My son who calls himself a Halfrican-American flattens his hair by pressing the top of his head against the wall in our hallway. 2004, Nicole Bailey-Williams, Floating (novel), Random House, ISBN, page 128: [] White girl! Nigger bitch! HALFRICAN! MUTT! HALF-BREED! [] 2005, Wendy Coakley-Thompson, What You Wont Do For Love (novel), Dafina Books, ISBN, page 79: ""Oh, Biracial Humor!"" Devin laughed. ""Too clever for me!"" He laughed, but the comment stung. It always had. It meant that even his closest friends saw him as inauthentic, the fake McCoy, a Halfrican.",False,False,False,False,False,True
2033,Holocaustianity,Noun,A belief system centered around Holocaust assertions," offensive, used by Holocaust deniers","1993 Instauration, Volumes 19-20, page 14 It's not just a question of the sickness and guilt instilled in young whites by nonstop harangues about ""slavery"" and ""apartheid"" and Holocaustianity too, it might be added 2009 Why is Pat Buchanan's website playing host to Holocaust deniers? New York Daily News This is a perfect description of the Buchanan Brigades' forum, which is replete with references to the ""Holohoax"" and ""Holocaustianity."" 2011 From the Temple to the Talmud, page 175 These are the kind of disgusting and morbid, psychotic images which Jewish kids are exposed to constantly in the cinematic liturgy of Holocaustianity and for that matter, in the Talmud as well. 2013 Confronting the ADL's Campaign of Hate American Free Press Typical of their modus operandi, the ADL scared off speakers for Freedompalooza by dropping the holocaust-denial bomb. Im tired of seeing white men kneeling down to the Holocaustianity myth, said Topete 2014 A Spiritual Manifesto, page 141 As the foundation for Christianity and Muhammadism we must not leave out criticism of the Jewish presence on the world stage because of the divisiveness of any supremacist, racist group based on unverifiable ancient texts and scientific error, at the risk of venturing into the intellectual arenas that have been forced out of public debate by constant barrage of victim status, Holocaustianity, preemptive defensive posturing and hypersensitivity through Jewish media and political discourse coupled with the fringe labeling of delusional conspiracy theorists of those who dare or actually are.",False,False,False,False,False,True
6488,electric Jew,Noun,"television, regarded as dominated by Jewish interests"," derogatory, offensive",,False,False,False,False,False,True
31762,pickaninny,Noun,A black child," colloquial, now offensive, ethnic slur","[from 17th c.] 1952, Doris Lessing, Martha Quest, Panther 1974, p. 134: A small white donkey glimmered into sight, and behind it a milk cart, rattling its cans, and behind that ran a small and ragged piccaninny, a child of perhaps seven years, whose teeth were rattling so loudly they sounded like falling pebbles even across the width of the garden. 1978, Andr Brink, Rumours of Rain, Vintage 2000, p. 57: And then one boy came back into the water to help me, a Black piccanin, I believe his name was Mpilo [] . 2011, Robin Bernstein, Racial Innocence: Performing American Childhood from Slavery to Civil Rights, NYU Press (ISBN), page 34: The pickaninny was an imagined, subhuman black juvenile who was typically depicted outdoors, merrily accepting (or even inviting) violence. The word (alternatively spelled picaninny or piccaninny) dates to the seventeenth century, []",False,False,False,False,False,True
39855,play the angles,Verb,"In a game which involves control of a moving object, such as a ball or puck, to seek scoring opportunities by advancing on or shooting at the scoring target in an angular manner across the field of play"," sports, of an offensive player","1987 Feb. 9, Peter Alfano, ""Tennis: Mayotte defeats McEnroe in 4 sets,"" New York Times (retrieved 1 March 2014): McEnroe was broken again in the sixth game, making three uncharacteristic errors. His volleys lacked crispness. Instead of playing the angles, he was hitting them right back to Mayotte. 2014 March 1, Mike Pejic, ""Making the Britannia Stadium a fortress key to Stoke City's Premier League survival,"" The Sentinel (UK) (retrieved 1 March 2014): Whoever is playing for Arsenal, they just love to cram central areas and knock the ball around in the attacking third. Whether they are playing the angles with quick one-twos, or passing and following the path of the ball, they are forever moving you around defensively.",False,False,False,False,False,True
39890,play the white man,Verb,"To act with honour, decency, and responsibility"," intransitive, Britain, informal, potentially offensive",,False,False,False,False,False,True
40528,plebby,Adjective,"dclass, unsophisticated, oikish, chavvy, stereotypical of NRS classes D and E."," chiefly Brit, offensive",,False,False,False,False,False,True
45085,politard,Noun,An ignorant person who discusses politics.," derogatory, offensive",,False,False,False,False,False,True
45086,politard,Noun,An ignorant or stupid politician or public political commentator.," derogatory, offensive",,False,False,False,False,False,True
49343,poopskin,Noun,A person with dark-coloured skin.," ethnic slur, derogatory, offensive",,False,False,False,False,False,True
49656,pope-holy,Adjective,sanctimonious., offensive,,False,False,False,False,False,True
50094,porch monkey,Noun,A lazy black person," idiomatic, offensive, ethnic slur","1983 Jan. 14, ""Racial incidents, declining sales sour Volkswagen dream,"" Pittsburgh Post-Gazette, p. 6: ""[W]e are concerned that outright harassment such as being called nigger, jungle bunny, porch monkey, boy, son, etc., is occurring entirely too much."" 2006, Lee Kohn, Shadows of Rage, ISBN, p. 29 (Google preview): Look Jake, you need a real partner, you know what I mean, a real white partner, not that overweight porch monkey. . .; we whites have to stick together.",False,False,False,False,False,True
51113,posh,Adjective,"Snobbish, materialistic, prejudiced, under the illusion that one is better than everyone else"," usually offensive, especially in Scotland and Northern England",We have a right posh git moving in next door,False,False,False,False,False,True
68764,promdi,Noun,someone from the provinces; a hillbilly, often offensive,,False,False,False,False,False,True
81477,pygmy,Noun,Any dwarfish person or thing," figuratively, derogatory, offensive",Everyone looked like pygmies whenever giant Joe joined his classmates.,False,False,False,False,False,True
81478,pygmy,Noun,"An insignificant person, at least in some respect"," figuratively, derogatory, offensive","Despite his towering stature, the minister proved a political pygmy.",False,False,False,False,False,True
909,Indian giver,Noun,A person who demands the return of or takes back something which he or she has previously given," informal, offensive","1920, Peter B. Kyne, chapter 41, in Kindred of the Dust:Mark me, he'll never take those bonds. . . . He gave them to you and he's not an Indian giver."" 2001, Jon Ippolito, ""Whatever Happened to the Gift Economy?"" Leonardo, vol. 34, no. 2, p. 159, He was labeled an ""Indian giver""someone who gives a gift only to ask for it back.",False,False,False,False,False,True
911,Indian giving,Noun,"The act of giving something to someone under the pretense that they get to keep it permanently, and then taking it back later on, or expecting something in return."," informal, offensive",,False,False,False,False,False,True
1358,Irish goodbye,Noun,A hasty exit made without saying farewells to anybody., offensive,,False,False,False,False,False,True
1533,Islamofascism,Noun,Socially repressive or nationalistic Islamic fundamentalism.," chiefly US, derogatory, offensive",,False,False,False,False,False,True
1534,Islamofascist,Noun,A Muslim fundamentalist.," chiefly US, derogatory, offensive",,False,False,False,False,False,True
1535,Islamofascist,Adjective,Of or pertaining to Islamofascism.," chiefly US, derogatory, offensive",,False,False,False,False,False,True
1538,Islamonazism,Noun,"Islamist Nazism, Nazi Islamism: a real or imagined conflation of Nazism and Islamism"," chiefly US, derogatory, offensive","1989 December 28, Bumiputra and Islamonazism, in talk.politics.mideast, Usenet 2002, Dave Kopel, ""A Rich Tradition"", The National Review, December 5 [1] From the river to the sea, the whole land will one day be free free of all the terrorist factions, and free for people of every religious faith to live without fear of Islamonazism, in all its perverse variations. 2010 October 6, Islamonazism and its historic, systematic and continue persecution of Christians (""Christains"" to some), in alt.politics.immigration, Usenet",False,False,False,False,False,True
377,Zionazi,Noun,A Zionist with Nazi-like tendencies," offensive, derogatory","1988, slogan spray-painted on the wall of the Jewish Student Center at SUNY Binghamton, quoted in David Singer, American Jewish Year Book, 1990, Jewish Publication Society (1990), ISBN, page 213, Zionazi racists a2002, Hussam Ayloush, quoted in Daniel Pipes, In the Path of God, Transaction Publishers (2002), ISBN, page 118, zionazi 2002, graffiti at the University of Colorado at Boulder, quoted in Raphael Israeli, Islamikaze: Manifestations of Islamic Martyrology, Routledge (2003), ISBN, pages 364365, Zionazis",False,False,False,False,False,True
378,Zionazi,Adjective,"Of, or pertaining to Zionazism."," offensive, derogatory",,False,False,False,False,False,True
1711,Mandingo,Noun,A black man with a large penis, offensive,"""But when most people think of Mandingo, they think of...?"" ""A nigga with a big dick, yes"". ""Lust and Hip Hop"" by Jazz Jordan: https://books.google.com/books?id=Dd98BgAAQBAJpg=PT17dq=mandingo+-falconhurst+-tiger+big+dickhl=ensa=Xei=crKUVYz2HMmHyASu6pHgDgved=0CB0Q6AEwAA#v=onepageq=mandingo%20-falconhurst%20-tiger%20big%20dickf=false supposedly there are like these women who harbor these psychological fantasies, where they want to beyou know fucked by like a big, strapping, muscled sort of black man with like a gigantic Mandingo dicklike you know that fantasy ""Reimagining Raisin in the Sun"": https://books.google.com/books?id=yWAFWyvVKPsCpg=PA379dq=mandingo+-falconhurst+-tiger+big+dickhl=ensa=Xei=crKUVYz2HMmHyASu6pHgDgved=0CC4Q6AEwAw#v=onepageq=mandingo%20-falconhurst%20-tiger%20big%20dickf=false",False,False,False,False,False,True
2751,Mediterranean Irish,Noun,"A member of a national group of the Eastern Mediterranean, especially one which was subjected to a period of British rule or occupation, such as the Greek or Italian people"," humorous, sometimes offensive","1959, Labor-management Reform Legislation: Hearings Before a Joint Subcommittee of the Committee on Education and Labor, United States Congress, U.S. Government Printing Office, p. 742: His name is I. J. Saccamanno. He is a Mediterranean ""Irish"" and I love him like a brother. 2000, Thomas W. Gallant, ""Honor, Masculinity, and Ritual Knife Fighting in Nineteenth-Century Greece,"" American Historical Review, vol. 105, no. 2, p. 377: Since the 1830s, pro-British Ionians . . . took their cue from the colonial officers, who denigrated the Ionians, comparing them to the aboriginal groups like the Hottentots or Irish. Indeed, the British frequently referred to the Ionians as the ""Mediterranean Irish.""",False,False,False,False,False,True
2753,Mediterranean Irishman,Noun,"A person belonging to an Eastern Mediterranean national group, especially one which was subjected to a period of British rule or occupation, such as the Greeks or Italians"," originally Britain, humorous, sometimes offensive","1956 Dec. 27, ""Visiting Your Newspaper,"" Oswego Valley News: Bart Blandino . . . refers to himself as a Mediterranean Irishmanan expression which never fails to amuse us.",False,False,False,False,False,True
4055,Monkey Hanger,Noun,A person from Hartlepool.," Teesside, Northumbria, offensive",,False,False,False,False,False,True
2525,nappy,Adjective,"Of hair: tightly curled or twisted; frizzy (often specifically in reference to Afro textured hair) 1987, Assata Shakur, Assata: An Autobiography, page 30, We would talk about each others ugly, big lips and flat noses"," US, informal, sometimes offensive","We would call each other pickaninnies and nappy-haired so-and-sos. 2006, Ronald L. Jackson II, Scripting the Black Masculine Body, page 52, For example, some Black peoples corporeal zones include nappy hair texture, wide noses, thick lips, and darker-than-white skin complexion, all of which come into play when an individual is interacting with a cultural Other. 2010, Nadine George-Graves, Urban Bush Women: Twenty Years of African American Dance Theater, Community Engagement, and Working It Out, page 50, She had decided to just cover her hair with a scarf because Aunt Bell was old school and Zollar did not want to have to explain why she had nappy hair.",False,False,False,False,False,True
2529,nappyhead,Noun,The hair of a person of Negro/African descent.," offensive, ethnic slur",,False,False,False,False,False,True
