term,definition
disperser,"An organism that disperses something, such as seeds, in the environment"
ditomyiid,Any member of the Ditomyiidae.
diviniid,Any member of the Diviniidae.
dixid,Any member of the Dixidae.
djadochtatheriid,Any member of the Djadochtatheriidae.
docodontid,Any member of the Docodontidae.
docoglossan,Any member of the Docoglossa.
dodecaploid,An organism whose cells have twelve complete sets of chromosomes.
doid,"Any member of the Doidae, a family of moths."
dolichomacrostomid,Any member of the Dolichomacrostomidae.
dolichometopid,Any member of the Dolichometopidae.
dolichopodid,Any member of the Dolichopodidae.
doliolid,Any member of the family Doliolidae of pelagic tunicates.
donacid,Any member of the Donacidae.
doradid,Any member of the Doradidae.
dorid,Any member of the taxonomic superfamily Doridoidea of nudibranchs.
doridid,Any member of the Dorididae.
dorippid,Any member of the Dorippidae.
dorsibranchiate,Any of the Dorsibranchiata.
dorvilleid,Any member of the family Dorvilleidae of polychaete worms
doryline,Any member of the ant subfamily Dorylinae.
dorylomorph,"A member of a taxonomic grouping of army ants and their relatives, comprised of six subfamilies Leptanilloidinae, Cerapachyinae, Ecitoninae, and the monogeneric subfamilies Aenictinae, Aenictogitinae, and genus Dorylus sensu stricto, now all placed in Dorylinae sensu lato"
dotid,Any member of the Dotidae.
dotoid,Any member of the Dotoidae.
douglasiid,Any member of the Douglasiidae.
draconettid,Any member of the Draconettidae.
drepanid,Any member of the Drepanidae.
drepanidid,Any member of the Drepanididae.
drepanosaurid,Any member of the Drepanosauridae.
drilid,Any member of the Drilidae.
dromaiid,Any member of the Dromaiidae.
dromiid,Any member of the Dromiidae.
dromomerycid,Any member of the Dromomerycidae.
dromornithid,Any member of the Dromornithidae
drosophilid,Any member of the Drosophilidae.
dryinid,Any member of the Dryinidae.
dryomyzid,Any member of the Dryomyzidae.
dryophthorid,Any member of the Dryophthoridae.
dryopithecid,Any member of the Dryopithecidae.
dryopithecine,Any member of this genus of primates.
dryosaurid,Any member of the Dryosauridae.
dryptosaurid,Any member of the Dryptosauridae.
dsungaripterid,Any member of the Dsungaripteridae.
dugesiid,Any member of the Dugesiidae.
dugongid,Any member of the Dugongidae.
dulid,Any member of the Dulidae.
dunkleosteid,Any member of the Dunkleosteidae.
dussumierid,Any member of the Dussumieridae.
dussumieriid,Any member of the Dussumieriidae.
dvinosaur,"A member of the Dvinosauria, a clade of primitive semi-aquatic to completely aquatic amphibians."
dvinosaurid,Any member of the Dvinosauridae.
dynastid,Any member of the Dynastidae.
dysderid,Any member of the Dysderidae.
dytiscid,Any member of the family Dytiscidae of diving beetles.
quercypsittid,Any member of the Quercypsittidae.
zanclid,Any of the fish family Zanclidae.
zanclodontid,Any member of the Zanclodontidae.
zaprorid,Any of the family Zaproridae of prowfish.
zatherian,Any member of the Zatheria.
zatracheid,Any member of the Zatracheidae.
zatrachydid,Any member of the Zatrachydidae.
zerconid,Any member of the Zerconidae.
zeuglodont,"Any member of the Basilosauridae, formerly under the taxonomically invalid name Zeuglodontidae."
ziphiid,Any of the family Ziphiidae of beaked whales.
ziphodont,Any organism with teeth of this kind.
zoanthid,Any member of the order Zoanthidea of cnidarians commonly found in coral reefs and other marine environments.
zodariid,Any member of the Zodariidae.
zonitid,Any member of the Zonitidae.
zoogonid,Any member of the Zoogonidae.
zooparasite,Any organism that is parasitic to an animal
zoophage,"An organism that consumes animal matter, or a species whose members do so; a carnivore"
zooplankter,Any organism that is a zooplankton
zooplanktivore,Any organism that consumes zooplankton
zootherapeutic,Any organism used therapeutically
zopherid,Any member of the Zopheridae.
zorapteran,Any member of the insect order Zoraptera.
zorid,Any member of the Zoridae.
zorocratid,Any member of the Zorocratidae.
zoropsid,Any member of the Zoropsidae.
zosteropid,Any member of the Zosteropidae.
zygaenid,Any member of the moth family Zygaenidae.
zygomycete,An organism of the phylum Zygomycota.
zygopleurid,Any member of the Zygopleuridae.
zymad,The organism responsible for a zymotic or infectious disease; the contagium vivum.
obolid,Any member of the family Obolidae of lamp shells.
oceanitid,Any member of the family Oceanitidae of southern storm petrels or Austral storm petrels.
ochlesid,Any member of the family Ochlesidae of small shrimp-like crustaceans.
ochodaeid,Any member of the Ochodaeidae.
ochotonid,"Any member of the family Ochotonidae, the pikas."
ochterid,Any member of the Ochteridae.
ochyroceratid,Any member of the Ochyroceratidae.
ocoid,Any member of the Ocoidae.
octodontid,"Any of the Octodontidae, a family of rodents including the common degu (Octodon degus) and 12 other South American species"
octoploid,an organism whose cells have eight complete sets of chromosomes
octopodid,Any member of the Octopodidae.
octopoteuthid,Any member of the Octopoteuthidae.
oculinid,Any member of the family Oculinidae of stony corals.
ocypodian,A member of the crab family Ocypodidae.
ocypodid,Any member of the Ocypodidae.
ocythoid,Any member of the Ocythoidae.
odiid,Any member of the family Odiidae (now Ochlesidae) of small shrimp-like crustaceans.
odiniid,Any member of the Odiniidae.
odonatan,Any member of the Odonata (dragonflies etc.).
odontaspidid,Any member of the Odontaspididae.
odontasterid,Any member of the Odontasteridae.
odontocete,Any member of the cetacean suborder Odontoceti; a toothed whale
odontodactylid,Any member of the Odontodactylidae.
odontophorid,Any member of the Odontophoridae.
odostomiid,Any member of the Odostomiidae.
oecobiid,Any member of the Oecobiidae.
oecophorid,Any member of the Oecophoridae.
oedemerid,Any member of the Oedemeridae.
oedicerotid,Any member of the Oedicerotidae.
oedipodid,Any member of the Oedipodidae.
oegopsid,Any member of the squid order Oegopsida or suborder Oegopsina.
oestrid,"Any member of the family Oestridae, the botflies."
ogcocephalid,Any member of the family Ogcocephalidae.
oldfieldthomasiid,Any member of the Oldfieldthomasiidae.
oleacinid,Any member of the Oleacinidae.
olenellid,Any member of the Olenellidae.
olenid,Any member of the trilobite family Olenidae.
olethreutid,Any member of the Olethreutidae.
oligacanthorhynchid,Any member of the Oligacanthorhynchidae.
oligopithecid,Any member of the Oligopithecidae.
oligotroph,An organism capable of living in an environment that offers very low levels of nutrients
olivellid,Any member of the Olivellidae.
olivid,Any member of the Olividae.
ologamasid,Any member of the Ologamasidae.
olyrid,Any member of the Olyridae.
omalogyrid,Any member of the Omalogyridae.
ommastrephid,Any member of the Ommastrephidae.
ommatid,Any member of the Ommatidae.
omomyid,"Any member of the family Omomyidae, a diverse group of extinct primates."
omphalotrochid,Any member of the Omphalotrochidae.
oncaeid,Any member of the Oncaeidae.
onchidiid,Any member of the Onchidiidae.
onchocercid,Any member of the Onchocercidae.
oncoceratid,Any member of the Oncoceratidae.
oncopodid,Any member of the Oncopodidae.
oneirodid,Any member of the Oneirodidae.
oniscid,Any of the Oniscidae; a woodlouse.
oniscidean,Any of the terrestrial isopod crustaceans of suborder Oniscidea; a woodlouse
oniscoid,A member of the Oniscoidea; a woodlouse.
onuphid,Any member of the Onuphidae.
onychochilid,Any member of the Onychochilidae.
onychodontid,Any member of the family Onychodontidae
onychoteuthid,Any member of the Onychoteuthidae.
oonopid,Any member of the Oonopidae.
opabinid,Any member of the Opabinidae.
opalinid,Any member of the Opalinidae.
opheliid,Any member of the Opheliidae.
ophiacodontid,Any member of the Ophiacodontidae.
ophiactid,Any member of the Ophiactidae.
ophiceratid,Any member of the family Ophiceratidae of extinct ammonite cephalopods.
ophichthid,Any member of the Ophichthidae.
ophiderpetontid,Any member of the Ophiderpetontidae.
ophidiasterid,Any member of the Ophidiasteridae.
ophidiid,Any member of the Ophidiidae.
ophidioid,Any of the Ophidiidae.
ophiocomid,Any member of the Ophiocomidae.
ophiodermatid,Any member of the Ophiodermatidae.
ophiophage,Any organism that eats snakes.
ophiothricid,Any member of the Ophiothricidae.
ophiotrichid,Any member of the Ophiotrichidae.
ophiuran,Any member of the Ophiurioidea.
opilioacarid,Any member of the Opilioacaridae.
opilionid,Any member of the Opilionidae.
opisthognathid,Any member of the Opisthognathidae.
opisthoproctid,Any member of the Opisthoproctidae.
opisthorchiid,Any member of the Opisthorchiidae.
opisthoteuthid,Any member of the Opisthoteuthidae.
opistognathid,Any member of the Opistognathidae.
oplophorid,Any member of the Oplophoridae.
oplurid,Any member of the family Opluridae.
opomyzid,Any member of the Opomyzidae.
opostegid,Any member of the Opostegidae.
oppeliid,Any member of the Oppeliidae.
orbiniid,Any member of the Orbiniidae.
orbitestellid,Any member of the Orbitestellidae.
orbitolinid,Any member of the Orbitolinidae.
orculid,Any member of the Orculidae.
oreasterid,Any member of the Oreasteridae.
orectolobid,Any member of the Orectolobidae.
oreodontid,Any member of the Oreodontidae.
oreohelicid,Any member of the Oreohelicidae.
oreopithecid,Any member of the Oreopithecidae.
oreosomatid,Any member of the Oreosomatidae.
organotroph,An organism that obtains its energy from organic compounds.
oriolid,Any member of the Oriolidae.
oriostomatid,Any member of the Oriostomatidae.
ormyrid,Any member of the Ormyridae.
orneodid,Any member of the Orneodidae.
ornithocheirid,Any member of the Ornithocheiridae.
ornithodorid,Any member of the Ornithodoridae.
ornithomimid,Any of the family Ornithomimidae of dinosaurs.
ornithoscelidan,"Any of the Dinosauria, formerly known as Ornithoscelida"
ornithosuchid,Any member of the Ornithosuchidae.
orodontid,Any member of the Orodontidae.
oromerycid,"Any member of the family Oromerycidae, extinct relatives of camels."
orsolobid,Any member of the Orsolobidae.
ortheziid,Any member of the Ortheziidae.
orthoceratid,Any member of the Orthoceratidae.
orthocerid,a member of the extinct Orthocerida order of cephalopods
orthonectid,"Any of the Orthonectida, a small phylum of parasites of marine invertebrates."
orthonychid,Any member of the Orthonychidae.
orussid,Any member of the Orussidae.
orycteropodid,"Any member of the Orycteropodidae, the aardvark and its extinct relatives."
osmophile,Any organism that is adapted to living in environments that have a high osmotic pressure
osmoregulator,Any organism that practices osmoregulation
osmosensitivity,An organism's degree of sensitivity to osmotic gradients The mutant strain exhibited reduced osmosensitivity.
osmylid,Any member of the Osmylidae.
osphronemid,Any member of the Osphronemidae.
ostariophysian,A member of the fish superorder Ostariophysi.
osteolepid,Any member of the family Osteolepidae
osteolepidid,Any member of the superorder Osteolepidida
osteopeltid,Any member of the Osteopeltidae.
ostracean,Any of a family of bivalves of which the oyster is the type.
ostraciid,Any member of the Ostraciidae.
ostracoderm,Any of the armored jawless fishes of the Paleozoic.
ostracoid,Any of the Ostracoidea.
ostreid,"Any member of the family Ostreidae, the oysters."
otinid,Any member of the Otinidae.
otoceratid,Any member of the Otoceratidae.
otodontid,Any member of the Otodontidae.
otoitid,Any member of the Otoitidae.
otopheidomenid,Any member of the Otopheidomenidae.
otophysan,Any of the fish of the Otophysi series within the Ostariophysi superorder
outcrossing,An organism produced by outcrossing
oviraptorid,"A member of the Oviraptoridae, birdlike maniraptoran dinosaurs."
ovulid,Any member of the Ovulidae.
owenettid,Any member of the Owenettidae.
oweniid,Any member of the Oweniidae.
oxyaenid,Any member of the Oxyaenidae.
oxychorid,Any member of the Oxychoridae.
oxyconformer,An organism that displays oxyconformity.
oxycorynid,Any member of the Oxycorynidae.
oxynoid,Any member of the Oxynoidae.
oxynoticeratid,Any member of the Oxynoticeratidae.
oxynotid,Any member of the Oxynotidae.
oxyopid,Any member of the Oxyopidae.
oxyruncid,Any member of the Oxyruncidae.
oxyurid,Any of the order Oxyurida of nematode worms.
waldheimia,Any of the brachiopod genus Waldheimia.
water bear,A member of the animal phylum Tardigrada.
whaitsiid,Any member of the Whaitsiidae.
whatcheeriid,Any member of the Whatcheeriidae.
worm-shell,Any member of the sea snail genus Vermetus.
wuttagoonaspid,Any member of the Wuttagoonaspidae
wynyardiid,Any member of the Wynyardiidae.
backcross,An organism produced by such a crossing.
bacterivore,"Any organism that ingests bacteria, whether as food or as a source of energy."
baculicone,"An organism or fossil with a baculiconic shell, or the shell itself."
baculitid,Any member of the Baculitidae.
baenid,Any member of the Baenidae.
bagrid,Any member of the Bagridae.
bakevelliid,Any member of the Bakevelliidae.
balaenid,Any member of the family Balaenidae.
balaenopterid,Any member of family Balaenopteridae of rorqual whales.
balanid,"Any member of the family Balanidae, stalkless acorn barnacles in the order Sessilia."
balbarid,Any member of the family Balbaridae of extinct kangaroos
balistid,Any member of the Balistidae.
balitorid,Any member of the Balitoridae.
baltoceratid,Any member of the Baltoceratidae.
banjosid,Any member of the Banjosidae.
baphetid,Any member of the Baphetidae.
baptornithid,Any member of the Baptornithidae.
barbourofelid,Any member of the Barbourofelidae.
barleeid,Any member of the Barleeidae.
barochore,"An organism that spreads by weight, as by the weight of a nut that falls from a tree and is not eaten by animals"
barophile,An organism that lives and thrives under high barometric pressure; a form of extremophile.
barychelid,Any member of the Barychelidae.
baryonychid,Any member of the Baryonychidae.
basibiont,An organism that is host to an epibiont
basilosaurid,Any member of the Basilosauridae.
basommatophoran,Any member of the Basommatophora.
bassarisk,Any member of the genus Bassariscus.
batagurid,Any member of the Bataguridae (now Geoemydidae)
bateid,Any member of the Bateidae.
bathycheilid,Any member of the Bathycheilidae.
bathyclupeid,Any member of the Bathyclupeidae.
bathycrinid,Any member of the Bathycrinidae.
bathydraconid,Any member of the Bathydraconidae.
bathyergid,Any member of the Bathyergidae.
bathylagid,Any member of the Bathylagidae.
bathymasterid,Any member of the Bathymasteridae.
bathynomid,Any member of the Bathynomidae.
bathysciadiid,Any member of the Bathysciadiidae.
bathyteuthid,Any member of the Bathyteuthidae.
batillariid,Any member of the Batillariidae.
batrachoidid,Any member of the Batrachoididae.
bauriid,Any member of the Bauriidae.
baurusuchid,Any member of the Baurusuchidae.
bdellourid,Any member of the Bdellouridae.
bedelliid,Any member of the Bedelliidae.
belemnoid,"A member of the Belemnoidea, an extinct group of marine cephalopods."
belid,Any member of the Belidae.
bellerophontid,Any member of the family Bellerophontidae of extinct gastropods.
bellerophontoid,Any member of the superfamily Bellerophontoidea of extinct planospirally-coiled globose molluscs.
bellid,Any member of the Bellidae.
belonid,Any member of the family Belonidae of needlefishes.
belontiid,Any member of the Belontiidae.
belosaepiid,Any member of the Belosaepiidae.
bembrid,Any member of the Bembridae.
bennettitalean,Any of the extinct plants of the order Bennettitales
benthic,Any organism that lives on the seafloor
benthophil,Any organism that lives on the seafloor
benthosuchid,Any member of the Benthosuchidae.
bernissartiid,Any member of the family Bernissartiidae.
berriasellid,Any member of the Berriasellidae.
berycid,Any member of the Berycidae.
berytid,Any member of the Berytidae.
berytinid,Any member of the Berytinidae.
bethylid,Any member of the Bethylidae.
biantid,Any member of the Biantidae.
bibionid,Any member of the Bibionidae.
bidental,"An organism that has only two teeth, especially a dinosaur of the infraorder Dicynodontia"
biflagellate,Any organism that has two flagella.
bioconstructor,Any organism that builds a structure that survives the death of the organism
biodegrader,Any organism that takes part in biodegradation
bioeroder,Any organism that carries out bioerosion
bioirrigator,Any organism that causes bioirrigation
biomagnifier,"An organism that is involved in biomagnification 2015 November 11, Biomonitoring Heavy Metal Pollution Using an Aquatic Apex Predator, the American Alligator, and Its Parasites, in PLOS ONE[1], DOI:10.1371/journal.pone.0142522:However, pentastomids also employed the role as a good biomagnifier of As"
biomineralizer,Any organism involved in biomineralization
biomonitor,Any organism that provides quantitative information on the quality of its environment.
biomultiplier,Any organism (typically a plant) that accumulate toxins from the environment
biophage,Any organism that derives its nourishment from another living organism.
biopreservative,Any organism (typically a bacterium or yeast) used in biopreservation
bioremediator,Any organism used in bioremediation
biosentinel,"Any organism that is the first to respond to a change in the environment, typically the presence of a pollutant"
bioturbator,Any organism that carries out bioturbation.
bipedid,Any member of the family Bipedidae.
biphyllid,Any member of the Biphyllidae.
bithyniid,Any member of the Bithyniidae.
bittacid,Any member of the Bittacidae.
blaberid,Any member of the Blaberidae.
blasticotomid,Any member of the Blasticotomidae.
blastobasid,Any member of the Blastobasidae.
blattellid,"Any of the Ectobiidae (formerly Blattellidae), a family of cockroaches."
blattid,Any member of the Blattidae.
blepharicerid,"Any member of the Blephariceridae, or net-winged midges."
blepharocerid,Any member of the Blepharoceridae.
blikanasaurid,Any member of the Blikanasauridae.
bodotriid,Any member of the Bodotriidae.
boganiid,Any member of the Boganiidae.
bolitaenid,Any member of the Bolitaenidae.
bolivinid,Any member of the Bolivinidae.
bolosaurid,Any member of the Bolosauridae.
bolyerid,Any member of the Bolyeridae.
bolyeriid,Any member of the Bolyeriidae.
bombinatorid,Any member of the Bombinatoridae.
bombycid,Any of the moths of the family Bombycidae.
bombycillid,Any member of the Bombycillidae.
bombyliid,Any member of the Bombyliidae.
bomolochid,Any member of the Bomolochidae.
bopyrid,Any member of the Bopyridae.
boreid,Any member of the Boreidae.
borhyaenid,Any member of the Borhyaenidae.
boring,Any organism that bores into a hard surface
bornellid,Any member of the Bornellidae.
bostrichid,Any member of the Bostrichidae.
bostrychid,Any member of the Bostrychidae.
bothid,Any of the species of the lefteye flounder family Bothidae
bothremydid,Any member of the Bothremydidae.
bothriderid,Any member of the Bothrideridae.
bothriembryontid,Any member of the Bothriembryontidae.
botiid,Any member of the Botiidae.
bougainvilliid,Any member of the Bougainvilliidae.
bovichthyid,Any member of the Bovichthyidae.
bovichtid,Any member of the Bovichtidae.
brachaelurid,Any member of the Brachaeluridae.
brachinine,Any of the subfamily Brachininae of carabid beetles.
brachionichthyid,Any member of the Brachionichthyidae.
brachioteuthid,Any member of the Brachioteuthidae.
brachycephalid,Any member of the Brachycephalidae.
brachydont,Any organism with brachydont teeth.
brachyopid,Any member of the Brachyopidae.
brachystelechid,Any member of the Brachystelechidae.
bradybaenid,Any member of the Bradybaenidae.
bradynobaenid,Any member of the Bradynobaenidae.
bradypodid,Any member of the Bradypodidae.
brahmaeid,Any member of the Brahmaeidae.
branchid,Any member of the Branchidae.
branchinectid,Any member of the Branchinectidae.
branchiosaurid,Any member of the Branchiosauridae.
branchiostegid,Any member of the Branchiostegidae.
branchiostomid,Any member of the Branchiostomidae.
branchipodid,Any member of the Branchipodidae.
brancoceratid,Any member of the Brancoceratidae.
brasilodontid,Any member of the Brasilodontidae.
brassolid,Any member of the Brassolidae.
braulid,Any member of the Braulidae.
bregmacerotid,Any member of the Bregmacerotidae.
brentid,Any member of the Brentidae.
brevicipitid,Any member of the Brevicipitidae.
briareid,Any member of the Briareidae.
brithopodid,Any member of the Brithopodidae.
brontornithid,Any member of the Brontornithidae.
brontotherid,Any member of the Brontotheridae.
brontotheriid,Any member of the Brontotheriidae.
bruchid,Any member of the Bruchidae.
bryid,Any member of the Bryidae.
bryozoan,A bryozoon; a member of a bryozoan colony
bucaniid,Any member of the Bucaniidae.
buccinid,Any member of the Buccinidae.
bucconid,Any member of the Bucconidae.
bucculatricid,Any member of the Bucculatricidae.
bucephalid,Any member of the Bucephalidae.
bucerotid,Any member of the Bucerotidae.
bufonid,Any member of the Bufonidae.
buliminid,Any member of the Buliminidae.
bulimulid,Any member of the Bulimulidae.
bullid,Any member of the Bullidae.
bullinid,Any member of the Bullinidae.
buphagid,Any member of the Buphagidae.
burnetiid,Any member of the Burnetiidae.
burramyid,Any member of the Burramyidae.
bursid,Any member of the Bursidae.
byrrhid,Any member of the Byrrhidae.
bythitid,Any member of the Bythitidae.
bythograeid,Any member of the Bythograeidae.
byturid,Any member of the Byturidae.
hadrosaurid,Any of the family Hadrosauridae of duck-billed dinosaurs; a hadrosaur.
hadrosauriform,Any member of the Hadrosauriformes.
hadziid,Any member of the Hadziidae.
haemadipsid,Any member of the Haemadipsidae.
haemogamasid,Any member of the Haemogamasidae.
haemoproteid,Any member of the Haemoproteidae.
