Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic
359,dadburn,Adjective,"goddamned 2009 May 20, Maureen Dowd, Cheney Grabs a Third Term, in New York Times[1]:Can you believe the nerve of that dadburn whippersnapper at the press dinner, saying your memoir would be called How to Shoot Friends and Interrogate People?"," US, informal, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
404,dadgum,Adjective,goddamned," US, euphemistic","2009, Roy Williams, Hard Work: A Life On and Off the Court[1], ISBN, page 82:I was the best dadgum calendar salesman there ever was. 2004, Loretta Lynn, You're Cookin' It Country: My Favorite Recipes and Memories[2], ISBN, page 12:We wore the dadgummest colors you ever seen in your life.",False,False,False,False,False,False,False,False,False,False,True
405,dadgum,Adverb,goddamned," US, euphemistic",It's just too dadgum hot to run in the park.,False,False,False,False,False,False,False,False,False,False,True
579,daggum,Adjective,damn Those daggum thieves stole my car!," US, euphemistic, dialectal",,False,False,False,False,False,False,False,False,False,False,True
585,dagnab,Verb,damn (as an expletive) Dagnab it! Where did I put those dagnabbed keys?, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
1429,dance,Verb,To make love or have sex," figuratively, euphemistic",You make me feel like dancing.,False,False,False,False,False,False,False,False,False,False,True
1517,dancer,Noun,a stripper Synonym: exotic dancer, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
1682,dang,Verb,Damn., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
1683,dang,Adjective,Damn., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
1781,dangly bits,Noun,"Male genitalia, usually of a baby, child, or of a smaller than usual size; ironic reference to male genitalia"," idiomatic, euphemistic, childish","1993, Sarah Miles, A right royal bastard (Page 32) Mummy is playing with the boy's dangly bits, polishing them with soapy water, and rubbing them up and down.",False,False,False,False,False,False,False,False,False,False,True
2288,darn,Adjective,Damn., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
2289,darn,Adverb,Damned.," degree, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
2304,darned,Adjective,A minced oath for damned., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
2306,darnedest,Adjective,damnedest., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
3095,daughter of joy,Noun,A female prostitute., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
5961,debt of nature,Noun,"Death, seen as an obligation that all living creatures must eventually ""pay"".", euphemistic,,False,False,False,False,False,False,False,False,False,False,True
6132,decades young,Noun,Decades old," euphemistic, humorous","1956, The Santa Fe Magazine, volume 50, page 18: Gaily-garbed Indians and an historical diamond-stacked locomotive, nearly nine decades young, featured a public program there. 1977, American chemistry: bicentennial, page 220: The distinguished biochemist William C. Rose, now almost nine decades young, Emeritus Professor of Biochemistry at Illinois, has provided a first-hand account of the functioning of the Illinois 25 Department under Adams. 1985, Virginia Review, volume 73, page 29: At some eight decades young (born 1908 according to the Hornbook of Virginia History), he discussed history as he saw and lived it. 2001, New York Sportsman, volume 30, issues 1-4, page 81: This is wade fishing of the finest order, and at eight decades young, Bill Meshanic, the sage of the Finger Lakes Chapter of Trout Unlimited, is its biggest fan.",False,False,False,False,False,False,False,False,False,False,True
10029,deflation,Noun,An economic contraction," economics, euphemistic","1969 March 13, Stans to seek foreign trade, in Christian Science Monitor:Beyond that, there is the hope that deflation of the US economy which the administration has in mind will, overtime; stem the import flood. 1976 October 11, Unions Hold Key To British Stability, in Milwaukee Sentinel:It also must be acknowledged that Britain's problems won't be solved by an abrupt deflation of the economy. 1978 June 3, Valley Pipe Dream Wrecked Economy, in Calgary Herald:The great deflation of the northern economy occurred with the rupturing of the Mackenzie Valley pipe dream.",False,False,False,False,False,False,False,False,False,False,True
11004,dehire,Verb,To terminate the employment of.," transitive, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
15405,departed,Adjective,dead, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
15406,departed,Noun,A dead person or persons, euphemistic,"1589, George Puttenham, Edward Arber, editor, The Arte of English Poesie[1], published 1869, page 63:... and our Theologians, in stead thereof vie to make sermons, both teaching the people some good learning, and also saying well of the departed.",False,False,False,False,False,False,False,False,False,False,True
15465,departure,Noun,A death, euphemistic,"(Can we date this quote?) Bible, 2 Timothy 4:6 The time of my departure is at hand. (Can we date this quote?) Sir Philip Sidney His timely departure [] barred him from the knowledge of his son's miseries.",False,False,False,False,False,False,False,False,False,False,True
20698,developmental disability,Noun,Mental retardation., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
20831,devil,Noun,Hell," euphemistic, with an article, as an intensifier",What in the devil is that? What the devil is that? She is having a devil of a time fixing it. You can go to the devil for all I care.,False,False,False,False,False,False,False,False,False,False,True
20863,devil's doorbell,Noun,The clitoris," sexuality, euphemistic","2015 November 11, Wannabee Blunt, How often do you ring the devil's doorbell?, in Blunt Moms[1]:A sinner like me who uses her fingers for ringing the devil[]s doorbell has trouble actually determining whether these moms are in on the joke. 2016 May 3, Caroline Russomanno, The Devil's Doorbell, in All About Romance[2]:I agreed to review this anthology entirely because the devils doorbell is the best euphemism for clitoris Ive ever heard in my entire life. 2017, Robert J. Crane, Unearthed[3], page 111:Because we talked about it on the playground, Molly quipped, right after we discussed what happens when you ring the devil's doorbell. [] Oh. Lauren finally got it. Is that what kids nowadays call it? I feel old because we just called it the clit",False,False,False,False,False,False,False,False,False,False,True
23939,dickens,Noun,The devil, euphemistic,She can go to the dickens for what she said. You scared the dickens out of me.,False,False,False,False,False,False,False,False,False,False,True
25174,differently able,Adjective,Disabled or handicapped.," euphemistic, often humorously or pejoratively so",,False,False,False,False,False,False,False,False,False,False,True
27464,ding dong,Noun,A penis," colloquial, often humorous, euphemistic",What do you mean booze ain't food? I'd rather chop off my ding dong than admit that!,False,False,False,False,False,False,False,False,False,False,True
28174,dip one's pen in someone's inkwell,Verb,To have sex with (someone)," euphemistic, of a man","2002, Dana Stabenow, A Fine and Bitter Snow, ISBN, page 190:Pretty much everyone who dropped by Alaska dipped their pen in my ancestors' inkwell, from the Russians on down. 2014, George M. Goritz, Shakespeare, Wall Street and My Arabian Nights Adventures, ISBN, page 101-102:Watching me ogling the lovely waitresses' movements, this Greek philosopher -- who happened to be my mother's brother-advised me, Never dip your pen in the local inkwell while at work. 2014, Oliver North Bob Hamer, Counterfeit Lies, ISBN, page 46:Does this business associate know you've been dipping your pen in the company inkwell?",False,False,False,False,False,False,False,False,False,False,True
29309,dirt sandwich,Noun,shit sandwich, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
31335,discuss Uganda,Verb,To have sex," Britain, informal, euphemistic","1995 April 27, Helen Gerald, Re: Liz Hurley, in rec.arts.tv.uk, Usenet[1], message-ID 1bd766f1e95e31fd:IMHO she just devalues the rest of us who want to be judged by what we do and what we are, not how we look and who we discuss Uganda with. 2007, Benedict Le Vay, Eccentric Cambridge, ISBN, page 257:If both [doors] are closed (leaving a small gap between them, that is) it means the occupant is away, studying hard and not wishing to be disturbed, discussing Uganda with a member of the opposite sex (or even, fwankly Wupert, the same one), or enduring a hangover from hell [...] 2009, Nicholas Belfrage, The Finest Wines of Tuscany and Central Italy, ISBN, page 312:The antipasto often features fettuntathin slices of Tuscan bread toasted and salted (the bread itself is unsalted) and perhaps rubbed with garlic (you may prefer to rub it on for yourself, or not if you're due to discuss Uganda or have an interview with Silvio Berlusconi)",False,False,False,False,False,False,False,False,False,False,True
37191,do away with,Verb,To have someone killed.," transitive, idiomatic, informal, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
37229,do one's business,Verb,To defecate or urinate.," idiomatic, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
37232,do one's darnedest,Verb,To do one's utmost; to make every effort or to try every possible approach or way," idiomatic, euphemistic","I don't think he'll succeed, but he's doing his darnedest to build a working spaceship.",False,False,False,False,False,False,False,False,False,False,True
37233,do one's duty,Verb,Synonym of use the toilet: to urinate or defecate, euphemistic,"1996, Derrick Humphreys, John A. Munro, The making of a grey panther: the Derrick Humphreys story, page 8: And when I was being toilet-trained as a very little boy, she'd always ask, ""Have you done your duty?"" That was the word for it. 2012, Alan Watts, Zen and the Beat Way: If a society is incapable of that kind of trust, it is also incapable of freedom. But if one really believes that only productivity can create strength that a human being, in other words, has to justify himself or herself by producing something then maybe the psychoanalysts are right, and everything does go back to toilet training and mother's saying, ""Have you produced today, have you done your duty?""",False,False,False,False,False,False,False,False,False,False,True
37253,do the deed,Verb,To have sex., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
38201,dog dirt,Noun,Dog feces., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
38609,dogpile,Noun,A pile of dogshit," US colloquial, euphemistic","1950 March 6, The Tri-City Herald, p. 6: Mrs. Brown cleaned her lawn up bright and early each day;Picked up all the dog piles so her children could play.",False,False,False,False,False,False,False,False,False,False,True
39912,doo-doo,Noun,Excrement," colloquial, euphemistic, often childish",Child: You're a doo-doo head.,False,False,False,False,False,False,False,False,False,False,True
39947,doodie head,Noun,Shithead," US, euphemistic, childish","2011, Korin Gould, Cellophane Friends, ISBN:Crystal stepped forward and shouted, ""you talk to your scabs?! You big doodie head!"" 2000, Korin Gould, The 100 Greatest Entertainers 1950-2000, ISBN, page 74:My husband reminded me that my 3-year-old nephew had earlier called me a doodie head. 1984, John Bowers, In the Land of Nyx: Night and Its Inhabitants, page 2:He screams. ""Shut up down there! You doodie head!""",False,False,False,False,False,False,False,False,False,False,True
39994,doodoohead,Noun,An objectionable person.," colloquial, euphemistic, often childish, derogatory",,False,False,False,False,False,False,False,False,False,False,True
40584,dormition,Noun,The process of death or the actual death itself., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
41489,double-u,Noun,The WC; the toilet, euphemistic,"1974, GB Edwards, The Book of Ebenezer Le Page, New York 2007, p. 234: She would try the front door, and try the back door, and look in the windows; and once she even looked in the double-u.",False,False,False,False,False,False,False,False,False,False,True
43086,downsize,Verb,To terminate the employment of," transitive, euphemistic",Joe got downsized and became a plumber.,False,False,False,False,False,False,False,False,False,False,True
45084,dress,Verb,"Of a man, to allow the genitals to fall to one side or other within the trousers"," intransitive, euphemistic",[from 20thc.] Does sir dress to the right or the left?,False,False,False,False,False,False,False,False,False,False,True
45892,drive the porcelain bus,Verb,"To vomit, especially while drunk or hung over."," idiomatic, euphemistic, humorous",,False,False,False,False,False,False,False,False,False,False,True
46469,drop anchor,Verb,To release feces into a toilet etc.f: to defecate, euphemistic,"2005, John Illig, Pacific Dream, ISBN, p. 204 (Google preview): Junkyard Dog always stopped for lengthy bathroom breaks by announcing his intentions in advance, using a different euphemism every time, saying, to name a few, ""I have to: drop anchor... do some paperwork... lay some foundation... pinch a loaf... lighten my load...."" 2011, Andy Weir, chapter 9, in The Martian, ISBN, page 95:And if you think things are bad after opening the piss box, imagine the smell after I drop anchor. 2014 Feb. 24, Ashley Burns, ""A Company Will Soon Offer A VIP Public Restroom In New York City For $8 A Plop,"" UPROXX Web Culture (retrieved 26 July 2015): POSH is the perfect alternative to . . . stopping in a filthy, germ-infested public restroom to drop anchor. . . . Instead, the POSH Stow and Go offers people a private, clean bathroom experience.",False,False,False,False,False,False,False,False,False,False,True
46570,drop the f-bomb,Verb,To utter the word fuck," idiomatic, euphemistic","1999, Lisa Olsen, ""Good Guys Wear Black,"" New York Daily News, 16 June (retrieved 3 Jan. 2009): I swear to God, I've never heard David (Robinson) or Avery (Johnson) swear. I sometimes sit down and think, ""Gosh, I've never heard them drop the F-bomb."" 2003, ""For The Record,"" MTV.com. 19 Dec.: It's fitting that Clay Aiken, a man who rarely, if ever, drops the f-bomb, topped the list of the Ten Best-Mannered People of 2003. 2006, June 25, Joel Achenbach, ""Dropping the F-bomb"", The Washington Post, p. B01: From hip-hop artists to bloggers to the vice president of the United States, everyone's dropping the F-bomb.",False,False,False,False,False,False,False,False,False,False,True
46574,drop the kids off at the pool,Verb,To release feces into a toilet etc.: to defecate.," humorous, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
48921,dumbcluck,Noun,Alternative form of dumb cluck, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
49958,durn,Adjective,darn; damn.," US, informal, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
49959,durn,Adverb,Darn; damned; extremely," US, informal, euphemistic","1922, A. M. Chisholm, A Thousand a Plate The older man eyed him for a moment bale fully. ""I'm goin' to set 'em again,"" he replied, ""and don't you touch 'em. I'm goin' to trap where I durn please. There's two of you, but you don't bluff me out, not any.""",False,False,False,False,False,False,False,False,False,False,True
5206,old time used to be,Noun,Ex-girlfriend or ex-boyfriend," informal, euphemistic","Often used in songs. Roberta, lyrics by Leadbelly I thought I spied my old time used to be. And it was not nothing, honey, but the side of a tree. Somebody Loan Me A Dime, lyrics by Boz Scaggs Somebody loan me a dime, I need to call my old time used to be.",False,False,False,False,False,False,False,False,False,False,True
5251,older adult,Noun,An old person, euphemistic,"Synonyms: senior citizen, senior, elderly person",False,False,False,False,False,False,False,False,False,False,True
5263,oldest occupation,Noun,Prostitution., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
6721,on,Adjective,Menstruating, euphemistic,"2011, Netmums, Hollie Smith, You and Your Tween: Managing the years from 9 to 13, Hachette UK ISBN It still gets in the way of her doing things like swimming, and she avoids sleepovers when she's 'on'.",False,False,False,False,False,False,False,False,False,False,True
6821,on in years,Adjective,Old; advanced in age," idiomatic, mildly euphemistic","1853, Charles Dickens, ""The Schoolboy's Story"": Being rather young at presentI am getting on in years, but still I am rather youngI have no particular adventures of my own to fall back upon. 1893, William Butler Yeats, ""An Enduring Heart"" in The Celtic Twilight: More years went by, and his wife was dead, and he well on in years. 1905, George Bernard Shaw, Major Barbara, Act 3: I am getting on in years; and my partner Lazarus has at last made a stand and insisted that the succession must be settled. 1909, F. Marion Crawford, A Roman Singer, ch. 20: [O]ld as I am,I do not mean aged, but well on in years,I believe in love still. 2004 May 24, Alice Park, ""Health: Old Bones, New Hope,"" Time: Brittle bones can be more than just a bother for anyone who is getting on in years.",False,False,False,False,False,False,False,False,False,False,True
7705,ongoer,Noun,One who dies, euphemistic,"1934, Thomas Moult, The best poems of 1922, page 37:The Ongoer made me His Deputy here: Who payeth may pass, though he reckon it dear, His quittance from clumsy, cumbering gear. You are Death? I am Death, Devourer and Foe Or Friend and Deliverer: 1976, Herman Arthur Voaden, Earth song, page 4:Hasten O ongoer! Fear not the storm that darkens. 2002, Harold W. Percival, Thinking And Destiny, ISBN, page 643:Among the duties of a member of this fraternity is that of being a companion to an ongoer when necessary.",False,False,False,False,False,False,False,False,False,False,True
8863,open one's bowels,Verb,To defecate., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
14744,other end,Noun,Synonym of anus, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
14751,other head,Noun,The glans of the penis," idiomatic, euphemistic, usually humorous","2009, May Seah, ""Top 10 television ignoramuses. Duh!,"" channelnewsasia.com, 7 Sept. (retrieved 10 Jan. 2010): We've had our fill of dumb jocks. But a dumb jock who's also a single-minded horn dogthat's funny. Thinking with his other head has gotten Jason into a lot of trouble.",False,False,False,False,False,False,False,False,False,False,True
14763,other virginity,Noun,The state of having never participated in anal sex., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
18716,over-unity,Adjective,"Free-energy; supposedly capable of perpetual motion 1994, David Hatcher Childress, The Free-energy Device Handbook: A Compilation of Patents Reports, Adventures Unlimited Press ISBN, page 90 Look for the ""over-unity"" ratio when calculating energy output versus input as a proof of free energy", euphemistic,"2007, Florentin Smarandache, V. Christianto, Hadron models and related New Energy issues, Infinite Study ISBN, page 96 The system behaves as an over-unity device producing energy from atomic hydrogen by a repeated dissociation and recombination of hydrogen atoms. MAHG tube contains a vacuum tube filled with hydrogen at 0.1 atm and cooled by water. 2008, Mark P. Silverman, A Universe of Atoms, An Atom in the Universe, Springer Science Business Media ISBN, page 25 ""The Potapov device,"" the experimenters reported ruefully, ""did not show any evidence of over-unity performance in our tests. We can find no explanation for the failure of this Potapov device to perform as reported (300% over-unity).""",False,False,False,False,False,False,False,False,False,False,True
21959,overnourished,Adjective,Overweight, often euphemistic,"1972 June, E. F. Lindsley, The New Yard Tools that Finish the Job: Can Gardening be Fun? Yes, if You Use the New Labor-saving Tools on Backbreaking Jobs, in Popular Science, volume 200, number 6, New York, N.Y.: Popular Science Publishing Company, ISSN 0161-7370, page 18:Lawn vacuums will clean up grass cuttings either as behind-the-mower units or self-propelled or push-type outfits that look like an overnourished Hoover. 2000 March 15, Philippine Daily Inquirer, page 9:Policemen who've grown uhhh, overnourished, by helping themselves to free meals at the expense of hapless carinderia owners. 2013, Michael Baum, London 19641967 part 1, in The Third Tablet of the Holy Covenant, Kibworth Beauchamp, Leicestershire: Matador, ISBN, pages 219220:The girls had done well but I also had to admit that the two attractive and stylish young women to whom I had barely given a second look as we were growing up, had flowered and flourished even though they looked somewhat overnourished to my taste.",False,False,False,False,False,False,False,False,False,False,True
22654,overrefreshed,Adjective,drunk," humorous, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
19,w-word,Noun,The word whore., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
20,w-word,Noun,The word wank or wanker., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
21,w-word,Noun,The word wetback., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
1068,walk,Verb,"Of an object, to go missing or be stolen"," intransitive, colloquial, euphemistic","If you leave your wallet lying around, its going to walk.",False,False,False,False,False,False,False,False,False,False,True
2650,wardrobe malfunction,Noun,An accidental instance of indecent exposure caused by a fault in someone's clothing (especially that of a performer) or by an error made while changing clothes., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
3463,wash one's hands,Verb,to go to the toilet," idiomatic, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
3691,washroom,Noun,"A room with a toilet, particularly a public toilet."," US, Canada, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
5711,way of all flesh,Noun,The inevitable road to death; mortality, euphemistic,"1998, Maureen Dowd, ""Liberties; Prime Time Dead,"" New York Times, 5 July: Taking a page from Court TV, some enterprising soul will start Death TV. If there are stations devoted to food, sex and weather, why not one to the way of all flesh? 2004, Elana Gomel, ""Oscar Wilde, The Picture of Dorian Gray, and the (Un)Death of the Author,"" Narrative, vol. 12, no. 1, p. 84: He abhors his decaying portrait, which pitilessly shows him the way of all flesh.",False,False,False,False,False,False,False,False,False,False,True
7868,well-covered,Adjective,"Fat, corpulent, full-figured"," chiefly Britain, of a person, euphemistic","1859, George Eliot, Adam Bede, ch. 26: That simple dancing of well-covered matrons, laying aside for an hour the cares of house and dairy, remembering but not affecting youth, not jealous but proud of the young maidens by their side [] it would be a pleasant variety to see all that sometimes. 1921, John Galsworthy, The Forsyte Saga, part 2, ch. 11: ""She wasn't much of a skeleton as I remember her,"" murmured Euphemia, ""extremely well-covered."" 2003, Thomas Stuttaford, ""Eat less and walk more to keep diabetes at bay,"" Times Online (UK), 20 Mar. (retrieved 24 June 2008): The sculptor Boteroinfluenced perhaps by Maillols love of well covered womencreated in 1981 an overweight, stumpy couple.",False,False,False,False,False,False,False,False,False,False,True
7883,well-endowed,Adjective,Having large breasts or buttocks.," euphemistic, of a woman",,False,False,False,False,False,False,False,False,False,False,True
7884,well-endowed,Adjective,Having a large penis.," euphemistic, of a man",,False,False,False,False,False,False,False,False,False,False,True
7952,well-padded,Adjective,"Fat, corpulent, pudgy"," euphemistic, of a person","1921, Gertrude Franklin Horn Atherton, The Sisters-In-Law, ch. 2: But the majority of its members were very much alive and still well-padded; and, far from being on a pale diet, were deeply appreciative of the famous culinary resources of the chef, and showed it. 1986 April 13, Mimi Sheraton, ""In the Gulf: a Robust Cuisine,"" Time: A graduate of the University of Houston's Hilton College of Hotel and Restaurant Management, the well-padded Raulston, nicknamed Fat Cook by the rigs' crews, makes these changes subtly and slowly.",False,False,False,False,False,False,False,False,False,False,True
7992,well-upholstered,Adjective,Fat., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
8783,wet job,Noun,A covert assassination performed by government operatives, euphemistic,"2003 Robert Young Pelton Robert Young Pelton's The World's Most Dangerous Places: 5th Edition (Robert Young Pelton the World's Most Dangerous Places), Collins, ISBN, page 112 Like the Navy SEALs (who often work in conjunction with the Delta Force), Delta Force can go anywhere, anytime; they just leave the wet jobs to SEAL Team 6-the navy's version of Delta Force. 2004 Gayle Lynds The Coil: A Novel, St. Martin's Press, ISBN, page 53 Being a shocked witness in Lisbon to the Carnivore's last bloody wet job 2006 Gayle Lynds The Last Spymaster, St. Martin's Press, ISBN, page 30 But as soon as the janitor saw Tice, he would have known he had the wrong man and should have and should have withdrawn or attempted a live capture to find out where Theosopholis was. Instead, everything about his style announced wet job. He was assigned to liquidate Tice, and maybe only Tice.",False,False,False,False,False,False,False,False,False,False,True
8848,wet the bed,Verb,"To go bad, to fail (said of machines; a euphemism for shit the bed).", euphemistic,,False,False,False,False,False,False,False,False,False,False,True
8856,wet work,Noun,Covert assassination performed by government operatives, euphemistic,"Joe: Victoria was the best wet work operator the Agency ever had.Woman 1: What does that mean?Victoria: I killed people, dearie.- From the motion picture RED",False,False,False,False,False,False,False,False,False,False,True
9345,whatever it takes,Noun,"Anything, including measures which may be extreme or wrongful, that is required to achieve an objective"," idiomatic, sometimes euphemistic for improper behavior","1997 Jan. 31, Mike Wise, ""Intense and Erratic, John Starks Can Still Jump-Start the Knicks,"" New York Times (retrieved 29 July 2012): ""I'll do whatever it takes to win."" 2009 Aug. 5, Tony Karon, ""A Weakened Ahmadinejad Sworn in for a Second Term,"" Time: [T]he security forces have exhibited few qualms about doing whatever it takes to quiet the streets, including the imprisoning of an estimated 2,000 opposition supporters.",False,False,False,False,False,False,False,False,False,False,True
9881,where it counts,Adverb,in the testicles A girl's best weapon and one that should be used sparingly is a swift kick where it counts., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
11288,white light,Noun,"The believed entrance to the afterlife, as occasionally reported of near-death experiences."," euphemistic, as the white light",,False,False,False,False,False,False,False,False,False,False,True
15831,witch's water,Noun,Wiccan holy water, euphemistic,,False,False,False,False,False,False,False,False,False,False,True
