term,definition
inducement,The act of placing a port on a vessel's itinerary because the volume of cargo offered at that port justifies the cost of routing the vessel.
induction,An act of inducting
induction,An act of inducing
induction,The process of inducing the birth process.
inductionism,The use of induction in scientific reasoning.
inductive reasoning,"The process of making inferences based upon observed patterns, or simple repetition"
inductometry,The measurement of induction
induement,"The act of induing, or state of being indued; investment; endowment"
indulgence,"the act of indulging Hammond They err, that through indulgence to others, or fondness to any sin in themselves, substitute for repentance anything less."
induration,Process of becoming hard.
induration,"The process of the strengthening of rocks by heating, compaction or cementation, or a combination thereof"
industrial design,A process of design applied to products that are to be manufactured through techniques of mass production.
industrial espionage,The use of clandestine methods to acquire secret information for commercial advantage
industrialization,A process of social and economic change whereby a human society is transformed from a pre-industrial to an industrial state.
inemuri,"The practice of dozing at school or work, interpreted as evidence that a person has been working hard."
infantcare,The act of supervising and taking care of infants.
inferencing,The process of making inferences; inferring
inferiorization,The process of inferiorizing.
inferral,Act of inferring.
inferring,The act of one who infers something; the drawing of an inference
infibulation,"an act of fastening, especially the stitching together of the labia to prevent intercourse 1991, Will Self, The Quantity Theory of Insanity: When Janner wasnt telling me about infibulation among the Tuareg or Shan propitiation ceremonies, he was sharing with me the fruits of his concerted observation of Reigate society."
infiltration,The act of secretly entering a physical location and/or organization.
infiltrometry,The measurement of the rate of water infiltration into a soil
infinitive of purpose,"The use of the ""to"" infinitive form of a verb in answer to the implied question ""why?"""
inflammation,"The act of inflaming, kindling, or setting on fire."
inflater,A cause of inflation
infliction,The act of inflicting or something inflicted; an imposition.
inflowing,The act of process of flowing in; inflow
information,The act of informing or imparting knowledge; notification
information modeling,The process of creating information model.
information technology,The practice of creating and/or studying computer systems and applications
informationism,The use of information as a weapon.
informationism,The act of countering government propaganda.
informationism,The act of undermining advertising.
informatisation,The process of becoming information-dependent; computerization.
infriction,The act of rubbing something into the skin etc.
infumation,The process of drying in smoke.
infuscation,The act of darkening.
infusion,The act of steeping or soaking a substance in liquid so as to extract medicinal or herbal qualities.
infusion,The act of installing a quality into a person
ingest,The process of importing data or other material into a system
ingestion,"The action of ingesting, or consuming something orally, whether it be food, drink, medicine, or other substance"
ingoing,The act of going in; entrance
ingress,The act of entering.
ingression,The process by which a potentiality enters into actuality
ingurgitation,The act of swallowing greedily or immoderately; gulp
inhabitation,"The act of inhabiting, or the state of being inhabited; indwelling."
inhalation,The act of inhaling; inbreathing
inhibition,The act of inhibiting.
inhibition,The process of stopping or retarding a chemical reaction.
inhumation,The act of burial
inhumation,The act of burying vessels in warm earth in order to expose their contents to a steady moderate heat; the state of being thus exposed.
initialization,The process of preparing something to begin.
initialization,An act of preparing something to begin.
initiation,"The act of initiating, or the process of being initiated or introduced initiation into a society initiation into business initiation into literature"
injection,"The act of injecting, or something that is injected."
injection,The act of inserting materials like concrete grout or gravel by using high pressure pumps.
injection,"The act of putting a spacecraft into a particular orbit, especially for changing a stable orbit into a transfer orbit, e.g"
injection,The act of throwing cold water into a condenser to produce a vacuum.
injunction,"The act of enjoining; the act of directing, commanding, or prohibiting."
inlibration,"The fact of God's being invested in a book (the Qur'an), as opposed to in flesh as held by Christianity"
innervation,The act of innervating or stimulating.
innovation,"The act of innovating; the introduction of something new, in customs, rites, etc"
inquiry,The act of inquiring; a seeking of information by asking questions; interrogation; a question or questioning.
inscription,The act of inscribing.
insemination,The act of impregnating (making pregnant).
insertion,"The act of inserting, or something inserted."
insession,"The act of sitting, as in a tub or bath"
insheltering,The action of putting something in a shelter
inshoot,"The act of shooting or moving rapidly inward, as a baseball that is pitched with a curve"
insiccation,The process of drying out.
insinuation,"The act of gaining favor, affection, or influence, by gentle or artful means; formerly used in a good sense, as of friendly influence or interposition."
insolency,An act of insolence.
insolubilization,The process of insolubilizing.
inspecting,An act of inspection
inspection,"The act of examining something, often closely"
inspiration,"The act of an elevating or stimulating influence upon the intellect, emotions or creativity"
inspiration porn,"The practice of calling a person ""inspirational"" solely or in part on the basis of their disability."
inspissation,The act of thickening
installation,An act of installing.
instantization,The process of instantizing.
instigation,"The act of instigating, or the state of being instigated; incitement; especially to evil or wickedness"
instillation,The act of instilling.
instilling,The process by which something is instilled.
instillment,"The act of instilling, or that which is instilled."
instilment,The act of instilling; instillation
instinctualization,The process by which something becomes instinctual.
institution,The act of instituting something
institution,The act by which a bishop commits a cure of souls to a priest.
institutionalisation,the process of embedding something within an organisation or society as an established custom or norm.
institutionalism,The use of public institutions in health care and social services
institutionalization,the process of establishing a practice as a norm The government began the institutionalization of background checks for internet users.
institutionalization,"the process of committing a person to a facility where their freedom to leave will be restrained, usually a mental hospital The institutionalization of Syd Barrett was a major event in the history of the rock group Pink Floyd."
instruction,"The act of instructing, teaching, or furnishing with information or knowledge"
instrumentation,"The act of using or adapting as an instrument; a series or combination of instruments 1978, Hans Freudentha, Weeding and Sowing"
insufflation,The action of breathing or blowing into or on
insularization,The process of making insular.
insulation,"The act of insulating, or the state of being insulated; detachment from other objects; isolation"
insulation,"The act of separating a body from others by nonconductors, so as to prevent the transfer of electricity, heat, or sound"
insulting,The act of giving insult
intake,A tract of land enclosed.
intaking,The act of taking something in
integration,"The process of fitting into a community, notably applied to 'visible' (ethnic, immigrant...) minorities"
intensimetry,The measurement of acoustic power
intention,The process of the healing of a wound
intercalibration,"The act of intercalibrating 2015, M"
intercapping,The use of an intercapped word.
interception,"An act of intercepting something, the state of being intercepted, or a thing that is intercepted."
intercession,The act of intervening or mediating between two parties.
interchange,An act of interchanging
interchanging,The act by which things are interchanged
interdiction,the act of interdicting or something interdicted
interference,"The act of interfering with something, or something that interferes."
interlacement,"The act of interlacing, or the state of being interlaced."
interleaving,The action of interleaving.
interlinearization,The use of interlinear notation.
interloping,An act of intrusion or encroachment
intermating,The act of mating with a member of another species or group.
intermeddlement,Act of intermeddling.
intermediation,An act of coming between; an intervention.
interment,The act of burying a dead body; burial.
intermingling,The act by which things intermingle
intermixing,A process of intermixture
intermodalism,The use of more than one mode of transport.
internalization,The process of internalizing something.
interpellation,"The act of interpellating (questioning); the period in which government officials are questioned about and explain an act, a policy or a point raised during a debate."
interpellation,The act of interpellating: the act of identification.
interpellation,The act of interpelling: interruption.
interpenetration,The act of penetrating between or within other substances; mutual penetration.
interpolation,The process of estimating the value of a function at a point from its values at nearby points.
interpolation,The process of including and processing externally-fetched data in a document or program; see interpolate.
interposition,"The act of interposing, or the state of being interposed; a being, placing, or coming between; mediation"
interposure,The action of interposing; interposition; interposal.
interpretation,An act of interpreting or explaining what is obscure; a translation; a version; a construction
interrogation,The act of interrogating or questioning; examination by questions; inquiry.
interrupt request,The act of interrupting any of several hardware processes in a computer.
interruption,"The act of interrupting, or the state of being interrupted"
intersexualization,Process of becoming intersex.
interspersion,The act of interspersing.
intersubstitution,The act of intersubstituting.
intertextualization,The process of making or becoming intertextual.
intertexture,"The act of interweaving, or the state of being interwoven."
interthinking,The action of two or more people who interthink together
intervention,The action of intervening; interfering in some course of events
interversion,"The process of changing a subsidiary title, such as that of a tenant, to one that is independently held"
intervising,The act of broadcasting something on the Internet.
intimation,The act of intimating
intimidation,"The act of making timid or fearful or of deterring by threats; the state of being intimidated 1920, Warren G"
intinction,The act of steeping or soaking the bread (or 'body' of Christ) in the wine (or 'blood' of Christ) so the communicant may receive both aspects of the Eucharist simultaneously.
intonation,The act of sounding the tones of the musical scale.
intoxication,The act of intoxicating or making drunk.
intrafusion,The act of pouring into a vessel.
intrapreneurship,The practice of applying entrepreneurial skills and approaches within an established company.
intriguery,The practice of intrigue.
introgression,The movement of a gene from one species to another.
introit,The action of entering or going in; an entrance.
intromission,the act of allowing to enter; admission
introverting,"The process of turning inwards, or becoming introverted."
intumescence,the process of swelling up or the condition of being swollen
inundation,The act of inundating; an overflow; a flood; a rising and spreading of water over grounds.
inurnment,The act of placing something in an urn.
invalidation,"The act of invalidating, or the state of being invalidated"
invaliding,The act of exempting someone from duty because of injury or ill health.
inveighing,The act of one who complains or censures.
inveiglement,"The act of inveigling, or the state of being inveigled; enticement; seduction"
invention,The act of inventing
inventorization,The process of inventorizing.
inventory,The process of producing or updating such a list
inversion,The action of inverting.
inverting,The act of something being inverted; an inversion.
investigation,"The act of investigating; the process of inquiring into or following up; research, especially patient or thorough inquiry or examination The investigation into the crime has led to various leads as well as plenty of dead ends"
investing,The act of something being invested; an investment.
investiture,"The act of investing, as with possession or power; formal bestowal or presentation of a possessory or prescriptive right."
investment,"The act of investing, or state of being invested."
investment,"The act of surrounding, blocking up, or besieging by an armed force, or the state of being so surrounded"
inveteration,The act of making inveterate
invigilation,The act of watching or invigilating.
invigoration,The act of invigorating or the state of being invigorated.
invitation,The act of inviting; solicitation; the requesting of a person's company
invocation,An act of invoking or claiming a legal right
invocation,"The act of invoking something, such as a function call."
involvement,"The act of involving, or the state of being involved"
inwicking,The act of making a stone strike at an angle on the inner side of another.
iodation,The process of iodating.
ion milling,The use of a beam of high-energy ions to remove material from a surface
ionophoresis,The movement of charged particles in an electric field
ipsatization,The process of ipsatizing.
iris shot,The use of an expanding or contracting black circle to open or close a cinematic scene
ironing,The act of pressing clothes with an iron
irradiance,The act of irradiating; emission of rays of light.
irradiation,"An act of irradiating, or state of being irradiated."
irradiation,"a process of sterilisation whereby radiation is passed through a bag containing food, utensils, etc., to sterilise the contents."
irregularization,The process of making something irregular.
irritation,The act of irritating or annoying What irritation causes you to be so moody?
irritation,"The act of exciting, or the condition of being excited to action, by stimulation; -- as, the condition of an organ of sense, when its nerve is affected by some external body; especially, the act of exciting muscle fibers to contraction, by artificial stimulation; as, the irritation of a motor nerve by electricity; also, the condition of a muscle and nerve, under such stimulation."
irruption,The action of irrupting or breaking into; a violent entry or invasion; an inbreaking; an intrusion
isolation,The act of isolating.
isopsephy,The practice of adding up the numerical values of the letters in a word to form a single number.
isosyllabicity,the use of isosyllabic verse
isosyllabism,the use of isosyllabic verse
issuance,"The act of issuing, or giving out"
issuing,The act by which something is issued
italicisation,the process of italicising; something italicised
italicism,The use of italics: italicization.
italicization,The process of italicizing; something italicized.
itemization,The act of making a list of items; an itemizing.
iteration,"The use of repetition in a computer program, especially in the form of a loop."
dabbing,The act by which something is dabbed
dabble,"An act of splashing in soft mud, water, etc"
dabble,An act of participation in an activity in a casual or superficial way
dactylology,"The use of the fingers and hands to communicate ideas, especially by the deaf."
dactylonomy,The use of one's fingers to express numbers.
damaging,An act of causing damage
damn,"The use of ""damn"" as a curse"
damning,"An act of swearing with the word ""damn"""
dampening,The act of making or becoming damp
dancing,The activity of taking part in a dance.
dandling,The act by which somebody is dandled
dangling,The act of hanging something so that it can move freely; suspension.
dangling,The act of following or trailing around.
darkening,The act of something becoming darker
dashing,The action of the verb to dash.
data communications,"The movement of data between computers, or between central computers (especially mainframes) and remote terminals."
data entry,"The act of inputting data into a computer, such as by typing out handwriting, capturing data from scanned documents, taking responses from telephone interviews, etc."
data fusion,"The process of integrating knowledge from multiple sources and representing the same real-world object into a consistent, accurate, and useful representation."
data governance,The process of ensuring high data quality within a company.
data modeling,The process of creating a data model.
data warehousing,The use of a data warehouse.
datalogging,The use of a datalogger
dative sickness,The use of a dative object where an accusative would traditionally be used
daughtering,The action of behaving dutifully as a daughter; the action of a female child in caring for or otherwise relating to her parents
dawdling,The act of one who dawdles
dawn patrol,The act of going out for a surf at dawn.
dayparting,The practice of dividing the broadcast day into several dayparts.
dazzling,"The action of the verb to dazzle; dazzlement 1837, Minutes of the General Association of Massachusetts Our organization secures the greatest amount of good unbalanced by accomplished evil of any known system, a good which resembles the sober hue of massive gold, rather than the splendid dazzlings of a baser metal."
de-Sunnification,The act of de-Sunnifying; the process of decreasing the Sunni character; deconversion from Sunnism
de-dupe,The act of de-duping
de-extinction,The process of returning an extinct species back into the world.
deacceleration,The act of deaccelerating; retardation.
deactivation,"The act of deactivating something, such as a bomb."
dead-naming,An act of instance of naming as the target of a death-curse of killing by naming
dead hang,"the act of hanging from a bar with the arms fully extended, often used as a grip strength exercise"
deadening,The process by which something is deadened
deadmelt,The process of deadmelting steel
deaeration,The process of removing dissolved gasses from a liquid.
deafening,The process by which something is deafened
deagglomeration,"The process of breaking up or dispersing that which has agglomerated, or aggregated, or clustered together."
deaggregation,The process of deaggregating.
deagrarianization,The process of moving a societal structure away from an agrarian mode toward something else.
dealignment,The process of dealigning.
deallocation,The act of deallocating.
deassertion,The act of deasserting.
deathmaking,"The process of causing individuals to die, as by withdrawing health care, carrying out abortions, etc."
deauthorization,The process of deauthorizing; removal of authorization.
debagging,An act of removal of the trousers (of)
debasement,"The act of debasing or the state of being debased; a lowering or degradation, especially in character or quality"
debathification,The process of removing former members of the ruling Bath party of Iraq from the military and civil office following the ousting of Saddam Hussein.
debating,The act of taking part in a debate
debauchment,The act of debauching or corrupting; the act of seducing from virtue or duty.
debiting,The act of making a debit in accounting.
debituminization,The act of depriving of bitumen.
debriefing,"The act of debriefing, or the state of being debriefed."
debt collection,The process of pursuing payments of debts owed by individuals or businesses.
debugging,The process of finding and resolving bugs or defects that prevent correct operation of computer software or a system.
debunking,The act of showing something to be false (or bunkum)
decalcomania,The process of transferring decorative designs onto surfaces using decals.
decampment,The act of decamping.
decantation,the act of decanting the supernatant liquid from a solid sediment
decanting,The process by which a liquid is decanted
decapitalization,The process of decapitalizing something.
decarbonization,The process of arterialization of the blood by oxygenation and the removal of carbon dioxide in the lungs.
decaudation,"The act of decaudating, or removing the tail from something."
decaying,The process of undergoing decay
deceit,An act of deceiving someone
decentralization,"The action of decentralizing, or the state of being decentralized."
decerebration,"The act of decerebrating; the elimination of cerebral brain function in an animal by removing the cerebrum, cutting across the brain stem, or severing certain arteries in the brain stem."
decerption,The act of plucking off; a cropping.
dechristianization,The act of dechristianizing; the systematic removal of Christianity or Christian elements
decision,The act of deciding.
decision making,The process of reaching a decision
decivilization,The process of decivilization.
declaring,The act of making something known; announcing; proclaiming
declassification,The process of declassifying.
declension,"The act of declining a word; the act of listing the inflections of a noun, pronoun or adjective in order."
declinature,The act of declining or refusing.
decline,The act of declining or refusing something
decoction,The process of boiling something down in this way
decollation,The act of beheading someone.
decolonialization,The process of decolonializing.
decommissioning,The act by which something is decommissioned.
decommoditization,The process of decommoditizing.
decomplexification,The process of decomplexifying
decomposition,"The act of taking something apart, e.g"
decompression,The process of decompressing
deconcentration,The act of deconcentrating.
deconfiguration,The process of deconfiguring.
deconfusion,The process of reducing or eliminating confusion; clarification
decongestion,The process of decongesting something.
decontamination,"The process of removing contamination, particularly the cleaning off of dangerous materials."
decoration,"The act of adorning, embellishing, or honoring; ornamentation."
decoration,The use of exotic sugars as decoys to distract the immune system of a host
decouplement,The act of decoupling; disengagement
decoying,The act of one who decoys.
decreolization,The process of decreolizing
decretion,The act of decreasing.
decriminalization,The act of making a previously criminal activity no longer treatable as a criminal offence.
decruitment,"The act of a company reducing its workforce, either by a reduction in recruitment, or by redundancy"
decubation,The act of lying down.
deculturalization,The process of deculturalizing.
decumulation,"The process of decumulating; in chemistry, any exothermic molecular change that converts a cumulated diene to a conjugated diene."
decurrence,The act of running down; a lapse
dedication,The act of dedicating or the state of being dedicated.
dedispersion,The act of dedispersing.
dedomestication,The process of returning a domesticated animal to the wild
deduction,"A process of reasoning that moves from the general to the specific, in which a conclusion follows necessarily from the premises presented, so that the conclusion cannot be false if the premises are true"
deductivism,The use of deductive reasoning.
deep embedding,"The act of representing one language, typically a logic or programming language, with another by modeling expressions in the former as data in the latter."
deep linking,"The practice of linking to a specific page or file within a website so as to bypass introductory pages, considered a violation of netiquette."
deepening,The act of becoming deeper
deepthroating,The act of deepthroat.
defacement,An act of defacing; an instance of visibly marring or disfiguring something
defacement,An act of voiding or devaluing; nullification of the face value
defalcation,The act of cancelling part of a claim by deducting a smaller claim which the claimant owes to the defendant.
defamation,"The act of injuring another person's reputation by any slanderous communication, written or oral; the wrong of maliciously injuring the good name of another."
defedation,The process of polluting or making filthy; pollution.
defederalization,The process of defederalizing.
defeminization,The process of defeminizing
defence,"The action of defending, of protecting from attack, danger or injury"
defenestration,The act of throwing something or someone out of a window
defense,"The action of defending or protecting from attack, danger, or injury."
defensive design,"The practice of planning for contingencies in the design stage of a project so as to make the misuse of the software impossible, or to minimise the negative consequences."
deferral,"An act of deferring, a deferment."
defertilization,The process of defertilizing.
defictionalization,The process of defictionalizing
defile,"The act of defilading a fortress, or of raising the exterior works in order to protect the interior."
defilement,The act of defiling.
definement,The act of defining.
definition,The act of defining; determination of the limits.
deflagration,The act of deflagrating; an intense fire; a conflagration or explosion
deflection,The act of deflecting or something deflected
deflectometry,The measurement of deflection under applied loads.
defloration,the act of deflowering Synonym: deflowerment
defluorination,The process of defluorinating
defolliculation,The action of defolliculating
deforestation,"The process of destroying a forest and replacing it with something else, especially with an agricultural system"
deformation,"The act of deforming, or state of being deformed."
defragmentation,"The action of defragmenting, particularly with respect to a computer disk or drive."
defrauding,The act of committing fraud.
defrayal,The act of defraying.
defrosting,The process by which something is defrosted.
defusion,The act of defusing
degauss,The act by which something is degaussed.
degazettement,The process of degazetting.
degearing,The process of selling off assets in order to reduce debt
degenitalization,The process of degenitalizing
deglamorization,The process of deglamorizing
deglobalization,The process of diminishing interdependence and integration between the economies of nations
deglorification,The process of deglorifying; making something less glorious
deglutination,The act of ungluing.
degradation,"The act of reducing in rank, character, or reputation, or of abasing; a lowering from one's standing or rank in office or society 1912, Charles DeLano Hine, Letters from an old railway official: Letter 7 This feature of good organization, the conferring of definite local superior rank, and the protection of the incumbent from unnecessary degradation, was discovered centuries ago by another effective institution, the Catholic church."
degrammaticalization,The process of degrammaticalizing.
dehabilitation,The process of social estrangement and progressive loosening of social bonds between an individual and his family and society as a result of long-term residence in an institution.
dehegemonization,The process of dehegemonizing.
dehydroxylation,The process of dehydroxylating
dehymenization,"The act of deflowering; a venereal depriving of the hymen, and hence, pucelage; defloration"
dehypnotization,The process of bringing somebody out of hypnotic trance.
deification,The act of deifying; exaltation to divine honors; apotheosis.
deimmunization,The process of deimmunizing
deimperialization,The process of deimperializing; the dismantling or formal ending of an empire
deinitialization,The process of deinitializing.
deinstallation,The process of deinstalling.
deinstitutionalization,the process of abolishing a practice that has been considered a norm The government began the deinstitutionalization of background checks for certain Federal jobs.
deinstitutionalization,the process of releasing a person from a facility where their freedom to leave has been restrained The deinstitutionalization of minor offenders helps reduce prison overcrowding.
deinstitutionalization,"the process of reducing a person's dependence on an institutional environment After thirty years in the asylum, deinstitutionalization would present many problems."
deinstrumentalization,The process of deinstrumentalizing.
deintellectualization,The process of deintellectualizing.
deintensification,The process of something becoming less intense
deionization,The use of ion exchange to remove ionic substances from a solution
deisolation,The process of deisolating.
deixis,"The use of a word, such as a pronoun, to refer to something that must be identified from the wider context; a word used in such a way"
deization,Process of making deistic.
dejection,The act of humbling or abasing oneself
delactation,"The act of weaning.[1] 1993, Bonnie S"
delaming,The act of delam (delamination/delaminating)
delegalization,The process of delegalizing.
delegation,An act of delegating.
delegitimation,"The act of removing the legitimacy from something, or of making something illegitimate."
deletion,The act of deleting.
delexicalization,The process of delexicalizing.
deliberation,"The act of deliberating, or of weighing and examining the reasons for and against a choice or measure; careful consideration; mature reflection"
delid,The process of delidding
delimitation,The act of delimiting something.
delineation,The act of delineating; depiction.
deliverance,Act of delivering or conveying something.
delivering,An act of delivering
delivery,The act of conveying something
delivery,The act of giving birth The delivery was painful.
delivery,The process of throwing a stone.
delivery,Process of introducing foreign DNA into host cells.
delocalization,the process of delocalizing or the fact of being delocalized
delocation,The process of delocating.
delving,The act of one who delves
demagnetization,The process of removing the magnetic field from an object.
demanganization,The act of removing compounds of manganese from water
